global,time,se_pre_enrr_ma
world,1970,16.27093
world,1971,16.01302
world,1972,15.79959
world,1973,15.8631
world,1974,16.04658
world,1975,16.65445
world,1976,18.395
world,1977,21.47124
world,1978,20.21974
world,1979,20.42316
world,1980,21.43219
world,1981,22.88314
world,1982,23.27773
world,1983,24.23957
world,1984,25.21852
world,1985,26.43403
world,1986,27.73583
world,1987,28.97506
world,1988,29.71602
world,1989,29.40721
world,1990,29.34256
world,1991,29.22357
world,1992,29.49056
world,1993,29.62912
world,1994,29.51438
world,1995,30.01664
world,1996,30.52492
world,1997,28.74658
world,1998,31.8498
world,1999,32.57751
world,2000,33.38444
world,2001,33.97522
world,2002,33.79882
world,2003,34.71417
world,2004,36.01785
world,2005,37.80022
world,2006,39.81007
world,2007,41.26987
world,2008,42.88712
world,2009,44.5041
world,2010,46.44894
world,2011,49.16604
world,2012,52.24904
world,2013,54.11239
world,2014,54.24926
world,2015,56.33407
world,2016,57.97321
world,2017,59.60772
world,2018,60.39362
world,2019,61.13464
world,2020,61.45222
