geo,time,en_atm_pm25_mc_m3
afg,1990,65.48679
afg,1995,65.17951
afg,2000,64.92246
afg,2005,64.52268
afg,2010,65.24559
afg,2011,66.83573
afg,2012,66.02317
afg,2013,61.36674
afg,2014,59.01033
afg,2015,61.25266
afg,2016,56.28705
afg,2017,56.91081
ago,1990,36.44812
ago,1995,35.60291
ago,2000,36.18297
ago,2005,34.96291
ago,2010,33.78725
ago,2011,33.10419
ago,2012,33.4155
ago,2013,34.66392
ago,2014,32.97403
ago,2015,32.72987
ago,2016,31.78539
ago,2017,32.3885
alb,1990,22.71866
alb,1995,22.02922
alb,2000,21.99825
alb,2005,21.57526
alb,2010,21.27783
alb,2011,22.77254
alb,2012,20.57826
alb,2013,19.93852
alb,2014,18.88395
alb,2015,19.51254
alb,2016,18.18993
alb,2017,18.2006
and,1990,14.11874
and,1995,13.93687
and,2000,12.59401
and,2005,12.96138
and,2010,12.8072
and,2011,13.27351
and,2012,12.40705
and,2013,11.81367
and,2014,10.83042
and,2015,11.46218
and,2016,10.25583
and,2017,10.30762
are,1990,39.82463
are,1995,39.77843
are,2000,39.6988
are,2005,38.98906
are,2010,38.98007
are,2011,39.19343
are,2012,39.27713
are,2013,39.60816
are,2014,37.98342
are,2015,42.33499
are,2016,40.5221
are,2017,40.91751
arg,1990,16.22053
arg,1995,16.84606
arg,2000,16.78095
arg,2005,16.40309
arg,2010,16.8591
arg,2011,17.38298
arg,2012,16.13507
arg,2013,15.59738
arg,2014,14.46698
arg,2015,14.63163
arg,2016,13.75144
arg,2017,13.31183
arm,1990,36.86072
arm,1995,35.12094
arm,2000,36.79645
arm,2005,37.06873
arm,2010,37.53004
arm,2011,38.61228
arm,2012,37.18448
arm,2013,34.93721
arm,2014,33.08595
arm,2015,34.88143
arm,2016,32.22717
arm,2017,32.52812
asm,1990,12.47908
asm,1995,12.47908
asm,2000,15.21467
asm,2005,15.23784
asm,2010,15.07272
asm,2011,15.39064
asm,2012,14.34415
asm,2013,14.12723
asm,2014,13.31699
asm,2015,13.01939
asm,2016,12.38273
asm,2017,12.47382
atg,1990,22.40856
atg,1995,22.4516
atg,2000,21.97612
atg,2005,22.13433
atg,2010,22.52888
atg,2011,23.14786
atg,2012,21.47105
atg,2013,20.73539
atg,2014,19.72558
atg,2015,19.69639
atg,2016,18.46093
atg,2017,18.62234
aus,1990,10.41185
aus,1995,10.4264
aus,2000,10.84372
aus,2005,10.59713
aus,2010,10.61888
aus,2011,11.04726
aus,2012,10.53709
aus,2013,9.98768
aus,2014,9.49298
aus,2015,9.32002
aus,2016,8.61451
aus,2017,8.55032
aut,1990,16.86669
aut,1995,15.70613
aut,2000,15.35536
aut,2005,15.59206
aut,2010,15.14914
aut,2011,15.57337
aut,2012,14.28233
aut,2013,14.08161
aut,2014,13.37923
aut,2015,13.5411
aut,2016,12.59682
aut,2017,12.47797
aze,1990,23.94291
aze,1995,23.39143
aze,2000,22.88077
aze,2005,22.86571
aze,2010,23.0476
aze,2011,23.62987
aze,2012,22.18081
aze,2013,22.27878
aze,2014,20.71007
aze,2015,21.41412
aze,2016,20.20816
aze,2017,19.92866
bdi,1990,41.24889
bdi,1995,40.00954
bdi,2000,40.95578
bdi,2005,40.14781
bdi,2010,38.38117
bdi,2011,38.23619
bdi,2012,41.01133
bdi,2013,39.97107
bdi,2014,39.38756
bdi,2015,38.43088
bdi,2016,38.65322
bdi,2017,38.89627
bel,1990,17.5875
bel,1995,16.49607
bel,2000,15.66245
bel,2005,15.43635
bel,2010,16.00932
bel,2011,15.69844
bel,2012,14.74189
bel,2013,14.02267
bel,2014,13.23362
bel,2015,13.56652
bel,2016,12.83309
bel,2017,12.88652
ben,1990,40.22014
ben,1995,38.07847
ben,2000,39.77629
ben,2005,34.32881
ben,2010,32.39297
ben,2011,32.58085
ben,2012,31.992
ben,2013,31.4433
ben,2014,29.66046
ben,2015,40.47068
ben,2016,38.4477
ben,2017,38.99996
bfa,1990,46.01466
bfa,1995,45.10893
bfa,2000,44.88311
bfa,2005,39.33512
bfa,2010,37.49133
bfa,2011,37.28138
bfa,2012,38.78415
bfa,2013,33.2872
bfa,2014,33.96909
bfa,2015,46.56217
bfa,2016,41.53724
bfa,2017,42.93559
bgd,1990,61.59563
bgd,1995,61.80314
bgd,2000,63.03634
bgd,2005,68.87355
bgd,2010,70.765
bgd,2011,70.21055
bgd,2012,70.79391
bgd,2013,65.64508
bgd,2014,68.39538
bgd,2015,66.96575
bgd,2016,60.12627
bgd,2017,60.84578
bgr,1990,27.55988
bgr,1995,25.49281
bgr,2000,24.08981
bgr,2005,23.2673
bgr,2010,22.7562
bgr,2011,24.30033
bgr,2012,22.64466
bgr,2013,20.99964
bgr,2014,20.74357
bgr,2015,20.77643
bgr,2016,19.28301
bgr,2017,19.14913
bhr,1990,68.15876
bhr,1995,68.12335
bhr,2000,67.95779
bhr,2005,64.58728
bhr,2010,65.63088
bhr,2011,63.7325
bhr,2012,70.28748
bhr,2013,67.79468
bhr,2014,62.75854
bhr,2015,72.60468
bhr,2016,69.86418
bhr,2017,70.81621
bhs,1990,21.01992
bhs,1995,21.28663
bhs,2000,21.3182
bhs,2005,21.06636
bhs,2010,21.11051
bhs,2011,21.77442
bhs,2012,20.31708
bhs,2013,19.9094
bhs,2014,18.49533
bhs,2015,18.88631
bhs,2016,17.65132
bhs,2017,17.36772
bih,1990,30.35256
bih,1995,29.33961
bih,2000,33.17226
bih,2005,33.77212
bih,2010,32.30016
bih,2011,34.19187
bih,2012,31.77326
bih,2013,30.44623
bih,2014,28.77733
bih,2015,29.62284
bih,2016,27.59447
bih,2017,27.74767
blr,1990,24.58585
blr,1995,22.65689
blr,2000,22.65027
blr,2005,22.8719
blr,2010,23.31941
blr,2011,22.91115
blr,2012,21.64637
blr,2013,20.59046
blr,2014,19.76605
blr,2015,20.07628
blr,2016,18.87824
blr,2017,18.76558
blz,1990,27.4298
blz,1995,27.12519
blz,2000,27.84144
blz,2005,28.29258
blz,2010,28.27305
blz,2011,28.80045
blz,2012,27.40912
blz,2013,27.28444
blz,2014,24.42115
blz,2015,25.21683
blz,2016,23.06568
blz,2017,23.01189
bmu,1990,11.74976
bmu,1995,11.69101
bmu,2000,14.80544
bmu,2005,14.77559
bmu,2010,14.64738
bmu,2011,14.84311
bmu,2012,13.97908
bmu,2013,13.47885
bmu,2014,12.80641
bmu,2015,12.41796
bmu,2016,11.65994
bmu,2017,11.64636
bol,1990,23.95268
bol,1995,24.67257
bol,2000,26.25444
bol,2005,29.39564
bol,2010,29.57281
bol,2011,27.9042
bol,2012,26.39024
bol,2013,26.09047
bol,2014,24.81883
bol,2015,22.4764
bol,2016,21.3866
bol,2017,21.56899
bra,1990,15.14386
bra,1995,15.41286
bra,2000,15.77348
bra,2005,15.59593
bra,2010,15.95529
bra,2011,15.9128
bra,2012,15.28546
bra,2013,14.6099
bra,2014,13.98993
bra,2015,13.59466
bra,2016,12.65868
bra,2017,12.70663
brb,1990,28.21252
brb,1995,28.24588
brb,2000,28.47946
brb,2005,28.4828
brb,2010,28.21681
brb,2011,29.30349
brb,2012,27.03353
brb,2013,26.23023
brb,2014,25.18301
brb,2015,24.68624
brb,2016,23.4592
brb,2017,23.08018
brn,1990,6.7323
brn,1995,6.83957
brn,2000,6.88451
brn,2005,7.24439
brn,2010,7.417
brn,2011,7.36619
brn,2012,7.57082
brn,2013,6.70949
brn,2014,6.18083
brn,2015,6.48418
brn,2016,5.9276
brn,2017,5.90307
btn,1990,40.20597
btn,1995,40.07507
btn,2000,39.74958
btn,2005,43.01964
btn,2010,43.96188
btn,2011,43.0717
btn,2012,42.93227
btn,2013,41.88191
btn,2014,40.83967
btn,2015,39.81864
btn,2016,37.22436
btn,2017,37.9265
bwa,1990,25.43543
bwa,1995,24.98631
bwa,2000,25.30182
bwa,2005,25.07373
bwa,2010,25.72472
bwa,2011,24.59211
bwa,2012,24.85404
bwa,2013,24.87426
bwa,2014,24.15128
bwa,2015,24.33026
bwa,2016,23.63127
bwa,2017,23.09439
caf,1990,53.28716
caf,1995,53.40426
caf,2000,51.57214
caf,2005,52.89663
caf,2010,51.53332
caf,2011,51.22953
caf,2012,53.35883
caf,2013,50.87491
caf,2014,49.35636
caf,2015,58.3261
caf,2016,56.98542
caf,2017,56.8285
can,1990,8.22586
can,1995,8.10393
can,2000,8.28098
can,2005,8.49547
can,2010,8.38446
can,2011,8.62446
can,2012,8.10741
can,2013,7.79164
can,2014,7.42842
can,2015,7.15158
can,2016,6.54907
can,2017,6.42838
che,1990,14.22837
che,1995,13.37056
che,2000,12.69076
che,2005,12.86182
che,2010,12.92222
che,2011,13.04922
che,2012,12.26139
che,2013,11.82005
che,2014,11.38911
che,2015,11.16525
che,2016,10.34263
che,2017,10.3031
chl,1990,24.67606
chl,1995,24.94324
chl,2000,26.16859
chl,2005,25.52732
chl,2010,25.89229
chl,2011,27.24587
chl,2012,25.04716
chl,2013,23.93669
chl,2014,22.86825
chl,2015,22.56979
chl,2016,20.87687
chl,2017,21.0363
chn,1990,57.76501
chn,1995,58.66016
chn,2000,60.70484
chn,2005,66.1745
chn,2010,69.47957
chn,2011,70.54203
chn,2012,63.82702
chn,2013,65.51455
chn,2014,59.76737
chn,2015,59.06342
chn,2016,52.21132
chn,2017,52.6646
civ,1990,25.8732
civ,1995,24.85169
civ,2000,25.26349
civ,2005,21.82881
civ,2010,21.61771
civ,2011,22.59307
civ,2012,22.4944
civ,2013,21.30554
civ,2014,20.90018
civ,2015,27.68749
civ,2016,26.6747
civ,2017,25.88627
cmr,1990,75.00667
cmr,1995,72.57501
cmr,2000,70.82948
cmr,2005,63.45308
cmr,2010,59.2934
cmr,2011,58.0769
cmr,2012,62.7767
cmr,2013,58.18634
cmr,2014,56.71531
cmr,2015,77.05174
cmr,2016,73.20529
cmr,2017,72.7931
cod,1990,43.23313
cod,1995,43.48303
cod,2000,44.76174
cod,2005,42.04344
cod,2010,41.39804
cod,2011,41.49329
cod,2012,43.03677
cod,2013,44.49576
cod,2014,42.54945
cod,2015,44.93119
cod,2016,45.4995
cod,2017,44.90926
cog,1990,46.68716
cog,1995,42.66257
cog,2000,43.59879
cog,2005,42.68905
cog,2010,42.00909
cog,2011,44.15559
cog,2012,43.48999
cog,2013,46.12664
cog,2014,45.85282
cog,2015,44.1477
cog,2016,45.71104
cog,2017,46.63822
col,1990,20.38352
col,1995,20.01324
col,2000,20.05342
col,2005,21.28478
col,2010,21.49785
col,2011,21.36778
col,2012,20.53664
col,2013,19.22335
col,2014,18.34421
col,2015,17.30028
col,2016,16.5806
col,2017,16.52721
com,1990,21.75399
com,1995,21.07742
com,2000,21.54406
com,2005,21.24321
com,2010,20.66636
com,2011,21.02016
com,2012,21.25263
com,2013,21.04796
com,2014,21.50207
com,2015,20.71556
com,2016,20.48273
com,2017,20.54682
cpv,1990,36.13873
cpv,1995,36.36461
cpv,2000,36.62812
cpv,2005,30.26241
cpv,2010,27.59644
cpv,2011,31.64178
cpv,2012,32.94099
cpv,2013,32.08584
cpv,2014,31.62108
cpv,2015,38.63361
cpv,2016,33.39233
cpv,2017,34.7787
cri,1990,18.30876
cri,1995,18.56164
cri,2000,19.4121
cri,2005,19.65731
cri,2010,19.27295
cri,2011,19.70213
cri,2012,19.33513
cri,2013,18.34152
cri,2014,17.54363
cri,2015,16.87929
cri,2016,15.65581
cri,2017,15.72592
cub,1990,23.79235
cub,1995,24.25965
cub,2000,24.13737
cub,2005,24.00992
cub,2010,23.9333
cub,2011,24.78732
cub,2012,23.23979
cub,2013,22.85074
cub,2014,21.29623
cub,2015,20.8641
cub,2016,19.73784
cub,2017,19.70605
cyp,1990,20.90658
cyp,1995,20.51722
cyp,2000,20.18499
cyp,2005,19.71804
cyp,2010,20.08187
cyp,2011,20.09096
cyp,2012,19.22484
cyp,2013,18.68455
cyp,2014,18.29353
cyp,2015,19.10135
cyp,2016,16.95802
cyp,2017,17.29441
cze,1990,24.40362
cze,1995,22.12133
cze,2000,20.43671
cze,2005,19.94659
cze,2010,20.67687
cze,2011,20.08125
cze,2012,18.74318
cze,2013,17.99629
cze,2014,17.39122
cze,2015,17.41645
