geo,time,se_ter_cuat_ba_ma_zs
afg,2021,4.25064
ago,2014,3.34245
alb,2011,12.52386
alb,2012,13.45877
and,2004,17.11432
and,2005,17.94669
and,2006,17.04285
and,2014,20.96811
and,2015,20.91724
and,2016,20.88522
are,2017,48.63736
are,2018,48.02599
are,2019,45.8939
arm,2001,21.37322
arm,2011,24.82391
arm,2015,27.73487
arm,2017,24.79891
arm,2020,24.67289
aus,2013,24.46846
aus,2014,26.87869
aus,2015,27.72055
aus,2016,27.83823
aus,2017,28.38343
aus,2018,28.62673
aus,2019,30.64227
aus,2020,31.62221
aut,2014,13.0488
aut,2015,13.71662
aut,2016,13.95766
aut,2017,14.55204
aut,2019,15.42193
aze,1999,16.6429
aze,2007,27.24139
aze,2008,27.36031
aze,2013,19.00203
aze,2014,19.04231
aze,2015,19.07084
aze,2016,19.1242
aze,2017,19.14858
aze,2019,19.20054
bdi,2014,1.28252
bdi,2017,1.40123
bel,2013,29.82404
bel,2014,30.97887
bel,2015,30.90264
bel,2016,31.43833
bel,2017,33.68357
bel,2019,33.66712
bfa,2014,0
bfa,2018,3.70983
bgd,2011,8.3825
bgd,2012,8.58939
bgd,2013,7.83822
bgd,2014,7.97108
bgd,2015,11.19056
bgd,2016,11.53439
bgd,2017,12.05581
bgd,2018,12.50161
bgd,2019,12.94728
bgd,2020,17.78063
bgr,1975,7.11627
bgr,1992,14.87876
bgr,2001,16.47987
bgr,2006,16.77098
bgr,2007,17.14447
bgr,2008,17.50939
bgr,2009,17.58469
bgr,2010,17.47617
bgr,2011,17.69292
bgr,2012,18.12347
bgr,2013,19.29771
bgr,2014,20.15373
bgr,2015,20.38969
bgr,2016,20.56251
bgr,2017,20.57752
bgr,2020,22.11832
bhr,2001,10.8075
bhr,2010,8.8107
bhr,2016,12.33069
bhr,2017,12.16221
bhr,2018,18.25991
bhr,2020,21.72741
bhs,2000,0.35616
bhs,2010,12.68759
bih,2010,6.38215
bih,2011,6.86432
bih,2014,8.47431
bih,2015,8.11304
bih,2016,8.71086
bih,2018,8.34688
bih,2020,10.54821
blr,1989,13.7319
blr,2009,21.27216
blr,2019,26.33706
blz,2020,6.70113
bmu,2000,27.27228
bmu,2010,25.95189
bmu,2016,28.12035
bol,2015,23.52015
bol,2019,25.9844
bra,2016,13.5613
bra,2017,13.68589
bra,2018,14.54734
brb,2000,0.96535
brn,2011,10.53745
btn,2012,6.59343
btn,2017,12.6712
can,2016,24.74326
chl,2011,10.97776
chl,2013,12.59232
chl,2015,14.04216
chl,2017,15.24377
chn,2010,4.1459
cod,2013,2.9686
cod,2016,5.63127
col,2007,9.96172
col,2008,10.14967
col,2009,9.22038
col,2010,9.57276
