global,time,dc_dac_poll_cd
world,2005,47900001.52588
world,2006,121849998.47412
world,2007,155740005.49316
world,2008,83970001.2207
world,2009,92019996.64307
world,2010,96809997.55859
world,2011,90659996.03271
world,2012,111510002.13623
world,2013,127059997.55859
world,2014,82279998.7793
world,2015,100120002.74658
world,2016,148990005.49316
world,2017,222099990.84473
world,2018,238010009.76562
world,2019,207540008.54492
