global,time,se_sec_cmpt_lo_zs
world,1986,53.00329
world,1987,53.21163
world,1988,53.23028
world,1989,53.97661
world,1990,54.14442
world,1991,54.70045
world,1992,55.71904
world,1993,56.84282
world,1994,57.30488
world,1995,58.06575
world,1996,58.98902
world,1997,60.78836
world,1998,61.70418
world,1999,62.6671
world,2000,63.83296
world,2001,65.1749
world,2002,66.97332
world,2003,68.73728
world,2004,69.66315
world,2005,70.15754
world,2006,70.59487
world,2007,71.3807
world,2008,72.40923
world,2009,73.05922
world,2010,73.83166
world,2011,74.74875
world,2012,74.77972
world,2013,74.70749
world,2014,75.143
world,2015,75.94589
world,2016,76.3265
world,2017,75.80117
world,2018,75.75645
world,2019,76.2831
world,2020,77.00557
