global,time,sh_xpd_ghed_pc_cd
world,2000,275.00386
world,2001,282.26319
world,2002,299.79648
world,2003,339.98268
world,2004,377.8266
world,2005,400.36341
world,2006,425.85847
world,2007,468.86624
world,2008,515.78881
world,2009,527.15804
world,2010,548.94866
world,2011,600.18926
world,2012,602.08055
world,2013,610.23039
world,2014,628.05202
world,2015,599.02298
world,2016,609.64474
world,2017,632.01906
world,2018,661.22157
world,2019,671.11264
