geo,time,sl_emp_vuln_zs
bdi,2010,83.73
bdi,2011,83.79
bdi,2012,83.55
bdi,2013,83.52
bdi,2014,83.52
bdi,2015,83.84
bdi,2016,83.78
bdi,2017,84.15
bdi,2018,84.37
bdi,2019,84.57
bel,1991,12.81
bel,1992,13.36
bel,1993,13.33
bel,1994,13.16
bel,1995,13.36
bel,1996,13.4
bel,1997,12.85
bel,1998,12.57
bel,1999,12.82
bel,2000,11.52
bel,2001,10.73
bel,2002,11.4
bel,2003,11.02
bel,2004,10.17
bel,2005,10.58
bel,2006,10.4
bel,2007,10.32
bel,2008,10.02
bel,2009,10.32
bel,2010,9.89
bel,2011,10.17
bel,2012,10.25
bel,2013,10.78
bel,2014,10.51
bel,2015,10.88
bel,2016,10.69
bel,2017,10.2
bel,2018,10.24
bel,2019,10.6
ben,1991,90.89
ben,1992,90.82
ben,1993,90.78
ben,1994,89.5
ben,1995,89.56
ben,1996,89.49
ben,1997,89.38
ben,1998,89.47
ben,1999,89.22
ben,2000,89.14
ben,2001,88.87
ben,2002,88.78
ben,2003,88.7
ben,2004,88.79
ben,2005,88.69
ben,2006,88.75
ben,2007,88.79
ben,2008,88.94
ben,2009,88.88
ben,2010,88.77
ben,2011,88.77
ben,2012,88.76
ben,2013,88.51
ben,2014,88.2
ben,2015,87.91
ben,2016,88.03
ben,2017,87.58
ben,2018,87.33
ben,2019,86.77
bfa,1991,95.04
bfa,1992,95.04
bfa,1993,95.05
bfa,1994,95.07
bfa,1995,95.04
bfa,1996,94.98
bfa,1997,94.81
bfa,1998,94.77
bfa,1999,94.35
bfa,2000,94.33
bfa,2001,94.22
bfa,2002,94.03
bfa,2003,93.54
bfa,2004,93.28
bfa,2005,93.14
bfa,2006,92.78
bfa,2007,92.1
bfa,2008,91.83
bfa,2009,91.05
bfa,2010,89.93
bfa,2011,88.87
bfa,2012,88.33
bfa,2013,88.02
bfa,2014,87.16
bfa,2015,86.85
bfa,2016,86.22
bfa,2017,85.71
bfa,2018,85.38
bfa,2019,85.01
bgd,1991,68.21
bgd,1992,68.17
bgd,1993,68.11
bgd,1994,68.07
bgd,1995,67.95
bgd,1996,67.84
bgd,1997,67.69
bgd,1998,67.47
bgd,1999,67.21
bgd,2000,66.87
bgd,2001,66.46
bgd,2002,66.12
bgd,2003,65.7
bgd,2004,65.25
bgd,2005,64.64
bgd,2006,63.95
bgd,2007,63.47
bgd,2008,63
bgd,2009,62.58
bgd,2010,62.12
bgd,2011,61.58
bgd,2012,60.99
bgd,2013,60.39
bgd,2014,59.7
bgd,2015,58.87
bgd,2016,57.87
bgd,2017,56.04
bgd,2018,54.97
bgd,2019,53.86
bgr,1991,13.14
bgr,1992,13.28
bgr,1993,13.44
bgr,1994,13.56
bgr,1995,13.7
bgr,1996,13.77
bgr,1997,13.96
bgr,1998,13.93
bgr,1999,14.08
bgr,2000,14.01
bgr,2001,11.52
bgr,2002,11.75
bgr,2003,12.28
bgr,2004,12.02
bgr,2005,10.2
bgr,2006,9.19
bgr,2007,8.37
bgr,2008,8.74
bgr,2009,8.99
bgr,2010,8.89
bgr,2011,8.48
bgr,2012,8.02
bgr,2013,8.22
bgr,2014,8.68
bgr,2015,8.46
bgr,2016,8.18
bgr,2017,8.25
bgr,2018,7.94
bgr,2019,7.28
