global,time,se_sec_prog_fe_zs
world,1988,76.45073
world,1989,77.13454
world,1990,78.87771
world,1991,80.0195
world,1992,81.69642
world,1993,81.54955
world,1994,82.85909
world,1995,85.11417
world,1996,85.7454
world,1997,85.85172
world,1998,86.07132
world,1999,86.80774
world,2000,87.31224
world,2001,88.62734
world,2002,89.65542
world,2003,88.8923
world,2004,88.90205
world,2005,89.91546
world,2006,90.87938
world,2007,91.31572
world,2008,91.24717
world,2010,91.62866
world,2011,91.57362
world,2012,90.44522
world,2013,90.30597
world,2014,90.4861
world,2015,90.95731
world,2016,90.60188
world,2017,91.06873
