geo,time,tm_tax_mrch_sm_fn_zs
abw,2011,9.61
abw,2012,9.58
abw,2013,9.59
abw,2015,9.39
abw,2016,9.39
abw,2017,9.41
abw,2018,9.39
abw,2019,10.83
afg,2004,4.09
afg,2006,5.66
afg,2007,5.66
afg,2008,5.57
afg,2012,5.89
afg,2013,5.89
afg,2018,6.5
ago,2002,8.81
ago,2004,8.8
ago,2005,7.2
ago,2006,7.2
ago,2008,7.32
ago,2009,7.31
ago,2010,7.28
ago,2011,7.28
ago,2012,7.24
ago,2013,7.24
ago,2014,11.42
ago,2015,11.42
ago,2016,11.42
ago,2018,9.06
ago,2019,9.07
ago,2020,9.82
alb,1997,15.94
alb,2000,10.56
alb,2001,10.57
alb,2002,7.36
alb,2003,7.03
alb,2004,6.26
alb,2005,5.95
alb,2006,5.55
alb,2007,5.38
alb,2008,5.21
alb,2009,4.99
alb,2010,4.99
alb,2011,4.99
alb,2012,3.8
alb,2013,3.8
alb,2014,3.8
alb,2015,3.78
alb,2016,3.78
alb,2017,3.74
alb,2018,3.7
alb,2019,3.7
alb,2020,3.7
are,2003,5.09
are,2005,5.09
are,2006,5.04
are,2007,4.81
are,2008,5
are,2009,4.98
are,2011,4.72
are,2012,4.74
are,2013,4.74
are,2014,4.68
are,2015,4.75
are,2016,4.76
are,2017,5.14
are,2018,5.05
are,2019,5.05
are,2020,4.97
arg,1992,12.64
arg,1993,11.19
arg,1995,12.1
arg,1996,12.72
arg,1997,12.83
arg,1998,15.26
arg,1999,15.09
arg,2000,15.05
arg,2001,12.71
arg,2002,13.8
arg,2003,14.15
arg,2004,12.35
arg,2005,11.21
arg,2006,11.19
arg,2007,12.15
arg,2008,12.02
arg,2009,12.92
arg,2010,12.83
arg,2011,12.64
arg,2012,12.6
arg,2013,13.39
arg,2014,13.64
arg,2015,13.64
arg,2016,13.62
arg,2017,13.69
arg,2018,13.34
arg,2019,13.19
arg,2020,13.13
arm,2001,2.96
arm,2003,2.9
arm,2004,2.9
arm,2005,2.9
arm,2006,2.88
arm,2007,2.87
arm,2008,2.85
arm,2009,2.93
arm,2010,2.93
arm,2011,3.01
arm,2012,3.56
arm,2013,3.55
arm,2014,3.73
arm,2015,7.01
arm,2016,6.27
arm,2017,5.92
arm,2018,6.34
arm,2019,8.46
arm,2020,6.27
atg,1996,21.59
atg,1999,19.12
atg,2000,10.74
atg,2001,9.64
atg,2002,9.64
atg,2003,9.64
atg,2004,9.75
atg,2005,9.75
atg,2006,9.69
atg,2007,9.69
atg,2008,9.69
atg,2009,9.75
atg,2010,10.35
atg,2011,10.35
atg,2012,10.49
atg,2013,10.02
atg,2014,9.9
atg,2015,9.91
atg,2016,9.91
atg,2017,9.91
atg,2018,9.91
atg,2019,9.91
atg,2020,9.91
aus,1991,19.94
aus,1993,9.84
aus,1996,6.87
aus,1997,6.56
aus,1998,6.25
aus,1999,5.94
aus,2000,5.57
aus,2001,4.18
aus,2002,4.18
aus,2003,4.18
aus,2004,4.18
aus,2005,3.47
aus,2006,3.48
aus,2007,3.5
aus,2008,4.11
aus,2009,3.49
aus,2010,2.8
aus,2011,2.77
aus,2012,2.69
aus,2013,2.69
aus,2014,2.69
aus,2015,2.49
aus,2016,2.49
aus,2017,2.5
aus,2018,2.5
aus,2019,2.45
aus,2020,2.45
aut,1988,6.24
aut,1989,6.26
aut,1990,8.25
aut,1991,7.05
aut,1992,7.14
aut,1993,7.06
aut,1994,7.05
aut,1995,9.01
aut,1996,8
aut,1997,7.97
aut,1998,7.14
aut,1999,6.79
aut,2000,6.19
aut,2001,6.48
aut,2002,6.13
aut,2003,6
aut,2004,5.83
aut,2005,5.97
aut,2006,5.94
aut,2007,5.57
aut,2008,5.47
aut,2009,5.44
aut,2010,5.6
aut,2011,5.61
aut,2012,5.76
aut,2013,5.71
aut,2014,5.71
aut,2015,5.72
aut,2016,5.69
aut,2017,5.62
aut,2018,5.6
aut,2019,6.16
aut,2020,4.32
aze,2002,10
aze,2005,10.1
aze,2007,9.5
aze,2008,8.8
aze,2009,9.43
aze,2011,9.59
aze,2012,9.83
aze,2013,9.66
aze,2014,9.65
aze,2015,8.83
aze,2019,15.01
aze,2020,8.45
bdi,2002,23.39
bdi,2003,23.43
bdi,2005,19.22
bdi,2006,12.73
bdi,2007,12.73
bdi,2008,12.73
bdi,2009,12.61
bdi,2010,12.61
bdi,2011,12.5
bdi,2012,12.86
bdi,2013,12.82
bdi,2014,12.78
bdi,2015,12.81
bdi,2016,12.81
bdi,2018,12.97
bdi,2019,12.96
bdi,2020,12.97
bel,1988,6.24
bel,1989,6.26
bel,1990,8.25
bel,1991,7.05
bel,1992,7.14
bel,1993,7.06
bel,1994,7.05
bel,1995,9.01
bel,1996,8
bel,1997,7.97
bel,1998,7.14
bel,1999,6.79
bel,2000,6.19
bel,2001,6.48
bel,2002,6.13
bel,2003,6
bel,2004,5.83
bel,2005,5.97
bel,2006,5.94
bel,2007,5.57
bel,2008,5.47
bel,2009,5.44
bel,2010,5.6
bel,2011,5.61
bel,2012,5.76
bel,2013,5.71
bel,2014,5.71
bel,2015,5.72
bel,2016,5.69
bel,2017,5.62
bel,2018,5.6
bel,2019,6.16
bel,2020,4.32
ben,2001,11.99
ben,2002,11.95
ben,2003,11.98
ben,2004,11.99
ben,2005,12
ben,2006,11.99
ben,2007,11.94
ben,2008,11.94
ben,2009,11.94
ben,2010,11.94
ben,2011,11.92
ben,2012,11.92
ben,2013,11.92
ben,2014,11.92
ben,2015,12.16
ben,2016,12.16
ben,2017,12.17
ben,2018,12.17
ben,2019,12.17
ben,2020,12.17
bfa,1993,5
bfa,2001,11.99
bfa,2002,11.95
bfa,2003,11.98
bfa,2004,11.99
bfa,2005,12
bfa,2006,11.99
bfa,2007,11.94
bfa,2008,11.94
bfa,2009,11.94
bfa,2010,11.94
bfa,2011,11.92
bfa,2012,11.92
bfa,2013,11.92
bfa,2014,11.92
bfa,2015,12.16
bfa,2016,12.16
bfa,2017,12.17
bfa,2018,12.17
bfa,2019,12.17
bfa,2020,12.17
bgd,1989,114.01
bgd,1994,82.79
bgd,1998,26.71
bgd,1999,21.78
bgd,2000,21.64
bgd,2001,20.61
bgd,2002,20.67
bgd,2003,19.52
bgd,2004,18.43
bgd,2005,15.31
bgd,2006,15.3
bgd,2007,14.57
bgd,2008,14.74
bgd,2009,14.44
bgd,2010,14.43
bgd,2011,14.42
bgd,2012,14.58
bgd,2013,13.93
bgd,2015,13.88
bgd,2016,13.88
bgd,2019,14.04
bgd,2020,14.04
bgr,1988,6.24
bgr,1989,6.26
bgr,1990,8.25
bgr,1991,7.05
bgr,1992,7.14
bgr,1993,7.06
bgr,1994,7.05
bgr,1995,9.01
bgr,1996,8
bgr,1997,7.97
bgr,1998,7.14
bgr,1999,6.79
bgr,2000,6.19
bgr,2001,6.48
bgr,2002,6.13
bgr,2003,6
bgr,2004,5.83
bgr,2005,5.97
bgr,2006,5.94
bgr,2007,5.57
bgr,2008,5.47
bgr,2009,5.44
bgr,2010,5.6
bgr,2011,5.61
bgr,2012,5.76
bgr,2013,5.71
bgr,2014,5.71
bgr,2015,5.72
bgr,2016,5.69
bgr,2017,5.62
bgr,2018,5.6
bgr,2019,6.16
bgr,2020,4.32
bhr,1999,7.77
bhr,2000,7.86
bhr,2001,7.78
bhr,2002,5.22
bhr,2003,5.16
bhr,2004,5.16
bhr,2005,5.42
bhr,2006,5.29
bhr,2007,5.24
bhr,2008,5.22
bhr,2009,5.21
bhr,2010,4.96
bhr,2011,5.16
bhr,2012,5.16
bhr,2013,5.4
bhr,2014,4.66
bhr,2015,4.73
bhr,2016,4.73
bhr,2017,5.12
bhr,2018,5.04
bhr,2019,5.04
bhr,2020,4.96
bhs,1999,31.17
bhs,2002,30.65
bhs,2006,30.25
bhs,2010,35.93
bhs,2011,35.93
bhs,2013,35.15
bhs,2014,35.12
bhs,2015,33.88
bhs,2016,33.2
bhs,2018,32.43
bih,2001,6.04
bih,2006,7.13
bih,2007,7.01
bih,2008,6.82
bih,2009,6.76
bih,2010,6.79
bih,2011,6.74
bih,2012,6.6
bih,2013,6.52
bih,2014,6.51
bih,2015,6.52
bih,2016,6.44
bih,2017,6.45
bih,2018,6.52
bih,2019,9.6
bih,2020,6.47
blr,1996,12.12
blr,1997,12.56
blr,2000,9.94
blr,2001,9.95
blr,2002,11
blr,2008,10.1
blr,2009,10.18
blr,2010,9
blr,2011,8.93
blr,2012,9.04
blr,2013,8.84
blr,2014,8.07
blr,2015,7.52
blr,2016,6.79
blr,2017,6.42
blr,2018,7.07
blr,2019,9.53
blr,2020,6.51
blz,1996,22.22
blz,1999,19.72
blz,2001,10.53
blz,2002,10.53
blz,2003,10.53
blz,2006,10.39
blz,2007,10.38
blz,2008,10.38
blz,2009,10.59
blz,2010,10.58
blz,2011,10.37
blz,2012,10.37
blz,2013,11.28
blz,2014,11.28
blz,2015,11.28
blz,2016,11.28
blz,2017,11.28
blz,2018,11.3
blz,2019,11.3
blz,2020,11.93
bmu,2001,19.55
bmu,2005,18.56
bmu,2007,18.39
bmu,2008,18.28
bmu,2009,18.24
bmu,2010,17.95
bmu,2011,17.92
bmu,2012,17.44
bmu,2013,17.39
bmu,2014,17.39
bmu,2015,17.47
bmu,2016,17.56
bmu,2017,19.37
bmu,2018,23.32
bmu,2019,28.09
bmu,2020,23.32
bol,1993,9.81
bol,1994,9.99
bol,1995,9.74
bol,1996,9.72
bol,1997,9.72
bol,1998,9.72
bol,1999,9.72
bol,2000,9.31
bol,2001,9.32
bol,2002,9.75
bol,2003,9.27
bol,2004,9.39
bol,2005,8.35
bol,2006,8.32
bol,2007,8.32
bol,2008,8.32
bol,2009,10.31
bol,2010,11.19
bol,2011,11.17
bol,2012,11.17
bol,2013,11.63
bol,2014,11.63
bol,2015,11.63
bol,2016,11.63
bol,2017,11.88
bol,2018,11.88
bol,2019,11.88
bol,2020,11.88
bra,1989,44.03
bra,1990,32.17
bra,1991,25.84
bra,1992,23.13
bra,1993,14.02
bra,1994,12.75
bra,1995,13.05
bra,1996,13.4
bra,1997,13.12
bra,1998,15.95
bra,1999,15.76
bra,2000,15.55
bra,2001,14.19
bra,2002,13.76
bra,2003,13.45
bra,2004,13.4
bra,2005,12.35
bra,2006,12.31
bra,2007,12.23
bra,2008,13.19
bra,2009,13.6
bra,2010,13.69
bra,2011,13.69
bra,2012,13.7
bra,2013,13.54
bra,2014,13.57
bra,2015,13.56
bra,2016,13.56
bra,2017,13.58
bra,2018,13.58
bra,2019,13.56
bra,2020,13.55
brb,1996,24.25
brb,1999,21.7
brb,2000,21.5
brb,2001,13.75
brb,2002,13.89
brb,2003,13.86
brb,2004,14.27
brb,2006,13.23
brb,2007,13.81
brb,2010,10.93
brb,2011,10.9
brb,2012,11.03
brb,2013,12.59
brb,2020,11.92
brn,1992,2.66
brn,1996,4.29
brn,1997,4.27
brn,1998,4.24
brn,1999,4.16
brn,2000,4.11
brn,2001,4.12
brn,2002,3.74
brn,2003,3.71
brn,2004,3.67
brn,2005,3.66
brn,2006,3.67
brn,2007,3.69
brn,2008,2.46
brn,2009,2.52
brn,2010,2.52
brn,2011,2.49
brn,2014,1.14
brn,2016,1.14
brn,2017,0.21
brn,2018,0.21
brn,2019,0.21
brn,2020,0.21
btn,1996,15.27
btn,2002,16.61
btn,2004,22.11
btn,2005,22.12
btn,2007,21.88
btn,2015,22.29
btn,2019,22.43
btn,2020,22.42
bwa,2001,9.16
bwa,2002,8.65
bwa,2004,8.03
bwa,2005,8.14
bwa,2006,8.09
bwa,2007,7.88
bwa,2008,7.82
bwa,2009,7.8
bwa,2010,7.71
bwa,2011,7.69
bwa,2012,7.61
bwa,2013,7.61
bwa,2014,7.57
bwa,2015,7.63
bwa,2016,7.71
bwa,2017,7.86
bwa,2018,7.92
bwa,2019,10.22
bwa,2020,7.86
caf,1995,18.23
caf,1997,18.23
caf,2001,18.04
caf,2002,18.04
caf,2003,18.22
caf,2004,18.22
caf,2005,18.05
caf,2006,17.99
caf,2007,17.86
caf,2008,17.75
caf,2009,17.75
caf,2010,17.75
caf,2011,17.75
caf,2012,17.78
caf,2013,17.93
caf,2015,17.99
caf,2016,17.99
caf,2017,17.99
can,1989,9.23
can,1993,8.99
can,1995,9.53
can,1996,7.87
can,1997,7.38
can,1998,5.93
can,1999,5.96
can,2000,5.36
can,2001,5.29
can,2002,5.14
can,2003,7.59
can,2004,4.9
can,2005,4.88
can,2006,4.69
can,2007,4.67
can,2008,4.63
can,2009,4.49
can,2010,3.66
can,2011,3.61
can,2012,3.55
can,2013,3.44
can,2014,3.31
can,2015,3.26
can,2016,3.26
can,2017,3.21
can,2018,3.2
can,2019,4.11
can,2020,3.26
che,1990,15.72
che,1993,17.41
che,1995,13.93
che,1996,12.36
che,1997,10.69
che,1998,10
che,1999,10.08
che,2000,10.45
che,2001,10.36
che,2002,9.54
che,2003,10.19
che,2004,9.2
che,2005,10.06
che,2006,9.83
che,2007,9.11
che,2008,8.75
che,2009,8.69
che,2010,7.57
che,2011,9.3
che,2012,9.72
che,2013,9.59
che,2014,9.68
che,2015,9.68
che,2016,9.87
che,2017,10.61
che,2018,10.42
che,2019,11
che,2020,9.95
chl,1992,10.97
chl,1993,10.97
chl,1994,10.97
chl,1995,10.97
chl,1996,10.97
chl,1997,10.97
chl,1998,10.97
chl,1999,9.97
chl,2000,9
chl,2001,8
chl,2002,6.98
chl,2003,5.95
chl,2004,6
chl,2005,6
chl,2006,5.98
chl,2007,5.98
chl,2008,5.99
chl,2009,5.99
chl,2010,5.99
chl,2011,5.98
chl,2012,5.98
chl,2013,5.98
chl,2015,5.98
chl,2016,5.98
chl,2017,5.98
chl,2018,5.98
chl,2019,5.98
chl,2020,5.98
chn,1992,42.09
chn,1993,39.08
chn,1994,35.51
chn,1996,23.7
chn,1997,17.51
chn,1998,18.28
chn,1999,17.12
chn,2000,16.99
chn,2001,15.88
chn,2002,13.11
chn,2003,11.36
chn,2004,10.52
chn,2005,9.81
chn,2006,9.87
chn,2007,10.01
chn,2008,9.7
chn,2009,9.62
chn,2010,9.74
chn,2011,9.8
chn,2014,9.67
chn,2015,11.04
chn,2016,10.93
chn,2017,11.01
chn,2018,9.86
chn,2019,7.45
chn,2020,7.56
civ,1993,4.85
civ,1996,4.8
civ,2001,11.99
civ,2002,11.95
civ,2003,11.98
civ,2004,11.99
civ,2005,12
civ,2006,11.99
civ,2007,11.94
civ,2008,11.94
civ,2009,11.94
civ,2010,11.94
civ,2011,11.92
civ,2012,11.92
civ,2013,11.92
civ,2014,11.92
civ,2015,12.16
civ,2016,12.16
civ,2017,12.17
civ,2018,12.17
civ,2019,12.17
civ,2020,12.17
cmr,1994,18.33
cmr,1995,18.23
cmr,2001,18.04
cmr,2002,18.04
cmr,2003,18.22
cmr,2004,18.22
cmr,2005,18.05
cmr,2006,18.22
cmr,2007,17.86
cmr,2008,17.75
cmr,2009,17.62
cmr,2010,17.75
cmr,2011,17.82
