geo,time,sh_sta_mmrt_ne
afg,2010,700
afg,2016,1194
ago,2016,281
alb,1987,32
alb,1988,35
alb,1989,42
alb,1995,13
alb,1996,13
alb,1997,10
alb,1998,14
alb,1999,4
alb,2000,16
alb,2001,4
alb,2002,9
alb,2003,2
alb,2004,2
alb,2005,15
are,2005,0
are,2006,1
are,2007,1
are,2008,1
are,2009,2
arg,1985,55
arg,1986,52
arg,1987,45
arg,1988,45
arg,1989,47
arg,1990,49
arg,1991,45
arg,1992,44
arg,1993,42
arg,1994,35
arg,1995,40
arg,1996,44
arg,1997,36
arg,1998,36
arg,1999,39
arg,2000,34
arg,2001,41
arg,2002,44
arg,2003,42
arg,2004,40
arg,2005,38
arg,2006,44
arg,2007,41
arg,2008,39
arg,2009,54
arg,2010,43
arg,2011,40
arg,2012,33
arg,2013,32
arg,2015,38
arg,2016,32
arm,1985,22
arm,1986,29
arm,1987,39
arm,1988,194
arm,1989,33
arm,1990,43
arm,1991,24
arm,1992,13
arm,1993,26
arm,1994,26
arm,1995,32
arm,1996,21
arm,1997,38
arm,1998,24
arm,1999,30
arm,2000,45
arm,2001,18
arm,2002,8
arm,2003,20
arm,2004,24
arm,2005,17
arm,2006,23
arm,2007,14
arm,2008,36
arm,2009,27
arm,2010,9
arm,2011,16
arm,2012,18
arm,2013,20
arm,2014,21
arm,2015,16
arm,2016,28
arm,2017,7
aus,1997,10
aus,2000,7
aus,2003,6
aus,2006,5
aus,2011,4
aus,2012,8
aus,2013,9
aus,2015,3
aut,1985,7
aut,1986,7
aut,1987,5
aut,1988,6
aut,1989,8
aut,1990,7
aut,1991,8
aut,1992,4
aut,1993,4
aut,1994,9
aut,1995,1
aut,1996,5
aut,1997,2
aut,1998,5
aut,1999,1
aut,2001,4
aut,2002,6
aut,2003,9
aut,2004,3
aut,2005,6
aut,2006,9
aut,2007,4
aut,2008,3
aut,2009,3
aut,2010,1
aut,2011,3
aut,2012,1
aut,2013,1
aut,2014,8
aut,2015,5
aut,2016,6
aut,2017,1
aze,1985,38
aze,1986,28
aze,1987,33
aze,1988,19
aze,1989,25
aze,1990,8
aze,1991,10
aze,1992,18
aze,1993,31
aze,1994,38
aze,1995,30
aze,1996,34
aze,1997,25
aze,1998,34
aze,1999,35
aze,2000,31
aze,2001,20
aze,2002,16
aze,2003,15
aze,2004,25
aze,2005,30
aze,2006,36
aze,2007,37
aze,2008,26
aze,2009,23
aze,2010,16
aze,2011,16
aze,2012,15
aze,2013,14
aze,2014,14
aze,2015,13
aze,2016,13
aze,2017,12
bdi,2010,785
bdi,2017,580
bel,1985,6
bel,1986,3
bel,1987,3
bel,1988,3
bel,1989,7
bel,1990,3
bel,1991,4
bel,1992,6
bel,1993,5
bel,1994,6
bel,1995,9
bel,1996,5
bel,1997,9
bel,1998,10
bel,1999,5
bel,2000,4
bel,2001,11
bel,2002,3
bel,2003,6
bel,2004,1
bel,2005,3
bel,2006,7
bel,2007,6
bel,2008,6
bel,2009,5
bel,2010,6
bel,2011,6
bel,2012,4
bel,2013,2
bel,2014,5
bel,2015,3
ben,1992,317
ben,1996,693
ben,2006,541
ben,2014,512
bfa,1999,570
bfa,2006,334
bfa,2010,452
bgd,2001,432
bgd,2011,316
bgd,2017,215
bgr,1985,12
bgr,1986,25
bgr,1987,20
bgr,1988,10
bgr,1989,19
bgr,1990,21
bgr,1991,10
bgr,1992,20
bgr,1993,14
bgr,1994,12
bgr,1995,13
bgr,1996,19
bgr,1997,17
bgr,1998,15
bgr,1999,24
bgr,2000,20
bgr,2001,20
bgr,2002,16
bgr,2003,6
bgr,2004,10
bgr,2005,11
bgr,2006,5
bgr,2007,11
bgr,2008,5
bgr,2009,4
bgr,2010,8
bgr,2011,3
bgr,2012,4
bgr,2013,10
bgr,2014,7
bhr,1985,14
bhr,1987,7
bhr,1988,0
bhr,1997,14
bhr,1998,14
bhr,1999,21
bhr,2000,13
bhr,2001,20
bhr,2002,19
bhr,2003,19
bhr,2004,18
bhr,2005,0
bhr,2006,0
bhr,2007,16
bhr,2008,16
bhr,2009,16
bhr,2010,5
bhr,2011,10
bhr,2012,10
bhr,2013,19
bhr,2014,9
bih,1985,34
bih,1986,27
bih,1987,21
bih,1988,19
bih,1989,25
bih,1990,9
bih,1991,23
bih,2011,6
bih,2014,0
blr,1985,17
blr,1986,21
blr,1987,24
blr,1988,26
blr,1989,25
blr,1990,21
blr,1991,30
blr,1992,21
blr,1993,20
blr,1994,19
blr,1995,13
blr,1996,21
blr,1997,24
blr,1998,28
blr,1999,21
blr,2000,23
blr,2001,15
blr,2002,19
blr,2003,20
blr,2007,7
blr,2008,3
blr,2009,1
blr,2010,1
blr,2011,1
blr,2013,0
blr,2014,1
blz,1986,62
blz,1987,15
blz,1989,45
blz,1990,45
blz,1991,59
blz,1995,14
blz,1996,0
blz,1997,42
blz,1998,126
blz,1999,28
blz,2000,68
blz,2001,40
blz,2002,80
blz,2003,13
blz,2004,40
blz,2005,133
blz,2006,40
blz,2007,27
blz,2008,27
blz,2009,53
blz,2010,53
blz,2011,0
blz,2012,26
blz,2013,0
blz,2014,0
blz,2015,0
blz,2016,13
bol,1994,363
bol,2003,316
bol,2008,396
bol,2012,176
bra,1985,48
bra,1986,47
bra,1987,50
bra,1988,46
bra,1989,44
bra,1990,44
bra,1991,41
bra,1992,41
bra,1993,44
bra,1994,45
bra,1995,44
bra,1996,193
bra,1997,101
bra,1998,109
bra,1999,113
bra,2000,98
bra,2001,67
bra,2002,72
bra,2003,77
bra,2004,74
bra,2005,78
bra,2006,71
bra,2007,79
bra,2008,78
bra,2009,72
bra,2010,69
bra,2011,66
bra,2012,60
bra,2013,58
bra,2014,61
bra,2015,64
bra,2016,63
bra,2017,62
bra,2018,59
brb,1986,23
brb,1987,0
brb,1988,24
brb,1989,166
brb,1990,72
brb,1991,48
brb,1992,73
brb,1993,25
brb,1994,50
brb,1995,0
brb,2000,26
brb,2001,0
brb,2002,54
brb,2003,54
brb,2004,27
brb,2005,0
brb,2006,28
brb,2007,0
brb,2008,58
brb,2009,0
brb,2010,0
brb,2011,62
brb,2012,31
brb,2013,32
brn,1996,13
brn,1997,26
brn,1998,39
brn,1999,0
brn,2000,26
brn,2001,40
brn,2002,40
brn,2003,41
brn,2004,14
brn,2005,14
brn,2006,29
brn,2007,15
brn,2008,0
brn,2009,15
brn,2010,15
