geo,time,se_prm_tenr_fe
btn,2006,74.82616
btn,2008,81.56659
btn,2009,86.52828
btn,2010,89.16829
btn,2011,90.50276
btn,2012,92.8337
btn,2013,92.17162
btn,2015,91.41402
btn,2016,90.67862
btn,2017,90.30842
btn,2018,90.79405
bwa,1970,53.12263
bwa,1971,49.56221
bwa,1972,51.34131
bwa,1973,54.88695
bwa,1974,59.53586
bwa,1975,67.11246
bwa,1976,71.9274
bwa,1977,76.23953
bwa,1978,76.78652
bwa,1979,78.23757
bwa,1980,82.65349
bwa,1981,87.01356
bwa,1983,91.66206
bwa,1984,92.07417
bwa,1985,93.95577
bwa,1986,93.86721
bwa,1987,94.3179
bwa,1988,94.75767
bwa,1989,94.91828
bwa,1990,94.99855
bwa,1991,97.27605
bwa,1992,96.22717
bwa,1993,95.38295
bwa,1994,95.18357
bwa,1995,85.28204
bwa,1996,85.60003
bwa,1998,88.25432
bwa,1999,87.06785
bwa,2000,88.00626
bwa,2001,89.33542
bwa,2002,89.21249
bwa,2003,89.34899
bwa,2004,88.67804
bwa,2005,89.3522
bwa,2006,89.87073
bwa,2007,89.53966
bwa,2008,87.16181
bwa,2009,86.38464
bwa,2012,89.27674
caf,1971,34.26885
caf,1972,36.38039
caf,1973,38.97356
caf,1977,38.08183
caf,1978,37.84995
caf,1981,42.2307
caf,1982,43.12012
caf,1983,42.50485
caf,1986,50.49967
caf,1987,41.33507
caf,1988,39.87899
caf,1989,40.29103
caf,1990,47.60661
caf,1991,44.41109
caf,2005,40.45361
caf,2006,40.4587
caf,2007,46.82997
caf,2008,55.09119
caf,2009,55.11041
caf,2011,56.00476
can,1982,95.95956
can,1983,95.49716
can,1984,94.85156
can,1985,94.82993
can,1986,95.23914
can,1987,95.25014
can,1988,95.27682
can,1989,94.92075
can,1990,96.08404
can,1991,98.11202
can,1992,97.87987
can,1993,95.8605
can,1994,94.91432
can,1995,94.10072
can,1996,95.00646
can,1998,99.10776
che,1977,76.9349
che,1978,77.40173
che,1981,77.92082
che,1982,77.79511
che,1983,77.59522
che,1984,77.17359
che,1985,77.01762
che,1986,77.38807
che,1987,78.68488
che,1988,80.45377
che,1989,82.32717
che,1990,84.04539
che,1991,84.9129
che,1992,84.97695
che,1993,84.43805
che,1994,83.68513
che,1995,88.95611
che,1996,91.01745
che,2010,99.59231
che,2011,99.78332
che,2012,99.86111
chl,2007,95.17487
chl,2008,95.62984
chl,2009,94.32579
chl,2010,95.52824
chl,2011,94.77191
chl,2012,94.51068
chl,2013,93.73422
chl,2014,93.47307
chl,2015,93.49292
chl,2016,94.09142
chl,2017,94.79262
chn,1987,88.86181
chn,1989,92.44208
chn,1991,93.82729
chn,1992,93.15314
chn,1993,92.24111
chn,1994,90.89306
chn,1995,89.55309
chn,1996,88.67978
chn,1997,88.3706
civ,1977,39.38276
civ,1996,46.8227
civ,1997,47.69157
civ,1999,49.45401
civ,2000,47.86024
civ,2001,51.94523
civ,2002,51.1883
civ,2003,49.87982
civ,2009,50.48391
civ,2013,65.35666
civ,2014,68.26229
civ,2015,72.05407
civ,2016,82.34393
civ,2017,84.7071
civ,2018,89.7329
cmr,1971,56.27766
cmr,1972,56.39323
cmr,1973,54.80279
cmr,1974,53.93928
cmr,1975,59.73567
cmr,1976,61.46184
cmr,1977,60.59428
cmr,1978,61.76391
cmr,1979,62.99343
cmr,1980,63.3704
cmr,1988,68.92324
cmr,1990,68.15451
cmr,1991,66.47375
cmr,2011,82.91874
cmr,2016,90.25242
cmr,2017,88.71914
cod,1971,54.29018
cod,1972,53.46788
cod,1975,57.77708
cod,1979,60.11218
cod,1983,64.19606
cod,1984,65.41728
cod,1988,56.48755
cod,1991,54.07675
cod,1992,53.1399
cod,1993,52.48012
cod,1994,52.64684
cod,1995,55.95531
cod,1999,35.88598
cog,1972,76.49332
cog,1974,82.85252
cog,1976,87.32635
cog,1978,92.08962
cog,1979,92.62376
cog,1980,86.06842
cog,1981,85.15614
cog,1982,86.01027
cog,1983,86.9558
cog,1984,87.75996
cog,2005,56.45804
cog,2006,52.4217
cog,2010,84.61883
cog,2012,93.13751
col,1986,69.05872
col,1991,77.01311
col,1999,97.05801
col,2000,96.85771
col,2001,91.65179
col,2002,92.35925
col,2004,95.0468
col,2012,95.12067
col,2013,92.99698
col,2014,93.22195
col,2015,96.60999
col,2016,95.90338
col,2017,97.75212
col,2018,98.24626
com,1987,67.59841
com,1994,62.29609
com,1999,56.2346
com,2000,62.13601
com,2007,76.25053
com,2013,84.37104
com,2014,81.28183
com,2017,83.59432
com,2018,81.72153
cpv,1981,88.80977
cpv,1982,86.89369
cpv,1983,83.41503
cpv,1984,91.23305
cpv,1985,93.88383
cpv,1986,95.42331
cpv,1987,97.23594
cpv,2001,97.414
cpv,2002,96.70483
cpv,2003,96.07194
cpv,2004,95.44915
cpv,2005,96.04625
cpv,2006,96.9451
cpv,2007,96.85466
cpv,2008,95.67871
cpv,2009,94.6537
cpv,2010,93.92161
cpv,2011,92.24222
cpv,2012,92.6915
cpv,2013,92.48289
cpv,2014,92.42673
cpv,2015,92.65396
cpv,2016,91.85233
cpv,2017,92.1013
cpv,2018,92.64976
cri,1970,84.94045
cri,1972,87.59228
cri,1973,88.75836
cri,1975,90.56168
cri,1976,92.80986
cri,1978,91.38362
cri,1979,89.95903
cri,1980,89.96312
cri,1981,90.24776
cri,1982,88.54472
cri,1985,85.54829
cri,1986,86.63674
cri,1987,86.72537
cri,1989,86.90914
cri,1990,87.01864
cri,1991,87.64169
cri,2013,99.11983
cri,2014,97.21948
cri,2015,97.73134
cri,2016,98.41674
cri,2017,96.52241
cub,1972,93.53554
cub,1973,94.4193
cub,1974,95.09471
cub,1980,96.36885
cub,1981,94.41839
cub,1982,93.28839
cub,1983,93.08228
cub,1984,92.1089
cub,1985,90.05032
cub,1986,90.29418
cub,1987,91.73722
cub,1988,91.36786
cub,1989,91.67703
cub,1990,91.89559
cub,1991,91.71904
cub,1992,94.2409
cub,1993,95.03094
cub,1994,97.24664
cub,1995,97.14267
cub,1996,98.55066
cub,1997,98.23953
cub,1998,98.37705
cub,1999,99.01438
cub,2000,99.14523
cub,2003,98.33851
cub,2004,97.71117
cub,2005,97.05842
cub,2006,96.50009
cub,2007,96.5967
cub,2008,96.58432
cub,2009,98.18851
cub,2010,98.79176
cub,2011,98.49063
cub,2012,97.93168
cub,2013,97.86033
cub,2014,95.17437
cub,2015,93.97633
cub,2016,94.44392
cub,2017,95.5269
cub,2018,97.65977
cyp,1971,79.57353
cyp,1972,78.21518
cyp,1973,78.04012
cyp,1974,77.08835
cyp,1975,70.99085
cyp,1976,68.77587
cyp,1977,68.11347
cyp,1978,69.019
cyp,1979,69.99553
cyp,1980,69.21742
cyp,1981,71.51784
cyp,1982,68.43544
cyp,1983,68.05516
cyp,1984,68.09883
cyp,1985,68.95197
cyp,1986,73.50297
cyp,1987,77.48683
cyp,1988,78.76016
cyp,1989,78.95243
cyp,1990,78.78041
cyp,1991,79.15071
cyp,1992,77.19921
cyp,1993,97.66881
cyp,1994,96.77906
cyp,1995,96.13147
cyp,1996,95.85717
cyp,1997,96.37603
cyp,2000,98.40497
cyp,2001,97.81676
cyp,2002,98.78087
cyp,2003,98.8198
cyp,2004,98.69436
cyp,2012,98.3456
cyp,2013,97.93305
cyp,2014,97.79261
cyp,2015,98.15911
cyp,2016,97.45568
cyp,2017,98.22379
cze,2011,89.15596
cze,2012,89.69973
cze,2013,89.33868
cze,2014,89.49493
deu,1999,87.53235
deu,2000,87.11377
deu,2002,85.37444
deu,2003,85.71943
deu,2004,86.98664
deu,2005,87.84302
deu,2006,89.14933
deu,2007,89.54017
deu,2008,89.04671
deu,2009,88.82046
deu,2010,89.64072
deu,2011,89.28999
deu,2012,89.21926
deu,2013,88.92548
deu,2014,88.93744
deu,2015,90.32462
deu,2016,91.54246
dji,1985,21.54557
dji,1986,22.52534
dji,1987,22.40552
dji,1988,22.5391
dji,1989,22.8225
dji,1990,23.58978
dji,1992,24.37232
dji,1993,23.06435
dji,1994,23.8739
dji,1995,24.90626
dji,1996,24.44266
dji,1997,23.49403
dji,1999,22.68625
dji,2000,23.38959
dji,2001,25.78145
dji,2002,27.31451
dji,2004,31.16085
dji,2006,36.03817
dji,2007,41.18273
dji,2008,46.91447
dji,2009,48.06544
dji,2011,60.67932
dji,2013,61.12784
dji,2014,69.11964
dji,2015,63.10016
dji,2016,59.49485
dji,2017,62.02095
dji,2018,62.90327
dji,2019,67.01807
dma,1976,93.43276
dma,1977,94.54825
dma,1979,90.23237
dma,1980,87.07084
dma,1981,88.95975
dma,1982,88.29276
dma,2001,95.38017
dma,2002,95.67691
dma,2003,93.95031
dma,2004,91.6088
dma,2005,89.34475
dma,2006,88.90277
dma,2007,83.13332
dma,2008,83.89169
dma,2009,93.08009
dnk,1981,95.59286
dnk,1982,96.40157
dnk,1983,98.15753
dnk,1984,98.92843
dnk,1985,99.02563
dnk,1986,98.62751
dnk,1987,98.9879
dnk,1988,99.15072
dnk,1989,97.94835
dnk,1990,97.84123
dnk,1991,98.31617
dnk,1992,97.33748
dnk,1993,96.83258
dnk,1994,98.57861
dnk,1995,98.44747
dnk,1996,98.0899
dnk,2004,98.85243
dnk,2005,96.81633
dnk,2006,97.28118
dnk,2007,97.86368
dnk,2008,97.69505
dnk,2009,97.59002
dnk,2010,97.35466
dnk,2011,98.3422
dnk,2012,98.75794
dnk,2013,99.0475
dnk,2014,98.73444
dnk,2015,98.95893
dom,1999,85.65341
dom,2000,86.67423
dom,2002,90.64583
dom,2003,87.19125
dom,2004,85.51944
dom,2005,86.93602
dom,2006,85.78473
dom,2007,90.94132
dom,2008,87.3521
dom,2010,92.11449
dom,2011,93.52514
dom,2012,92.63183
dom,2013,92.7051
dom,2014,91.12181
dom,2015,95.04055
dom,2016,95.17579
dom,2017,94.47021
dom,2018,94.0781
dza,1973,55.79117
dza,1974,59.16065
dza,1975,61.62457
dza,1976,63.83371
dza,1977,66.02593
dza,1978,67.71829
dza,1979,68.4216
dza,1980,69.7613
dza,1981,70.31687
dza,1982,70.30168
dza,1983,70.15331
dza,1984,71.42914
dza,1985,72.31578
dza,1986,74.06331
dza,1987,75.81019
dza,1988,77.25058
dza,1989,78.69119
dza,1990,79.52591
dza,1991,81.62065
dza,1992,83.17855
dza,1993,83.2644
dza,1994,83.79624
dza,1995,84.39233
dza,1996,84.43281
dza,1997,84.29735
dza,1999,88.10869
dza,2000,89.12297
dza,2001,91.21017
dza,2002,92.62485
dza,2003,93.235
dza,2004,94.01596
dza,2005,94.32878
dza,2006,94.53214
dza,2007,94.94972
dza,2008,96.48156
ecu,1971,79.13283
ecu,1973,79.44559
ecu,1974,80.6499
ecu,1975,80.43633
ecu,1976,80.88395
ecu,1977,83.79094
ecu,1978,85.5475
ecu,1979,88.33894
ecu,1980,87.0204
ecu,1994,92.57643
ecu,1995,93.11275
ecu,1996,94.4018
ecu,1997,96.86744
ecu,1998,97.48417
ecu,1999,97.34089
ecu,2000,97.75338
ecu,2001,99.26447
ecu,2005,98.74339
ecu,2006,99.29339
ecu,2008,96.06828
egy,1971,51.44103
egy,1972,51.57135
egy,1973,51.34122
egy,1978,54.43943
egy,1994,80.85954
egy,1997,84.15564
egy,1999,84.2703
egy,2000,86.30993
egy,2001,87.52835
egy,2002,88.79665
egy,2003,89.94652
egy,2012,98.77074
eri,1992,27.82551
eri,1994,31.44747
eri,1995,32.80085
eri,1996,35.03013
eri,1997,35.57592
eri,1999,42.49334
eri,2000,49.63367
eri,2001,52.46551
eri,2002,59.77814
eri,2003,67.42652
eri,2004,72.74893
eri,2005,77.53643
eri,2006,79.8968
eri,2007,74.73433
eri,2008,70.31838
eri,2009,65.65732
eri,2010,61.52097
eri,2011,63.78245
eri,2012,65.62851
eri,2013,60.98675
eri,2014,60.07146
eri,2015,57.13266
eri,2017,49.86818
eri,2018,49.39903
esp,1971,94.65641
esp,1972,96.15856
esp,1973,96.89661
esp,1978,98.84569
esp,1979,99.12325
esp,1988,98.65923
esp,1989,99.35106
esp,1990,99.15713
esp,1992,99.80466
esp,2016,99.20836
esp,2017,97.70794
est,1995,86.0757
est,1996,89.90886
est,2013,98.31108
est,2014,94.70364
est,2015,94.37475
est,2016,94.32545
est,2017,94.55005
eth,1987,24.33258
eth,1988,24.63089
eth,1989,24.1272
eth,1994,15.57176
eth,1995,17.27408
eth,1996,20.31181
eth,1998,26.74153
eth,1999,29.74166
eth,2000,34.27463
eth,2001,38.96163
eth,2002,41.50501
eth,2003,42.64421
eth,2004,46.42757
eth,2005,57.86273
eth,2006,63.16266
eth,2007,68.48561
eth,2008,74.16282
eth,2009,74.37555
eth,2010,72.3039
eth,2011,75.88535
eth,2012,77.10289
eth,2014,82.84965
eth,2015,82.03281
fin,1993,98.71577
fin,1994,98.70792
fin,1995,98.36128
fin,1996,98.66977
fin,1997,98.79029
fin,1998,99.34172
fin,2002,99.42241
fin,2003,98.62615
fin,2004,97.66127
fin,2005,97.41787
fin,2006,97.03303
fin,2007,97.61133
fin,2008,97.86221
fin,2009,98.05796
fin,2010,98.34961
fin,2011,98.56145
fin,2012,99.07737
fin,2013,99.16367
fin,2014,99.62919
fin,2015,99.2662
fin,2016,99.22717
fin,2017,98.82403
fji,1992,96.68551
fji,1994,97.12341
fji,1995,95.78402
fji,1996,92.9044
fji,1997,93.34368
fji,1998,94.58192
fji,1999,94.56578
fji,2000,94.89749
fji,2001,98.08304
fji,2003,99.96438
fji,2009,99.36935
fji,2013,99.93016
fji,2015,98.7944
fra,1971,97.79763
fra,1972,97.81244
fra,1977,94.51584
fra,1979,99.11278
fra,1980,99.65606
fra,1982,97.76446
fra,1983,95.84342
fra,1985,95.09114
fra,1986,97.59173
fra,1992,99.21433
fra,1993,97.82435
fra,1994,97.7116
fra,1995,98.85628
fra,1997,99.98995
fra,1999,96.70934
fra,2000,96.38437
fra,2001,96.31465
fra,2002,96.28813
fra,2003,96.06549
fra,2004,96.12869
fra,2008,98.99369
fra,2009,98.65272
fra,2010,98.17552
fra,2011,99.40517
fra,2012,99.45468
fra,2013,99.33608
fra,2014,98.4824
fra,2015,99.21302
fra,2016,99.65002
fsm,2015,85.6523
gab,1997,90.83163
gbr,1971,98.17312
gbr,1972,97.18734
gbr,1973,96.25578
gbr,1974,95.84084
gbr,1975,95.86722
gbr,1976,96.09413
gbr,1977,96.39806
gbr,1978,96.4931
gbr,1979,96.63113
gbr,1980,97.94528
gbr,1981,97.85776
gbr,1982,96.9457
gbr,1983,95.27182
gbr,1984,94.62636
gbr,1985,93.68484
gbr,1986,95.27015
gbr,1987,98.21247
gbr,1988,99.8621
gbr,1991,98.44355
gbr,1992,96.82892
gbr,2002,99.89481
gbr,2004,99.49355
gbr,2006,99.89233
gbr,2007,98.00798
gbr,2008,98.83274
gbr,2009,98.01219
gbr,2010,98.17527
gbr,2011,98.18225
gbr,2012,98.34373
gbr,2013,99.60107
gbr,2016,99.56731
gbr,2017,99.42539
geo,1995,90.7872
geo,1996,98.99836
geo,2008,99.11511
geo,2009,97.35232
geo,2011,98.14018
geo,2012,98.35329
geo,2014,98.87777
geo,2016,98.27264
gha,1999,58.59298
gha,2000,66.8352
gha,2001,61.85713
gha,2002,65.97402
gha,2003,65.67614
gha,2005,70.09134
gha,2006,73.15025
gha,2007,78.23841
gha,2008,83.90655
gha,2009,84.33859
gha,2011,92.20594
gha,2017,86.32792
gha,2018,85.63721
gha,2019,87.17354
gib,1978,76.03662
gib,1979,74.1038
gib,1981,73.00744
gib,1982,75.46567
gin,1984,16.02203
gin,1985,17.33926
gin,1986,16.26042
gin,1987,14.89338
gin,1988,15.68059
gin,1989,15.82208
gin,1990,15.47124
gin,1991,17.12235
gin,1998,31.84127
gin,1999,34.5219
gin,2000,38.27413
gin,2001,41.81146
gin,2002,48.4312
gin,2003,51.97961
gin,2004,55.08819
gin,2005,57.44553
gin,2006,60.09855
gin,2007,62.21745
gin,2008,61.25068
gin,2009,62.56424
gin,2010,63.81267
gin,2011,68.79723
gin,2012,68.46382
gin,2013,69.55429
gin,2014,73.2645
gin,2016,70.62254
gmb,1971,12.94044
gmb,1972,13.21261
gmb,1973,14.26398
gmb,1974,14.91034
gmb,1975,15.91601
gmb,1976,16.89217
gmb,1977,18.87205
gmb,1978,20.52613
gmb,1979,23.04455
gmb,1980,26.81321
gmb,1981,33.69399
gmb,1982,37.2003
gmb,1983,40.65948
gmb,1984,43.92074
gmb,1985,46.41071
gmb,1986,46.88955
gmb,1992,39.86916
gmb,1993,43.12576
gmb,1996,51.79961
gmb,1998,54.33503
gmb,1999,63.69789
gmb,2000,61.5113
gmb,2001,62.39271
gmb,2002,60.24032
gmb,2003,65.28014
gmb,2004,66.88223
gmb,2005,65.58891
gmb,2006,70.3983
gmb,2007,72.56583
gmb,2008,69.1071
gmb,2010,69.21068
gmb,2011,69.07389
gmb,2012,72.62442
gmb,2013,72.35845
gmb,2014,72.75243
gmb,2015,79.20485
gmb,2016,81.30743
gmb,2017,83.99385
gmb,2018,85.69509
gnb,1981,29.78712
gnb,1982,34.36461
gnb,1984,33.68853
gnb,1985,34.02482
gnb,1987,29.22799
gnb,1988,28.12645
gnb,2000,40.70714
gnb,2010,70.81812
gnq,1994,63.13428
gnq,2000,58.72141
gnq,2001,67.5788
gnq,2002,64.65347
gnq,2003,64.53484
gnq,2008,46.75689
gnq,2009,45.79761
gnq,2010,45.22635
gnq,2011,46.40825
gnq,2012,47.69385
gnq,2015,44.86186
grc,1971,91.84958
grc,1972,92.47306
grc,1973,93.77402
grc,1974,95.5177
grc,1975,96.08029
grc,1976,96.53888
grc,1977,96.06916
grc,1978,95.32508
grc,1979,94.10983
grc,1980,92.08873
grc,1981,93.80454
grc,1982,93.81826
grc,1983,94.70051
grc,1984,94.60031
grc,1985,94.44021
grc,1986,93.52119
grc,1987,91.10829
grc,1988,91.91613
grc,1989,91.30045
grc,1990,90.75441
grc,1991,90.53294
grc,1992,89.09158
grc,1993,87.31849
grc,1994,86.95302
grc,1995,89.6269
grc,1996,88.84115
grc,1997,89.91082
