geo,time,en_atm_ghgo_zg
abw,1991,-350
abw,1992,58.33333
abw,1993,-275
abw,1994,241.66667
abw,1995,100
abw,1996,-116.66667
abw,1997,166.66667
abw,1998,-200
abw,1999,-83.33333
abw,2000,16.66667
abw,2001,16.66667
abw,2002,-295.83333
abw,2003,-83.33333
abw,2004,-137.5
abw,2005,-204.16667
abw,2006,-166.66667
abw,2007,-141.66667
abw,2008,-291.66667
abw,2009,0
abw,2010,-137.5
abw,2011,-216.66667
abw,2012,-33.33333
afg,1991,0
afg,1992,0
afg,1993,0
afg,1994,0
afg,1995,0
afg,1996,0
afg,1997,0
afg,1998,-96.25
afg,1999,-21.95
afg,2000,-20.95625
afg,2001,52.19812
afg,2002,-97.97869
afg,2003,243.50188
afg,2004,67.05125
afg,2005,-38.39606
afg,2006,-74.9985
afg,2007,27.85125
afg,2008,-94.36275
afg,2009,-1.2075
afg,2010,118.125
afg,2011,118.125
afg,2012,118.125
ago,1991,-2.15882
ago,1992,-2.71956
ago,1993,-5.16611
ago,1994,-9.05038
ago,1995,-10.1027
ago,1996,-10.61529
ago,1997,-5.8807
ago,1998,7285.80626
ago,1999,7101.79045
ago,2000,6691.13009
ago,2001,6364.72512
ago,2002,6689.30199
ago,2003,7391.91767
ago,2004,7461.22321
ago,2005,7529.93292
ago,2006,6966.17205
ago,2007,6847.04724
ago,2008,6858.96378
ago,2009,7110.82265
ago,2010,7308.31228
ago,2011,7308.31228
ago,2012,7308.31228
alb,1991,-0.47281
alb,1992,-0.94121
alb,1993,-1.36607
alb,1994,-1.72721
alb,1995,-1.94599
alb,1996,-2.06599
alb,1997,-2.55986
alb,1998,-82.77472
alb,1999,-91.45732
alb,2000,102.8443
alb,2001,-93.64919
alb,2002,-94.92478
alb,2003,-83.14564
alb,2004,-90.68221
alb,2005,-87.79045
alb,2006,-87.34377
alb,2007,205.73502
alb,2008,-76.92952
alb,2009,-79.332
alb,2010,-75.01428
alb,2011,-75.01428
alb,2012,-75.01428
are,1991,11.81836
are,1992,5.55162
are,1993,-8.98936
are,1994,-22.58471
are,1995,-29.08786
are,1996,-22.70686
are,1997,-12.77975
are,1998,-16.07565
are,1999,-4.13712
are,2000,3.78251
are,2001,6.14657
are,2002,8.15603
are,2003,11.93853
are,2004,21.04019
are,2005,26.00473
are,2006,38.06147
are,2007,44.91726
are,2008,51.41844
are,2009,59.81087
are,2010,68.43972
are,2011,68.43972
are,2012,68.43972
arg,1991,-8.1403
arg,1992,-9.43197
arg,1993,1.53886
arg,1994,-40.84184
arg,1995,-29.81302
arg,1996,-24.96381
arg,1997,29.01951
arg,1998,28.81846
arg,1999,130.48035
arg,2000,115.94421
arg,2001,139.00967
arg,2002,136.64527
arg,2003,209.90504
arg,2004,245.92235
arg,2005,163.02907
arg,2006,181.11862
arg,2007,200.15843
arg,2008,333.48318
arg,2009,208.80399
arg,2010,100.45361
arg,2011,100.45361
arg,2012,100.45361
arm,1991,1.56686
arm,1992,3.01048
arm,1993,5.07205
arm,1994,7.986
arm,1995,12.77106
arm,1996,18.39125
arm,1997,23.14097
arm,1998,-22.51198
arm,1999,-50.90366
arm,2000,-3.76969
arm,2001,-13.77986
arm,2002,-1.76423
arm,2003,32.58984
arm,2004,202.32099
arm,2005,213.65351
arm,2006,354.32482
arm,2007,263.88508
arm,2008,323.86674
arm,2009,347.30582
arm,2010,511.52739
arm,2011,511.52739
arm,2012,511.52739
asm,1991,-33.33333
asm,1992,-300
asm,1993,-158.33333
asm,1994,-75
asm,1995,-91.66667
asm,1996,16.66667
asm,1997,33.33333
asm,1998,-83.33333
asm,1999,-233.33333
asm,2000,166.66667
asm,2001,-100
asm,2002,-100
asm,2003,-100
asm,2004,-100
asm,2005,-366.66667
asm,2006,-100
asm,2007,-100
asm,2008,166.66667
asm,2009,-100
asm,2010,166.66667
asm,2011,-366.66667
asm,2012,433.33333
atg,1991,449.61832
