geo,time,se_prm_oenr_ma_zs
abw,1999,13.92949
abw,2000,12.51838
abw,2001,13.61948
abw,2002,15.6293
abw,2003,15.83139
abw,2004,16.39035
abw,2005,13.72993
abw,2006,14.08159
abw,2007,13.32957
abw,2008,13.42907
abw,2009,10.28001
abw,2010,13.10304
abw,2013,13.02629
abw,2014,13.05031
afg,1974,19.55751
afg,1993,7.13159
ago,1982,61.56094
ago,1983,60.35589
ago,1998,37.72788
ago,2008,29.25597
ago,2009,29.21109
ago,2010,29.19722
ago,2011,23.28793
alb,1999,8.56794
alb,2000,8.56913
alb,2001,8.70145
alb,2003,8.38319
alb,2004,7.77977
alb,2008,9.56818
alb,2009,8.64328
alb,2010,8.53526
alb,2011,8.72874
alb,2012,8.61199
alb,2013,8.50432
alb,2014,7.08751
alb,2015,7.46585
alb,2016,7.11127
alb,2017,6.68435
alb,2018,7.16425
and,2014,8.23256
and,2015,8.51161
and,2016,9.06667
and,2017,8.40108
and,2018,7.40248
are,1978,17.48514
are,1980,14.22547
are,1981,15.07542
are,1982,12.72039
are,1983,5.66736
are,1984,4.97467
are,1985,4.50919
are,1986,4.53963
are,1987,7.74911
are,1988,7.06175
are,1989,6.89713
are,1990,7.17256
are,1991,6.9988
are,1992,6.99307
are,1993,7.0387
are,1994,9.63724
are,1995,6.15337
are,1996,5.99945
are,1997,6.0749
are,1998,5.90434
are,1999,5.83038
are,2000,5.60907
are,2001,5.63687
are,2002,5.00445
are,2003,4.88802
are,2004,4.4875
are,2005,3.92066
are,2006,3.75675
are,2007,3.51072
are,2009,2.98542
are,2010,3.08577
are,2011,3.25498
are,2012,3.3045
are,2013,3.2654
are,2014,3.19322
are,2015,5.78871
are,2016,4.1102
are,2017,4.02892
arg,1970,9.96169
arg,1974,8.84932
arg,1975,9.07837
arg,1991,10.86705
arg,1998,7.7513
arg,1999,10.11659
arg,2000,10.19093
arg,2001,10.37059
arg,2002,10.82
arg,2003,11.15322
arg,2004,11.33059
arg,2005,11.49189
arg,2006,11.88405
arg,2007,12.19147
arg,2008,12.25832
arg,2009,12.17224
arg,2010,11.71784
arg,2011,10.91888
arg,2012,10.1458
arg,2013,9.07997
arg,2014,8.44527
arg,2015,8.02634
arg,2016,7.01466
arg,2017,6.13172
arm,2002,2.92205
arm,2003,2.77455
arm,2005,2.83476
arm,2006,2.03776
arm,2007,1.50615
arm,2011,3.08859
arm,2012,2.34523
arm,2013,3.19832
arm,2014,2.98169
arm,2015,2.28874
arm,2016,2.24787
arm,2017,2.09652
arm,2018,1.99971
atg,2007,10.53967
atg,2008,11.12226
atg,2009,10.43598
atg,2010,13.7675
atg,2011,11.91901
atg,2012,13.65232
atg,2014,11.6354
atg,2015,5.72696
atg,2017,5.06803
atg,2018,4.10346
aus,1971,7.43554
aus,1973,7.59094
aus,1974,7.78947
aus,1975,7.53138
aus,1976,7.28847
aus,1977,6.78707
aus,1978,6.41109
aus,1979,6.35562
aus,1980,6.3719
aus,1981,6.21802
aus,1982,6.34162
aus,1983,6.87721
aus,1984,7.3071
aus,1985,6.09986
aus,1986,6.13376
aus,1987,5.99966
aus,1988,5.86304
aus,1989,5.94941
aus,1990,5.9733
aus,1991,6.45124
