geo,time,dt_oda_alld_cd
abw,1985,12039999.96185
abw,1986,40430000.30518
abw,1987,20909999.84741
abw,1988,19290000.91553
abw,1989,24329999.92371
abw,1990,29979999.54224
abw,1991,24969999.31335
abw,1992,29979999.54224
abw,1993,24860000.61035
abw,1994,18260000.22888
abw,1995,25799999.23706
abw,1996,19530000.68665
abw,1997,25069999.69482
abw,1998,11260000.22888
abw,1999,-7380000.11444
abw,2000,11500000
abw,2001,-1700000.04768
abw,2002,10489999.77112
abw,2003,76220001.2207
abw,2004,-11319999.69482
afg,1960,17180000.30518
afg,1961,34669998.16895
afg,1962,16930000.30518
afg,1963,36669998.16895
afg,1964,46169998.16895
afg,1965,53930000.30518
afg,1966,50840000.15259
afg,1967,41080001.83105
afg,1968,29239999.77112
afg,1969,27250000
afg,1970,27610000.61035
afg,1971,44439998.62671
afg,1972,55180000.30518
afg,1973,55720001.2207
afg,1974,48909999.84741
afg,1975,66980003.35693
afg,1976,70199996.94824
afg,1977,82720001.2207
afg,1978,74500000
afg,1979,99209999.08447
afg,1980,28600000.38147
afg,1981,22950000.76294
afg,1982,9739999.77112
afg,1983,13479999.54224
afg,1984,6710000.03815
afg,1985,16319999.69482
afg,1986,2650000.09537
afg,1987,46520000.45776
afg,1988,73500000
afg,1989,149320007.32422
afg,1990,122720001.2207
afg,1991,508540008.54492
afg,1992,204800003.05176
afg,1993,223800003.05176
afg,1994,226419998.16895
afg,1995,212529998.7793
afg,1996,169630004.88281
afg,1997,230750000
afg,1998,164199996.94824
afg,1999,142860000.61035
afg,2000,136009994.50684
afg,2001,410359985.35156
afg,2002,1223290039.0625
afg,2003,1538229980.46875
afg,2004,2268530029.29688
afg,2005,2815100097.65625
afg,2006,2895830078.125
afg,2007,4982609863.28125
afg,2008,4811209960.9375
afg,2009,6113120117.1875
afg,2010,6235319824.21875
afg,2011,6745740234.375
afg,2012,6666770019.53125
afg,2013,5152540039.0625
afg,2014,4942970214.84375
afg,2015,4274229980.46875
afg,2016,4069419921.875
afg,2017,3811739990.23438
afg,2018,3792449951.17188
afg,2019,4284419921.875
ago,1960,-50000.00075
ago,1961,23549999.23706
ago,1963,29999.99933
ago,1965,1110000.01431
ago,1966,2859999.8951
ago,1967,18180000.30518
ago,1968,9999.99978
ago,1969,-109999.9994
ago,1970,-29999.99933
ago,1972,90000.00358
ago,1973,159999.99642
ago,1974,370000.00477
ago,1975,4760000.22888
ago,1976,17479999.54224
ago,1977,47500000
ago,1978,46869998.93188
ago,1979,47060001.37329
ago,1980,52439998.62671
ago,1981,60220001.2207
ago,1982,59069999.69482
ago,1983,73879997.25342
ago,1984,93410003.66211
ago,1985,90489997.86377
ago,1986,130250000
ago,1987,134429992.67578
ago,1988,157029998.7793
ago,1989,167059997.55859
ago,1990,265769989.01367
ago,1991,277079986.57227
ago,1992,343589996.33789
ago,1993,289390014.64844
ago,1994,447070007.32422
ago,1995,416420013.42773
ago,1996,459309997.55859
ago,1997,354660003.66211
ago,1998,335269989.01367
ago,1999,387540008.54492
ago,2000,302209991.45508
ago,2001,282730010.98633
ago,2002,414029998.7793
ago,2003,493500000
ago,2004,1144569946.28906
ago,2005,414679992.67578
ago,2006,163520004.27246
ago,2007,259980010.98633
ago,2008,369040008.54492
ago,2009,238940002.44141
ago,2010,235169998.16895
ago,2011,192940002.44141
ago,2012,243610000.61035
ago,2013,285540008.54492
ago,2014,235389999.38965
ago,2015,380059997.55859
ago,2016,206529998.7793
ago,2017,223220001.2207
ago,2018,162660003.66211
ago,2019,49540000.91553
alb,1988,5559999.94278
alb,1989,10340000.15259
alb,1990,11050000.19073
alb,1991,331950012.20703
alb,1992,409640014.64844
alb,1993,270679992.67578
alb,1994,163100006.10352
alb,1995,180600006.10352
alb,1996,226639999.38965
alb,1997,168229995.72754
alb,1998,268739990.23438
alb,1999,488179992.67578
alb,2000,317850006.10352
alb,2001,268529998.7793
alb,2002,307359985.35156
alb,2003,349309997.55859
alb,2004,300940002.44141
alb,2005,315079986.57227
alb,2006,324040008.54492
alb,2007,308630004.88281
alb,2008,364839996.33789
alb,2009,357149993.89648
alb,2010,365070007.32422
alb,2011,379480010.98633
alb,2012,349160003.66211
alb,2013,269980010.98633
alb,2014,281170013.42773
