geo,time,sp_pop_totl_ma_in
abw,1960,26573
abw,1961,27182
abw,1962,27574
abw,1963,27790
abw,1964,27937
abw,1965,28091
abw,1966,28251
abw,1967,28419
abw,1968,28578
abw,1969,28742
abw,1970,28888
abw,1971,29040
abw,1972,29210
abw,1973,29351
abw,1974,29463
abw,1975,29505
abw,1976,29475
abw,1977,29377
abw,1978,29269
abw,1979,29223
abw,1980,29291
abw,1981,29517
abw,1982,29886
abw,1983,30295
abw,1984,30604
abw,1985,30722
abw,1986,30589
abw,1987,30264
abw,1988,29972
abw,1989,30039
abw,1990,30659
abw,1991,31929
abw,1992,33755
abw,1993,35867
abw,1994,37917
abw,1995,39616
abw,1996,40911
abw,1997,41836
abw,1998,42521
abw,1999,43151
abw,2000,43847
abw,2001,44643
abw,2002,45486
abw,2003,46310
abw,2004,47028
abw,2005,47574
abw,2006,47935
abw,2007,48140
abw,2008,48253
abw,2009,48340
abw,2010,48465
abw,2011,48648
abw,2012,48870
abw,2013,49115
abw,2014,49368
abw,2015,49597
abw,2016,49821
abw,2017,50033
abw,2018,50244
abw,2019,50443
abw,2020,50642
afg,1960,4649573
afg,1961,4730250
afg,1962,4816050
afg,1963,4907030
afg,1964,5003245
afg,1965,5104765
afg,1966,5210122
afg,1967,5319123
afg,1968,5434458
afg,1969,5559836
afg,1970,5697024
afg,1971,5845351
afg,1972,6000895
afg,1973,6157843
afg,1974,6308583
afg,1975,6446273
afg,1976,6573732
afg,1977,6689144
afg,1978,6776023
afg,1979,6813205
afg,1980,6788273
afg,1981,6698730
afg,1982,6557673
afg,1983,6388704
afg,1984,6224263
afg,1985,6091889
afg,1986,5988520
afg,1987,5918156
afg,1988,5922669
afg,1989,6054345
afg,1990,6344617
afg,1991,6821673
afg,1992,7461092
afg,1993,8176785
afg,1994,8848711
afg,1995,9392627
afg,1996,9770493
afg,1997,10012241
afg,1998,10184272
afg,1999,10386589
afg,2000,10689508
afg,2001,11117754
afg,2002,11642106
afg,2003,12214634
afg,2004,12763726
afg,2005,13239684
afg,2006,13623896
afg,2007,13938970
afg,2008,14225725
afg,2009,14544055
afg,2010,14935756
afg,2011,15415361
afg,2012,15964874
afg,2013,16554278
afg,2014,17138803
afg,2015,17686166
afg,2016,18186994
afg,2017,18651985
afg,2018,19093043
afg,2019,19529727
afg,2020,19976265
ago,1960,2763710
ago,1961,2807695
ago,1962,2844081
ago,1963,2873436
ago,1964,2896907
ago,1965,2916149
ago,1966,2930185
ago,1967,2940893
ago,1968,2956184
ago,1969,2986407
ago,1970,3038800
ago,1971,3116836
ago,1972,3218099
ago,1973,3336231
ago,1974,3461420
ago,1975,3586574
ago,1976,3709688
ago,1977,3832864
ago,1978,3957984
ago,1979,4088285
ago,1980,4226099
ago,1981,4371520
ago,1982,4523437
ago,1983,4681598
ago,1984,4845528
ago,1985,5014824
ago,1986,5189649
ago,1987,5370029
ago,1988,5555245
ago,1989,5744348
ago,1990,5936747
ago,1991,6132443
ago,1992,6331966
ago,1993,6535902
ago,1994,6745130
ago,1995,6960467
ago,1996,7182535
ago,1997,7411954
ago,1998,7649743
ago,1999,7897054
ago,2000,8155019
ago,2001,8423958
ago,2002,8704663
ago,2003,8999242
ago,2004,9310252
ago,2005,9639470
ago,2006,9987680
ago,2007,10354340
ago,2008,10738130
ago,2009,11137010
ago,2010,11549277
ago,2011,11974824
ago,2012,12413552
ago,2013,12863801
ago,2014,13323488
ago,2015,13791244
ago,2016,14266355
ago,2017,14749319
ago,2018,15241459
ago,2019,15744779
ago,2020,16260870
alb,1960,827031
alb,1961,853181
alb,1962,879556
alb,1963,905788
alb,1964,932145
alb,1965,958102
alb,1966,983649
alb,1967,1009883
alb,1968,1039025
alb,1969,1069539
alb,1970,1097077
alb,1971,1123796
alb,1972,1151940
alb,1973,1179206
alb,1974,1206389
alb,1975,1234350
alb,1976,1261906
alb,1977,1290226
alb,1978,1317407
alb,1979,1343973
alb,1980,1371795
alb,1981,1399324
alb,1982,1428723
alb,1983,1458845
alb,1984,1489681
alb,1985,1520919
alb,1986,1551867
alb,1987,1585097
alb,1988,1616385
alb,1989,1658693
alb,1990,1682999
alb,1991,1662000
alb,1992,1636737
alb,1993,1610163
alb,1994,1586873
alb,1995,1570384
alb,1996,1562406
alb,1997,1561433
alb,1998,1564104
alb,1999,1565728
alb,2000,1563154
alb,2001,1550940
alb,2002,1544872
alb,2003,1535242
alb,2004,1524700
alb,2005,1514104
alb,2006,1503318
alb,2007,1491760
alb,2008,1481095
alb,2009,1472657
alb,2010,1467433
alb,2011,1466246
alb,2012,1467285
alb,2013,1468260
alb,2014,1468434
alb,2015,1466457
alb,2016,1465287
alb,2017,1464130
alb,2018,1460043
alb,2019,1453180
alb,2020,1444380
are,1960,46268
are,1961,52159
are,1962,60376
are,1963,69927
are,1964,79383
are,1965,87929
are,1966,95055
are,1967,101773
are,1968,110740
are,1969,125546
are,1970,148725
are,1971,180691
are,1972,220534
are,1973,267795
are,1974,321530
are,1975,380638
are,1976,445899
are,1977,516456
are,1978,587600
are,1979,653182
are,1980,709050
are,1981,753072
are,1982,787194
are,1983,816444
are,1984,848171
are,1985,887752
are,1986,936916
are,1987,994304
are,1988,1058566
are,1989,1127175
are,1990,1198320
are,1991,1273240
are,1992,1353140
are,1993,1436225
are,1994,1520014
are,1995,1603591
are,1996,1690124
are,1997,1783468
are,1998,1884698
are,1999,1994790
are,2000,2117135
are,2001,2238739
are,2002,2364952
are,2003,2538205
are,2004,2815233
are,2005,3229499
are,2006,3807368
are,2007,4517658
are,2008,5266106
are,2009,5922677
are,2010,6395966
are,2011,6648748
are,2012,6713315
are,2013,6653157
are,2014,6565277
are,2015,6520854
are,2016,6537834
are,2017,6595482
are,2018,6680357
are,2019,6766806
are,2020,6836349
arg,1960,10331018
arg,1961,10489279
arg,1962,10646704
arg,1963,10803570
arg,1964,10960185
arg,1965,11116912
arg,1966,11273783
arg,1967,11431146
arg,1968,11590066
arg,1969,11751890
arg,1970,11917560
arg,1971,12087859
arg,1972,12262581
arg,1973,12440493
arg,1974,12619741
arg,1975,12799152
arg,1976,12978038
arg,1977,13157248
arg,1978,13338877
arg,1979,13525890
arg,1980,13720268
arg,1981,13922618
arg,1982,14131938
arg,1983,14346711
arg,1984,14564673
arg,1985,14784017
arg,1986,15004082
arg,1987,15224776
arg,1988,15445500
arg,1989,15665740
arg,1990,15884933
arg,1991,16103089
arg,1992,16319702
arg,1993,16533271
arg,1994,16741939
arg,1995,16944568
arg,1996,17140285
arg,1997,17329978
arg,1998,17516475
arg,1999,17703778
arg,2000,17894725
arg,2001,18090636
arg,2002,18290786
arg,2003,18493545
arg,2004,18696321
arg,2005,18897365
arg,2006,19095976
arg,2007,19293169
arg,2008,19490949
arg,2009,19692182
arg,2010,19846543
arg,2011,20082606
arg,2012,20318174
arg,2013,20552749
arg,2014,20785770
arg,2015,21016705
arg,2016,21245521
arg,2017,21472290
arg,2018,21696699
arg,2019,21918496
arg,2020,22137442
arm,1960,903001
arm,1961,937048
arm,1962,971493
arm,1963,1006016
arm,1964,1040244
arm,1965,1073911
arm,1966,1106799
arm,1967,1138849
arm,1968,1170242
arm,1969,1201281
arm,1970,1232158
arm,1971,1262939
arm,1972,1293461
arm,1973,1323509
arm,1974,1352770
arm,1975,1381018
arm,1976,1408110
arm,1977,1434124
arm,1978,1459384
arm,1979,1484313
arm,1980,1509208
arm,1981,1533514
arm,1982,1556873
arm,1983,1579964
arm,1984,1603710
arm,1985,1628363
arm,1986,1655209
arm,1987,1683010
arm,1988,1706511
arm,1989,1718651
arm,1990,1714812
arm,1991,1692670
arm,1992,1654932
arm,1993,1608299
arm,1994,1562322
arm,1995,1524014
arm,1996,1495570
arm,1997,1475290
arm,1998,1461449
arm,1999,1450802
arm,2000,1440920
arm,2001,1431993
arm,2002,1424853
arm,2003,1418321
arm,2004,1410957
arm,2005,1401870
arm,2006,1390216
arm,2007,1376497
arm,2008,1362799
arm,2009,1352073
arm,2010,1346351
arm,2011,1346388
arm,2012,1351255
arm,2013,1359259
arm,2014,1367900
arm,2015,1375333
arm,2016,1381014
arm,2017,1385362
arm,2018,1388600
arm,2019,1391269
arm,2020,1393747
atg,1960,25295
atg,1961,25747
atg,1962,26185
atg,1963,26636
atg,1964,27140
atg,1965,27709
atg,1966,28351
atg,1967,29057
atg,1968,29740
atg,1969,30300
atg,1970,30645
atg,1971,30761
atg,1972,30677
atg,1973,30456
atg,1974,30212
atg,1975,30009
atg,1976,29876
atg,1977,29808
atg,1978,29769
atg,1979,29746
atg,1980,29728
atg,1981,29719
atg,1982,29738
atg,1983,29757
atg,1984,29787
atg,1985,29820
atg,1986,29849
atg,1987,29878
atg,1988,29935
atg,1989,30079
atg,1990,30314
atg,1991,30667
atg,1992,31118
atg,1993,31649
atg,1994,32207
atg,1995,32787
atg,1996,33366
atg,1997,33953
atg,1998,34538
atg,1999,35129
atg,2000,35710
atg,2001,36288
atg,2002,36854
atg,2003,37425
atg,2004,38009
atg,2005,38630
atg,2006,39314
atg,2007,40017
atg,2008,40731
atg,2009,41444
atg,2010,42118
atg,2011,42763
atg,2012,43373
atg,2013,43951
atg,2014,44502
atg,2015,45028
atg,2016,45518
atg,2017,45986
atg,2018,46419
atg,2019,46851
atg,2020,47269
aus,1960,5188257
aus,1961,5289298
aus,1962,5416438
aus,1963,5517705
aus,1964,5623653
aus,1965,5731969
aus,1966,5861886
aus,1967,5934372
aus,1968,6038237
aus,1969,6164079
aus,1970,6284474
aus,1971,6497909
aus,1972,6615524
aus,1973,6713994
aus,1974,6881822
aus,1975,6961880
aus,1976,7025718
aus,1977,7098112
aus,1978,7173917
aus,1979,7245826
aus,1980,7330662
aus,1981,7446239
aus,1982,7571747
aus,1983,7668484
aus,1984,7757240
