geo,time,eg_use_comm_gd_pp_kd
ago,1990,85.85503
ago,1991,87.04806
ago,1992,92.96078
ago,1993,126.6514
ago,1994,126.68608
ago,1995,110.07382
ago,1996,99.75614
ago,1997,95.01681
ago,1998,90.53017
ago,1999,93.05926
ago,2000,92.75656
ago,2001,92.92931
ago,2002,85.53242
ago,2003,89.61776
ago,2004,83.10169
ago,2005,69.81594
ago,2006,68.67043
ago,2007,64.24719
ago,2008,62.55788
ago,2009,67.40597
ago,2010,67.72399
ago,2011,67.98051
ago,2012,68.73024
ago,2013,65.56835
ago,2014,66.09474
alb,1990,168.47936
alb,1991,163.82165
alb,1992,128.11914
alb,1993,114.5874
alb,1994,112.51708
alb,1995,93.26283
alb,1996,91.23129
alb,1997,87.40161
alb,1998,88.5404
alb,1999,105.24176
alb,2000,98.51266
alb,2001,92.72218
alb,2002,97.72855
alb,2003,90.60216
alb,2004,94.38013
alb,2005,89.49951
alb,2006,82.49452
alb,2007,74.30078
alb,2008,71.70469
alb,2009,71.00278
alb,2010,67.83158
alb,2011,69.21043
alb,2012,61.26633
alb,2013,70.53173
alb,2014,69.77366
are,1990,100.22276
are,1991,114.27432
are,1992,105.25143
are,1993,109.31785
are,1994,113.31311
are,1995,112.85882
are,1996,112.62715
are,1997,109.96733
are,1998,112.12698
are,1999,111.26539
are,2000,98.1311
are,2001,123.42551
are,2002,119.51417
are,2003,108.07125
are,2004,105.22738
are,2005,106.69789
are,2006,100.85279
are,2007,106.08067
are,2008,121.61839
are,2009,129.72005
are,2010,131.37244
are,2011,128.12971
are,2012,130.35862
are,2013,126.91626
are,2014,122.468
arg,1990,99.83765
arg,1991,94.30457
arg,1992,91.88216
arg,1993,85.16081
arg,1994,85.59704
arg,1995,89.37326
arg,1996,87.81796
arg,1997,83.83026
arg,1998,83.4831
arg,1999,87.88843
arg,2000,89.63763
arg,2001,89.20103
arg,2002,97.29496
arg,2003,95.65188
arg,2004,95.83826
arg,2005,88.57382
arg,2006,89.18436
arg,2007,82.87469
arg,2008,83.86804
arg,2009,86.67967
arg,2010,81.9961
arg,2011,79.19833
arg,2012,80.30242
arg,2013,80.53598
arg,2014,86.19594
arm,1990,420.56414
arm,1991,502.0463
arm,1992,438.54716
arm,1993,255.24366
arm,1994,152.26209
arm,1995,169.92435
arm,1996,173.82505
arm,1997,175.86887
arm,1998,166.93664
arm,1999,156.2497
arm,2000,162.12133
arm,2001,147.27075
arm,2002,121.70675
arm,2003,112.72534
arm,2004,107.86001
arm,2005,113.57333
arm,2006,102.17809
arm,2007,100.20166
arm,2008,98.70265
arm,2009,99.83004
arm,2010,92.93658
arm,2011,97.07085
arm,2012,99.05503
arm,2013,93.62355
arm,2014,92.18918
atg,1990,102.23411
atg,2004,89.64204
atg,2005,85.4389
atg,2006,79.12538
atg,2007,73.90117
aus,1990,163.18805
aus,1991,161.55281
aus,1992,163.88996
aus,1993,165.12554
aus,1994,158.69375
aus,1995,155.89033
aus,1996,159.92839
aus,1997,157.83828
aus,1998,154.80039
aus,1999,150.73613
aus,2000,147.68293
aus,2001,141.57487
aus,2002,140.88507
aus,2003,138.31003
aus,2004,134.98301
aus,2005,131.78085
aus,2006,133.58796
aus,2007,133.15097
aus,2008,133.30751
aus,2009,131.30262
aus,2010,128.97959
aus,2011,126.57716
aus,2012,120.28428
aus,2013,116.98437
aus,2014,112.94425
aus,2015,115.28059
aut,1990,86.4155
aut,1991,88.93755
aut,1992,83.70431
aut,1993,84.21879
aut,1994,82.02043
aut,1995,83.45258
aut,1996,86.65235
aut,1997,84.25926
aut,1998,82.72442
aut,1999,79.71061
aut,2000,76.83472
aut,2001,80.17373
aut,2002,79.58054
aut,2003,83.42147
aut,2004,82.40387
aut,2005,82.72552
aut,2006,80.22731
aut,2007,76.46884
aut,2008,75.84066
aut,2009,74.42871
aut,2010,78.1429
aut,2011,73.74884
aut,2012,72.92597
aut,2013,73.94737
aut,2014,71.0962
aut,2015,71.87483
aze,1990,414.64948
aze,1991,413.7059
aze,1992,433.12871
aze,1993,504.72904
aze,1994,570.44984
aze,1995,607.7234
aze,1996,507.03593
aze,1997,461.71473
aze,1998,435.72367
aze,1999,377.29918
aze,2000,350.98814
aze,2001,323.58183
aze,2002,298.64011
aze,2003,285.01838
aze,2004,274.33525
aze,2005,225.13736
aze,2006,164.96492
aze,2007,120.80916
aze,2008,119.97071
aze,2009,98.34737
aze,2010,90.86287
aze,2011,98.41649
aze,2012,105.00094
aze,2013,100.60294
aze,2014,101.02797
bel,1990,135.46279
bel,1991,138.96426
bel,1992,138.37734
bel,1993,136.41685
bel,1994,140.23752
bel,1995,139.41483
bel,1996,144.90073
bel,1997,139.61395
bel,1998,139.20041
bel,1999,134.97587
bel,2000,131.77156
bel,2001,129.9767
bel,2002,122.82174
bel,2003,126.58312
bel,2004,122.8136
bel,2005,119.88247
bel,2006,115.86937
bel,2007,109.83575
bel,2008,112.64501
bel,2009,110.41337
bel,2010,115.47169
bel,2011,105.74872
bel,2012,100.50602
bel,2013,103.67195
bel,2014,96.58163
bel,2015,94.78626
ben,1990,153.40995
ben,1991,149.43606
ben,1992,148.72502
ben,1993,143.82711
ben,1994,144.04348
ben,1995,138.81271
ben,1996,154.94132
ben,1997,152.03556
ben,1998,144.25816
ben,1999,142.85359
ben,2000,116.52269
ben,2001,117.64626
ben,2002,120.60098
ben,2003,122.9595
ben,2004,122.92626
ben,2005,121.28186
ben,2006,137.67695
ben,2007,141.23258
ben,2008,137.63074
ben,2009,141.12882
ben,2010,146.83172
ben,2011,146.52524
ben,2012,144.81821
ben,2013,141.21013
ben,2014,140.05745
bgd,1990,81.34651
bgd,1991,77.48212
bgd,1992,77.56171
bgd,1993,78.20688
bgd,1994,78.62445
bgd,1995,81.37496
bgd,1996,78.31489
bgd,1997,78.29611
bgd,1998,77.60409
bgd,1999,75.12519
bgd,2000,73.82549
bgd,2001,76.85434
bgd,2002,75.78535
bgd,2003,76.24327
bgd,2004,73.78825
bgd,2005,71.91949
bgd,2006,72.23711
bgd,2007,70.49397
bgd,2008,69.79266
bgd,2009,69.89881
bgd,2010,71.70575
bgd,2011,69.87206
bgd,2012,68.83221
bgd,2013,66.30628
bgd,2014,65.28294
bgr,1990,258.82849
bgr,1991,219.33091
bgr,1992,221.03228
bgr,1993,240.5922
bgr,1994,229.1167
bgr,1995,241.72782
bgr,1996,228.50589
bgr,1997,241.17871
bgr,1998,223.62206
bgr,1999,223.21225
bgr,2000,216.81743
bgr,2001,217.64071
bgr,2002,200.31012
bgr,2003,195.06261
bgr,2004,178.13363
bgr,2005,175.78065
bgr,2006,169.22207
bgr,2007,156.11043
bgr,2008,145.1391
bgr,2009,132.35701
bgr,2010,133.07395
bgr,2011,140.24225
bgr,2012,132.90015
bgr,2013,123.16151
bgr,2014,129.02568
bhr,1990,273.4475
bhr,1991,241.99804
bhr,1992,249.54554
bhr,1993,233.00954
bhr,1994,248.2982
bhr,1995,241.92564
bhr,1996,232.29696
bhr,1997,254.00391
bhr,1998,254.67014
bhr,1999,241.92622
bhr,2000,242.65722
bhr,2001,243.29859
bhr,2002,244.09742
bhr,2003,243.62426
bhr,2004,228.59149
bhr,2005,245.83654
bhr,2006,247.36928
bhr,2007,239.01677
bhr,2008,243.88067
bhr,2009,230.99507
bhr,2010,228.87623
bhr,2011,224.48509
bhr,2012,214.48655
bhr,2013,222.02496
bhr,2014,219.84049
bhs,1990,66.02683
bhs,2004,52.31072
bhs,2005,53.03117
bhs,2006,52.47246
bhs,2007,51.94394
bih,1994,220.48208
bih,1995,190.03822
bih,1996,117.4693
bih,1997,134.94823
bih,1998,145.08945
bih,1999,130.99983
bih,2000,152.361
bih,2001,143.75555
bih,2002,143.5913
bih,2003,138.01814
bih,2004,141.91029
bih,2005,143.14285
bih,2006,142.79807
bih,2007,134.99984
bih,2008,143.89968
bih,2009,154.72605
bih,2010,159.90804
bih,2011,174.62037
bih,2012,164.69532
bih,2013,155.3764
bih,2014,186.20986
blr,1990,501.98267
blr,1991,495.02047
blr,1992,456.9315
blr,1993,421.15763
blr,1994,405.02693
blr,1995,418.18394
blr,1996,417.74187
blr,1997,374.04093
blr,1998,338.01353
blr,1999,318.32035
blr,2000,305.76903
blr,2001,293.20992
blr,2002,284.55824
blr,2003,273.66817
blr,2004,253.94558
blr,2005,231.89098
blr,2006,224.39703
blr,2007,202.38853
blr,2008,183.91282
blr,2009,174.26987
blr,2010,167.74494
blr,2011,169.71805
blr,2012,173.46699
blr,2013,153.59713
blr,2014,153.59194
blz,1990,116.65
blz,2004,75.60768
blz,2005,77.03918
blz,2006,78.51404
blz,2007,80.8398
bol,1990,82.89705
bol,1991,81.18053
bol,1992,84.59259
bol,1993,86.73555
bol,1994,91.21717
bol,1995,97.79064
bol,1996,100.74372
bol,1997,104.68755
bol,1998,100.75215
bol,1999,98.59001
bol,2000,107.59339
bol,2001,82.32865
bol,2002,96.30411
bol,2003,97.47998
bol,2004,93.68898
bol,2005,97.85666
