geo,time,ne_gdi_ftot_kd
ago,2015,32777768687.8387
alb,1996,926558222.77632
alb,1997,735513999.87949
alb,1998,829729773.02418
alb,1999,1138969831.07571
alb,2000,1624459494.88784
alb,2001,1993417168.86595
alb,2002,2096500000.78143
alb,2003,2261813219.66597
alb,2004,2528662676.83049
alb,2005,2707146138.12901
alb,2006,2912069182.42664
alb,2007,3047087610.70677
alb,2008,3181667356.08604
alb,2009,3212731898.95097
alb,2010,2940641964.72479
alb,2011,3115413304.48038
alb,2012,2870596221.00203
alb,2013,2813877137.9955
alb,2014,2685911879.18868
alb,2015,2779927549.40589
alb,2016,2847411713.24299
alb,2017,3019234086.51278
alb,2018,3090075098.05761
alb,2019,2976388767.97048
alb,2020,2916103302.38026
are,2001,34732940027.6021
are,2002,36748912199.2506
are,2003,39523927668.2123
are,2004,40554795152.3282
are,2005,46669807541.4026
are,2006,53616808451.7249
are,2007,76827498871.9935
are,2008,77110677767.4213
are,2009,84093119027.7063
are,2010,76166459946.11038
are,2011,75944071496.5406
are,2012,76746598562.46049
are,2013,72382101311.74271
are,2014,80261143463.80299
are,2015,83725068454.73109
are,2016,91124597216.1272
are,2017,75387906026.62758
are,2018,78104944281.08459
are,2019,78122010024.46111
are,2020,82687877663.25681
arg,1960,24147333336.8917
arg,1961,27568193217.3927
arg,1962,25354592011.2501
arg,1963,21933732074.6884
arg,1964,24147333336.8917
arg,1965,25354592011.2501
arg,1966,25354592011.2501
arg,1967,26562075937.4109
arg,1968,29982954766.42089
arg,1969,36824609328.8549
arg,1970,37452455337.067
arg,1971,40507091721.7678
arg,1972,40949709271.0471
arg,1973,37971548956.5968
arg,1974,39500974441.7859
arg,1975,39581458738.3598
arg,1976,43726705038.0611
arg,1977,52842300876.0083
arg,1978,46081027514.5622
arg,1979,49200216424.00529
arg,1980,53297557753.5267
arg,1981,45315748531.094
arg,1982,36278481288.48689
arg,1983,36423417088.4621
arg,1984,34917531481.7762
arg,1985,29992514289.2174
arg,1986,33303920798.324
arg,1987,37612089349.725
arg,1988,36288244984.271
arg,1989,28449417959.3223
arg,1990,23655665665.9721
arg,1991,30738569003.2844
arg,1992,40772703492.6653
arg,1993,46327225414.1258
arg,1994,52661207597.975
arg,1995,45770986408.9843
arg,1996,49836963889.7747
arg,1997,58639598832.0611
arg,1998,62476955246.50449
arg,1999,54598702029.7055
arg,2000,50883664312.6158
arg,2001,42914748082.9166
arg,2002,27273361805.6602
arg,2003,37682562546.6549
arg,2004,50654861461.2803
arg,2005,58672701569.6979
arg,2006,67164293724.504
arg,2007,80901540191.89009
arg,2008,87936280775.26601
arg,2009,68086553749.1582
arg,2010,85962395051.7292
arg,2011,100900907666.981
arg,2012,93761965457.94179
arg,2013,95955516955.605
arg,2014,89473196447.26601
arg,2015,92571210122.05602
arg,2016,87222011290.22951
arg,2017,98892817130.20828
arg,2018,93210783977.91368
arg,2019,78399592464.92468
arg,2020,68265934406.2212
arm,1994,609626857.02346
arm,1995,515494789.88259
arm,1996,559801779.9104
arm,1997,577176886.77668
arm,1998,646177938.9945
arm,1999,646421384.1118
arm,2000,753843051.44387
arm,2001,797254288.79768
arm,2002,1062153660.91122
arm,2003,1356200890.18166
arm,2004,1614926746.68977
arm,2005,2085724410.11782
arm,2006,2789414670.07267
arm,2007,3296198498.36896
arm,2008,3688488270.09025
arm,2009,2753397294.4108
arm,2010,2673550455.13825
arm,2011,2374113103.84757
arm,2012,2333329823.89202
arm,2013,2169996736.21958
arm,2014,2122256808.02275
arm,2015,2175313228.22332
arm,2016,1927327520.20586
arm,2017,2114278289.66583
arm,2018,2215763647.56979
arm,2019,2313257248.06286
arm,2020,2114317124.72945
atg,2015,319849629.62963
aus,1960,32959755159.365
aus,1961,34829137314.6202
aus,1962,35448427708.4178
aus,1963,37664673876.0603
aus,1964,41192403665.76
aus,1965,44275042466.1132
aus,1966,47875675090.2748
aus,1967,50316001549.1055
aus,1968,54026372124.0888
aus,1969,57479664282.8115
aus,1970,59365161801.4742
aus,1971,61277518259.1491
aus,1972,62997257754.193
aus,1973,64924194778.7603
aus,1974,67695269886.57089
aus,1975,63355632740.4427
aus,1976,65531974198.6955
aus,1977,68081271210.0904
aus,1978,70691960082.08479
aus,1979,77602381390.81779
aus,1980,79831673328.83769
aus,1981,90041139746.53709
aus,1982,96570164121.29559
aus,1983,87425079086.7403
aus,1984,91866780201.1152
aus,1985,100694929755.326
aus,1986,106666822995.14301
aus,1987,107078915859.418
aus,1988,115099762446.744
aus,1989,127440293825.505
aus,1990,128595228203.033
aus,1991,116404339484.48399
aus,1992,111751603849.298
aus,1993,119166205813.205
aus,1994,126069720537.62
aus,1995,139969605175.608
aus,1996,143801224675.276
aus,1997,153346124201.98499
aus,1998,168286600877.13501
aus,1999,175757222913.83801
aus,2000,189984019209.51901
aus,2001,174893132475.89999
aus,2002,190850411842.229
aus,2003,214835444380.203
aus,2004,233602168767.21701
aus,2005,247838173841.98697
aus,2006,268343055282.22501
aus,2007,280471784741.91693
aus,2008,305046946539.90302
aus,2009,309695845183.802
aus,2010,315109072492.164
aus,2011,326452753534.44
aus,2012,364329996727.82599
aus,2013,374864072608.44495
aus,2014,367783288886.54797
aus,2015,354204176720.19293
aus,2016,341301142418.69
aus,2017,341167615121.88599
aus,2018,357682793021.41302
aus,2019,353106029813.71893
