geo,time,dt_dod_dppg_cd
afg,2006,920022562.7
afg,2007,1902610499.2
afg,2008,1994506003
afg,2009,2106108788.4
afg,2010,1975547213.6
afg,2011,2032464249.9
afg,2012,2079790573.1
afg,2013,2106231511.1
afg,2014,2020951888.7
afg,2015,1989954793.3
afg,2016,1949505964.6
afg,2017,1981566648.7
afg,2018,1948884923.6
afg,2019,1943607688.1
afg,2020,1958449755.2
ago,1989,6676170079.9
ago,1990,7603459882.7
ago,1991,7702671839.4
ago,1992,8130429817.5
ago,1993,8691068178.9
ago,1994,9122081832.6
ago,1995,9544234897.9
ago,1996,9377299505.7
ago,1997,8681585483.1
ago,1998,9099557192.7
ago,1999,8713044776.2
ago,2000,8084844148
ago,2001,6982714292.1
ago,2002,7540350651.9
ago,2003,7634470053.7
ago,2004,8180879840
ago,2005,9532119023.4
ago,2006,7361981528.7
ago,2007,9240475948.2
ago,2008,12784883279.6
ago,2009,13739506332.2
ago,2010,15662044702.2
ago,2011,17930281146.9
ago,2012,20637721760
ago,2013,25876841495.5
ago,2014,33033806308.5
ago,2015,33334466899.5
ago,2016,41423181286.4
ago,2017,42337897357.9
ago,2018,47510099429.1
ago,2019,47286301784.7
ago,2020,47143566385.8
alb,1991,86200133.1
alb,1992,126853823.7
alb,1993,178987293.2
alb,1994,247576173.3
alb,1995,332006725.9
alb,1996,406192837.9
alb,1997,413719706.2
alb,1998,506241511.2
alb,1999,583745362.1
alb,2000,920960202.7
alb,2001,970052069.1
alb,2002,994817253.8
alb,2003,1231771684.1
alb,2004,1399398801.2
alb,2005,1372154320.1
alb,2006,1574574789.9
alb,2007,1784599695.4
alb,2008,2293726087.3
alb,2009,2874058234.3
alb,2010,3210131111.3
alb,2011,3365051003.3
alb,2012,3547888507.5
alb,2013,3755988133.4
alb,2014,3665061486.8
alb,2015,3844243189.6
alb,2016,3760800782.1
alb,2017,4335422394
alb,2018,4559126663.3
alb,2019,4442312889.3
alb,2020,5278332660.4
arg,1970,1963191433.6
arg,1971,2256903964.5
arg,1972,2498891468.3
arg,1973,2938707750.5
arg,1974,3421164058.1
arg,1975,3302795689.9
arg,1976,4654292884.8
arg,1977,5266271831.3
arg,1978,6977657037.8
arg,1979,8827035027.4
arg,1980,10346063712.9
arg,1981,10722128187.8
arg,1982,16039004262.2
arg,1983,25628655633.2
arg,1984,26904139600.9
arg,1985,37538037698.1
arg,1986,41196296224.1
arg,1987,49483262859.3
arg,1988,47819537776.8
arg,1989,52113884850.7
arg,1990,47154009319.6
arg,1991,47843448833.1
arg,1992,47871495736.2
arg,1993,46139573174.2
arg,1994,50588760023.7
arg,1995,55221009682
arg,1996,62287157338.5
arg,1997,66984541332.5
arg,1998,77240805072.89998
arg,1999,90264207975.5
arg,2000,90357824540.8
arg,2001,86641606230.8
arg,2002,90234099462.89999
arg,2003,96673899035.5
arg,2004,103055442075.39999
arg,2005,59419258383
arg,2006,63381279800.3
arg,2007,71086100933
arg,2008,70923520108.39999
arg,2009,75796982671.19998
arg,2010,69184226965.5
arg,2011,71538394036.7
arg,2012,70577682949.89999
arg,2013,69886341061.60001
arg,2014,76272835930
arg,2015,72820719758.10001
arg,2016,106602868146.7
arg,2017,128246607700.89999
arg,2018,135603461649.2
arg,2019,121319473222.7
arg,2020,119182109272.8
arm,1993,133902025.2
arm,1994,188626997
arm,1995,298280275
arm,1996,402669288
arm,1997,484427779.7
arm,1998,568631826.8
arm,1999,651398849.6
arm,2000,683904100.9
arm,2001,724381421.5
arm,2002,826354046.8
arm,2003,879093011.9
arm,2004,962207800.5
arm,2005,924306167.7
arm,2006,1039840661.7
arm,2007,1285698946
arm,2008,1448904337.2
arm,2009,2378651326.3
arm,2010,2559562283.8
arm,2011,2739931450.7
arm,2012,2959497864.2
arm,2013,3315622558.2
arm,2014,3380303018.5
arm,2015,3997978273.1
arm,2016,4471742570.3
arm,2017,5227511965.1
arm,2018,5371183271.6
arm,2019,5652421544.1
arm,2020,5616375232.8
aze,1993,35500000
aze,1994,103199844.4
aze,1995,206082378.9
aze,1996,247857892
aze,1997,237273458.7
aze,1998,311556680.6
aze,1999,533515661
aze,2000,794476706.4
aze,2001,829122891.1
aze,2002,1049156880
aze,2003,1274247695.7
aze,2004,1354122064.1
aze,2005,1490648700.4
aze,2006,1807462903.8
aze,2007,2278380628.5
aze,2008,2711815551.9
aze,2009,3337166120.2
aze,2010,3812059993.3
aze,2011,4715542056.1
aze,2012,6191506345.9
aze,2013,6583445356.5
aze,2014,8403975646.2
aze,2015,8711627149.8
aze,2016,10624469897.6
aze,2017,12470060085.4
aze,2018,13956341698.5
aze,2019,13976279251
aze,2020,14000357457.1
bdi,1970,7300400.9
bdi,1971,7830861
bdi,1972,6895385.6
bdi,1973,7780758.4
bdi,1974,9437482
bdi,1975,17973869.7
bdi,1976,20959869.9
bdi,1977,38270396.8
bdi,1978,59420485.3
bdi,1979,92716899.4
bdi,1980,118029697.9
bdi,1981,135901245.5
bdi,1982,180560678
bdi,1983,273948583.4
bdi,1984,319942819.9
bdi,1985,408967407.7
bdi,1986,524246436.7
bdi,1987,711720213
bdi,1988,755551588.1
bdi,1989,832270827.5
bdi,1990,850948296.7
bdi,1991,901246702.3
bdi,1992,951209642.6
bdi,1993,1002213475.5
bdi,1994,1066115552.8
bdi,1995,1099254965.8
bdi,1996,1084891764.8
bdi,1997,1025626040.4
bdi,1998,1082065038.7
bdi,1999,1053137542.5
bdi,2000,1036016292.8
bdi,2001,985499684.2
bdi,2002,1104166706.5
bdi,2003,1251824049.8
bdi,2004,1273100721
bdi,2005,1176083859
bdi,2006,1230938177.1
bdi,2007,1276072170.3
bdi,2008,1234296833.5
bdi,2009,393545090.3
bdi,2010,381817130.4
bdi,2011,363240037.6
bdi,2012,411368009.9
bdi,2013,398129656.6
bdi,2014,403553416.5
bdi,2015,408115720.8
bdi,2016,408860131.1
bdi,2017,418478499.3
bdi,2018,418358830.2
bdi,2019,444486642
bdi,2020,493346649.2
ben,1970,42326414.5
ben,1971,49825705.9
ben,1972,45300101.9
ben,1973,87567697.1
ben,1974,104736798.1
ben,1975,113928315.7
ben,1976,136239652.7
ben,1977,179936571.8
ben,1978,214723252.1
ben,1979,348913568
ben,1980,385320506
ben,1981,443969123.5
ben,1982,665975642.2
ben,1983,702075345.3
ben,1984,662871778.7
ben,1985,745711629.3
ben,1986,857769295.1
ben,1987,1027018310.7
ben,1988,1014797515.6
ben,1989,989161417.4
ben,1990,1046319864.5
ben,1991,1065457535.2
ben,1992,1149947239.2
ben,1993,1194513979.3
ben,1994,1279929923.2
ben,1995,1265304706.1
ben,1996,1231456398.1
ben,1997,1180059299.1
ben,1998,1265590861.4
ben,1999,1271534069.5
ben,2000,1245904662.4
ben,2001,1309945403.1
ben,2002,1456262255.7
ben,2003,1361711524.2
ben,2004,1512719543.1
ben,2005,1450671912.8
ben,2006,602480824
ben,2007,766724915.2
ben,2008,871899139.9
ben,2009,982643252
ben,2010,1112249265.4
ben,2011,1192152175
ben,2012,1300026430.9
ben,2013,1595836996.8
ben,2014,1761896700.8
ben,2015,1902235330.8
ben,2016,2017641688.6
ben,2017,2506313950.6
ben,2018,3295216948.5
ben,2019,3599055725.2
ben,2020,4405258837.4
bfa,1970,20789505.9
bfa,1971,23598002.3
bfa,1972,20015915.3
bfa,1973,31067227.5
bfa,1974,47354443.4
bfa,1975,62537911.1
bfa,1976,85306252
bfa,1977,134283149.6
bfa,1978,179146283.6
bfa,1979,246230060.8
bfa,1980,280711178.4
bfa,1981,279681119.5
bfa,1982,307029883.7
bfa,1983,358082422.9
bfa,1984,369256869.1
bfa,1985,456166856.7
bfa,1986,576716543
bfa,1987,744114403.2
bfa,1988,767369530.6
bfa,1989,648150964.3
bfa,1990,749566804.9
