geo,time,eg_gdp_puse_ko_pp
ago,1990,6.60419
ago,1991,6.73396
ago,1992,6.44935
ago,1993,4.84596
ago,1994,4.94808
ago,1995,5.81426
ago,1996,6.53309
ago,1997,6.9816
ago,1998,7.41008
ago,1999,7.31278
ago,2000,7.50065
ago,2001,7.65092
ago,2002,8.44406
ago,2003,8.2088
ago,2004,9.09078
ago,2005,11.15779
ago,2006,11.6872
ago,2007,12.8274
ago,2008,13.43004
ago,2009,12.55912
ago,2010,12.6458
ago,2011,12.86125
ago,2012,13.42044
ago,2013,14.3931
ago,2014,15.01865
alb,1990,3.13322
alb,1991,3.33128
alb,1992,4.35667
alb,1993,4.98661
alb,1994,5.18681
alb,1995,6.38885
alb,1996,6.6507
alb,1997,7.06625
alb,1998,7.0803
alb,1999,6.02527
alb,2000,6.65089
alb,2001,7.19872
alb,2002,7.06222
alb,2003,7.71412
alb,2004,7.58684
alb,2005,8.15096
alb,2006,9.28979
alb,2007,10.71298
alb,2008,11.57702
alb,2009,12.03445
alb,2010,13.20533
alb,2011,13.34403
alb,2012,15.3021
alb,2013,13.19177
alb,2014,13.92688
are,1990,7.80396
are,1991,7.07582
are,1992,7.85749
are,1993,7.74452
are,1994,7.63101
are,1995,7.82239
are,1996,7.982
are,1997,8.32124
are,1998,8.25282
are,1999,8.43681
are,2000,9.77987
are,2001,7.94617
are,2002,8.33603
are,2003,9.38987
are,2004,9.90327
are,2005,10.07101
are,2006,10.97713
are,2007,10.7165
are,2008,9.5292
are,2009,9.00216
are,2010,8.99251
are,2011,9.41269
are,2012,9.23683
are,2013,9.25387
are,2014,9.62543
arg,1990,5.0922
arg,1991,5.57328
arg,1992,5.85058
arg,1993,6.46196
arg,1994,6.56632
arg,1995,6.42075
arg,1996,6.6541
arg,1997,7.09528
arg,1998,7.20497
arg,1999,6.94264
arg,2000,6.95934
arg,2001,7.14679
arg,2002,6.6559
arg,2003,6.89596
arg,2004,7.06784
arg,2005,7.88573
arg,2006,8.06875
arg,2007,8.91632
arg,2008,8.98209
arg,2009,8.75699
arg,2010,9.36505
arg,2011,9.89842
arg,2012,10.14112
arg,2013,10.2346
arg,2014,9.69681
arm,1990,1.27249
arm,1991,1.10201
arm,1992,1.29033
arm,1993,2.26952
arm,1994,3.88575
arm,1995,3.55487
arm,1996,3.53872
arm,1997,3.56014
arm,1998,3.79285
arm,1999,4.11077
arm,2000,4.05045
arm,2001,4.5567
arm,2002,5.60103
arm,2003,6.1596
arm,2004,6.61075
arm,2005,6.47376
arm,2006,7.41349
arm,2007,7.7628
arm,2008,8.03398
arm,2009,8.00381
arm,2010,8.69766
arm,2011,8.50118
arm,2012,9.09216
arm,2013,9.82642
arm,2014,9.8797
atg,1990,7.33152
atg,2004,11.14048
atg,2005,12.05262
atg,2006,13.40816
atg,2007,14.74165
aus,1990,3.43121
aus,1991,3.61673
aus,1992,3.67288
aus,1993,3.72208
aus,1994,3.94791
aus,1995,4.07928
aus,1996,4.08058
aus,1997,4.20003
aus,1998,4.35941
aus,1999,4.50886
aus,2000,4.66739
aus,2001,5.03763
aus,2002,5.16528
aus,2003,5.35261
aus,2004,5.61039
aus,2005,5.8686
aus,2006,6.01989
aus,2007,6.23682
aus,2008,6.28694
aus,2009,6.87104
aus,2010,6.79024
aus,2011,7.31096
aus,2012,7.68331
aus,2013,8.39487
aus,2014,8.78795
aus,2015,8.43366
aut,1990,6.00658
aut,1991,6.03362
aut,1992,6.55694
aut,1993,6.67136
aut,1994,6.99645
aut,1995,7.02057
aut,1996,6.85781
aut,1997,7.16164
aut,1998,7.39615
aut,1999,7.68595
aut,2000,8.22743
aut,2001,7.90292
aut,2002,8.26221
aut,2003,8.0894
aut,2004,8.42751
aut,2005,8.5701
aut,2006,9.23362
aut,2007,9.80961
aut,2008,10.2467
aut,2009,10.77317
aut,2010,10.36964
aut,2011,11.33449
aut,2012,11.95269
aut,2013,12.22799
aut,2014,12.96717
aut,2015,13.12157
aze,1990,1.66412
aze,1991,1.72433
aze,1992,1.68453
aze,1993,1.47983
aze,1994,1.3373
aze,1995,1.2816
aze,1996,1.56423
aze,1997,1.74849
aze,1998,1.87364
aze,1999,2.19502
aze,2000,2.41231
aze,2001,2.67402
aze,2002,2.94317
aze,2003,3.1411
aze,2004,3.35128
aze,2005,4.21082
aze,2006,5.92066
aze,2007,8.30184
aze,2008,8.52247
aze,2009,10.47554
aze,2010,11.47054
aze,2011,10.81138
aze,2012,10.83424
aze,2013,11.6614
aze,2014,11.61316
bel,1990,3.88327
bel,1991,3.91344
bel,1992,4.0196
bel,1993,4.17401
bel,1994,4.147
bel,1995,4.25894
bel,1996,4.10703
bel,1997,4.29663
bel,1998,4.34914
bel,1999,4.53272
bel,2000,4.90083
bel,2001,5.10951
bel,2002,5.61749
bel,2003,5.53358
bel,2004,5.73273
bel,2005,5.97196
bel,2006,6.44534
bel,2007,6.89366
bel,2008,6.94512
bel,2009,7.2643
bel,2010,7.19204
bel,2011,8.04003
bel,2012,8.72786
bel,2013,8.73866
bel,2014,9.54282
bel,2015,9.85559
ben,1990,3.77218
ben,1991,4.00345
ben,1992,4.11426
ben,1993,4.35521
ben,1994,4.44153
ben,1995,4.70554
ben,1996,4.29291
ben,1997,4.45319
ben,1998,4.7461
ben,1999,4.86196
ben,2000,6.09388
ben,2001,6.16806
ben,2002,6.11212
ben,2003,6.10621
ben,2004,6.2723
ben,2005,6.55537
ben,2006,5.94949
ben,2007,5.9555
ben,2008,6.23023
ben,2009,6.12213
ben,2010,5.95291
ben,2011,6.08998
ben,2012,6.2513
ben,2013,6.57157
ben,2014,6.79817
bgd,1990,6.88441
bgd,1991,7.47219
bgd,1992,7.63464
bgd,1993,7.75113
bgd,1994,7.8746
bgd,1995,7.76798
bgd,1996,8.21929
bgd,1997,8.36827
bgd,1998,8.53792
bgd,1999,8.94698
bgd,2000,9.30803
bgd,2001,9.13731
bgd,2002,9.41277
bgd,2003,9.52999
bgd,2004,10.11217
bgd,2005,10.69809
bgd,2006,10.97338
bgd,2007,11.54679
bgd,2008,11.88967
bgd,2009,11.96212
bgd,2010,11.79656
bgd,2011,12.35903
bgd,2012,13.35452
bgd,2013,14.15638
bgd,2014,14.6916
bgr,1990,2.33126
bgr,1991,2.84412
bgr,1992,2.88654
bgr,1993,2.71473
bgr,1994,2.91157
bgr,1995,2.81754
bgr,1996,2.4937
bgr,1997,2.29639
bgr,1998,2.54649
bgr,1999,2.60363
bgr,2000,2.8199
bgr,2001,2.87425
bgr,2002,3.22959
bgr,2003,3.37975
bgr,2004,3.77003
bgr,2005,3.96145
bgr,2006,4.23863
bgr,2007,4.80526
bgr,2008,5.41202
bgr,2009,6.03029
bgr,2010,6.1888
bgr,2011,6.01693
bgr,2012,6.49645
bgr,2013,7.14733
bgr,2014,7.11032
bhr,1990,2.54455
bhr,1991,2.97247
bhr,1992,2.94826
bhr,1993,3.23233
bhr,1994,3.09808
bhr,1995,3.24636
bhr,1996,3.44283
bhr,1997,3.20491
bhr,1998,3.2325
bhr,1999,3.45191
bhr,2000,3.51844
bhr,2001,3.58614
bhr,2002,3.63094
bhr,2003,3.70556
bhr,2004,4.05557
bhr,2005,3.88854
bhr,2006,3.98139
bhr,2007,4.23121
bhr,2008,4.22749
bhr,2009,4.49733
bhr,2010,4.59186
bhr,2011,4.77948
bhr,2012,5.24613
bhr,2013,4.94197
bhr,2014,4.8225
bhs,1990,8.52998
bhs,2004,14.3451
bhs,2005,14.59098
bhs,2006,15.1926
bhs,2007,15.75945
bih,1994,2.47093
bih,1995,2.92689
bih,1996,4.82173
bih,1997,4.27225
bih,1998,4.01836
bih,1999,4.51481
bih,2000,3.96861
bih,2001,4.28464
bih,2002,4.43366
bih,2003,4.6711
bih,2004,4.65665
bih,2005,4.8409
bih,2006,5.2673
bih,2007,5.81471
bih,2008,5.6859
bih,2009,5.42511
bih,2010,5.34455
bih,2011,5.11166
bih,2012,5.55739
bih,2013,6.04698
bih,2014,5.08839
blr,1990,1.17095
blr,1991,1.22758
blr,1992,1.36021
blr,1993,1.51073
blr,1994,1.60444
blr,1995,1.58655
blr,1996,1.61731
blr,1997,1.83857
blr,1998,2.05743
blr,1999,2.21626
blr,2000,2.35881
blr,2001,2.5138
blr,2002,2.6312
blr,2003,2.78671
blr,2004,3.08399
blr,2005,3.4825
blr,2006,3.70771
blr,2007,4.22133
blr,2008,4.73576
blr,2009,5.03591
blr,2010,5.29276
blr,2011,5.3405
blr,2012,5.608
blr,2013,6.57589
blr,2014,6.47286
blz,1990,5.88508
blz,2004,12.09753
