geo,time,sl_emp_totl_sp_ma_ne_zs
abw,1991,69.25
abw,2000,67.09
abw,2007,70.13
abw,2010,61.5
abw,2011,63.6
afg,2008,79.86
afg,2012,76
afg,2014,71.53
afg,2017,65.58
afg,2020,59.86
ago,2004,58.6
ago,2009,70.4
ago,2010,72.78
ago,2011,74.35
ago,2014,45.72
alb,2004,61.2
alb,2007,51.54
alb,2008,53.76
alb,2009,56.85
alb,2010,55.83
alb,2011,58.58
alb,2012,55.61
alb,2013,50.72
alb,2014,50.73
alb,2015,53.08
alb,2016,54.4
alb,2017,56.92
alb,2018,58.91
alb,2019,60.06
are,1975,91.71
are,1980,93.01
are,1995,90.65
are,2005,90.39
are,2008,87.61
are,2009,86.76
are,2017,91.47
are,2018,91.84
are,2019,90.82
are,2020,85.53
arg,1990,62.9
arg,1991,64
arg,1992,63
arg,1993,62.4
arg,1994,60.2
arg,1995,57.3
arg,1996,57
arg,1997,59.9
arg,1998,59.9
arg,1999,59
arg,2000,63.6
arg,2001,59
arg,2002,59.1
arg,2003,64.3
arg,2004,66.24
arg,2005,67.68
arg,2006,68.79
arg,2007,69.6
arg,2008,69.2
arg,2009,68.17
arg,2010,68.96
arg,2011,69.79
arg,2012,69.28
arg,2013,68.86
arg,2014,67.77
arg,2017,65.59
arg,2018,65.18
arg,2019,64.86
arg,2020,59.24
arm,2000,37.69
arm,2007,59.91
arm,2008,51.09
arm,2009,49.01
arm,2010,62.75
arm,2011,57.92
arm,2012,49.39
arm,2013,59.97
arm,2014,61.61
arm,2015,59.81
arm,2016,58.35
arm,2017,57.93
arm,2018,58.62
arm,2019,58.95
arm,2020,53.44
atg,1991,76.44
atg,2001,72.02
aus,1979,74.39
aus,1980,74.37
aus,1981,74.29
aus,1982,72.51
aus,1983,69.26
aus,1984,69.63
aus,1985,69.74
aus,1986,70.04
aus,1987,69.49
aus,1988,70.15
aus,1989,71.14
aus,1990,70.5
aus,1991,67.26
aus,1992,65.75
aus,1993,65.08
aus,1994,66.26
aus,1995,67.36
aus,1996,67.17
aus,1997,66.74
aus,1998,66.93
aus,1999,67.16
aus,2000,67.44
aus,2001,66.85
aus,2002,67.1
aus,2003,67.33
aus,2004,67.73
aus,2005,68.57
aus,2006,68.87
aus,2007,69.58
aus,2008,69.75
aus,2009,68.19
aus,2010,68.69
aus,2011,68.64
aus,2012,68.04
aus,2013,67.31
aus,2014,66.7
aus,2015,66.79
aus,2016,66.61
aus,2017,66.78
aus,2018,67.22
aus,2019,67.42
aus,2020,65.45
aus,2021,66.95
aut,1980,69.11
aut,1982,70.11
aut,1983,68.37
aut,1984,68.07
