global,time,sl_emp_vuln_ma_zs
world,1991,52.85853
world,1992,52.79304
world,1993,52.7445
world,1994,52.51109
world,1995,52.32699
world,1996,52.18487
world,1997,52.07195
world,1998,52.2263
world,1999,52.30124
world,2000,52.12679
world,2001,51.80034
world,2002,51.62893
world,2003,51.44349
world,2004,50.86556
world,2005,50.2908
world,2006,49.5617
world,2007,48.82988
world,2008,48.34318
world,2009,48.23631
world,2010,47.73818
world,2011,47.06983
world,2012,46.33147
world,2013,45.91697
world,2014,45.49526
world,2015,45.01779
world,2016,44.67039
world,2017,44.27032
world,2018,43.77144
world,2019,43.43169
