geo,time,se_sec_enrl_gc_fe_zs
abw,1999,54.78745
abw,2000,53.6171
abw,2001,53.94245
abw,2002,54.52419
abw,2003,54.74045
abw,2004,52.71945
abw,2005,53.08951
abw,2006,52.68579
abw,2007,53.76242
abw,2008,54.72049
abw,2009,53.36236
abw,2010,52.69355
abw,2011,52.2369
abw,2012,51.62574
abw,2013,50.91565
abw,2014,50.83083
afg,1970,13.69402
afg,1971,12.62248
afg,1972,11.44107
afg,1973,12.1344
afg,1974,11.82518
afg,1975,12.03251
afg,1976,12.98029
afg,1977,14.41377
afg,1978,14.94983
afg,1980,18.28529
afg,1981,20.09183
afg,1982,29.81286
afg,1984,30.27423
afg,1985,29.96061
afg,1986,31.87462
afg,1988,31.55284
afg,1991,32.15821
afg,1993,25.79763
afg,1994,20.34748
afg,1995,25.37501
afg,2001,0
afg,2002,24.63293
afg,2003,24.54432
afg,2004,16.33462
afg,2005,23.55217
afg,2007,26.16887
afg,2008,28.77228
afg,2009,31.24845
afg,2010,32.15398
afg,2011,34.68783
afg,2012,34.85363
afg,2013,34.75782
afg,2014,34.88299
afg,2015,34.9509
afg,2016,35.39947
afg,2017,35.21791
afg,2018,35.28181
ago,1971,43.51544
ago,1972,43.70518
ago,1982,32.91325
ago,1983,33.88009
ago,1986,39.49108
ago,1987,40.97332
ago,1988,42.33396
ago,1989,38.86389
ago,1990,38.33064
ago,1998,46.62899
ago,1999,47.23919
ago,2000,46.84326
ago,2001,45.36756
ago,2002,46.73096
ago,2003,47.92734
ago,2006,52.45569
ago,2007,52.52991
ago,2008,48.48298
ago,2009,48.44379
ago,2010,46.27889
ago,2011,44.97036
ago,2016,39.0578
alb,1976,47.40213
alb,1978,47.40398
alb,1979,47.86642
alb,1980,47.80253
alb,1981,47.85999
alb,1982,48.2716
alb,1983,49.33798
alb,1984,49.32191
alb,1985,48.2636
alb,1986,48.3624
alb,1987,48.66312
alb,1988,48.93652
alb,1989,48.99335
alb,1990,48.92618
alb,1991,49.09203
alb,1992,50.13331
alb,1993,50.96579
alb,1994,50.56657
alb,1995,49.85311
alb,1996,49.6284
alb,1997,49.42088
alb,1999,49.24548
alb,2000,49.20194
alb,2001,49.48403
alb,2004,48.87299
alb,2006,48.85511
alb,2007,49.079
alb,2008,49.01605
alb,2009,49.48472
alb,2010,48.7955
alb,2011,48.55243
alb,2012,48.61386
alb,2013,48.81038
alb,2014,48.71889
alb,2015,49.25106
alb,2016,49.51537
alb,2017,49.64244
alb,2018,49.70777
and,1971,43.78453
and,1972,48.54772
and,1973,42.83668
and,1974,54.38202
and,1975,47.57282
and,1976,62.29321
and,1983,50.51669
and,2002,50.63421
and,2003,50.52101
and,2004,50.03303
and,2005,50.34227
and,2006,49.9583
and,2007,49.38444
and,2008,49.03873
and,2009,48.38978
and,2010,48.13109
and,2011,47.92821
and,2012,48.54494
and,2013,48.2785
and,2014,48.05359
and,2015,48.05195
and,2016,49.55067
and,2017,49.74093
and,2018,49.3913
are,1971,18.61277
are,1972,20.04236
are,1973,26.98844
are,1974,36.40609
are,1975,38.65713
are,1976,37.61113
