geo,time,sh_mmr_risk_zs
afg,2000,11.21564
afg,2001,10.60497
afg,2002,9.73651
afg,2003,8.97837
afg,2004,8.31549
afg,2005,7.81041
afg,2006,7.58144
afg,2007,7.26897
afg,2008,6.8276
afg,2009,6.44358
afg,2010,6.03931
afg,2011,5.52081
afg,2012,5.02303
afg,2013,4.53815
afg,2014,4.2167
afg,2015,3.60913
afg,2016,3.33091
afg,2017,3.06359
ago,2000,5.68566
ago,2001,5.25528
ago,2002,4.73517
ago,2003,4.29415
ago,2004,3.90746
ago,2005,3.52206
ago,2006,3.19397
ago,2007,2.90285
ago,2008,2.64276
ago,2009,2.38686
ago,2010,2.15146
ago,2011,1.96784
ago,2012,1.81915
ago,2013,1.71833
ago,2014,1.63009
ago,2015,1.55853
ago,2016,1.50121
ago,2017,1.45125
alb,2000,0.05047
alb,2001,0.04693
alb,2002,0.04214
alb,2003,0.03906
alb,2004,0.0317
alb,2005,0.03717
alb,2006,0.02991
alb,2007,0.03027
alb,2008,0.03107
alb,2009,0.03223
alb,2010,0.03388
alb,2011,0.03612
alb,2012,0.0288
alb,2013,0.02763
alb,2014,0.02842
alb,2015,0.0263
alb,2016,0.02719
alb,2017,0.02629
are,2000,0.01999
are,2001,0.0179
are,2002,0.01642
are,2003,0.01512
are,2004,0.01383
are,2005,0.01265
are,2006,0.01119
are,2007,0.01008
are,2008,0.00936
are,2009,0.00882
are,2010,0.00833
are,2011,0.00779
are,2012,0.00724
are,2013,0.0067
are,2014,0.00627
are,2015,0.0059
are,2016,0.00571
are,2017,0.0056
arg,2000,0.17787
arg,2001,0.17821
arg,2002,0.17073
arg,2003,0.16938
arg,2004,0.15777
arg,2005,0.15052
arg,2006,0.14588
arg,2007,0.14246
arg,2008,0.13392
arg,2009,0.1387
arg,2010,0.12561
arg,2011,0.11932
arg,2012,0.1142
arg,2013,0.10847
arg,2014,0.10255
arg,2015,0.0995
arg,2016,0.09558
arg,2017,0.09196
arm,2000,0.06793
arm,2001,0.06662
