geo,time,se_prm_cuat_ma_zs
abw,2000,91.75029
abw,2010,92.26595
afg,1975,10.87649
afg,1979,7.99266
afg,2021,19.33605
ago,2014,56.42046
alb,2001,94.84628
alb,2008,94.96354
alb,2011,97.31516
alb,2012,96.89142
and,2003,95.66563
and,2004,98.38035
and,2005,94.61632
and,2006,94.30951
and,2014,96.9259
and,2015,96.83504
and,2016,96.91414
are,2005,73.19574
are,2017,90.40528
are,2018,92.20073
are,2019,94.45576
arg,1970,51.25182
arg,1980,57.78689
arg,1991,73.05765
arg,2001,81.34802
arm,2001,98.65564
arm,2011,99.52137
arm,2015,99.58504
arm,2017,99.52136
arm,2020,99.50972
asm,1974,85.17738
asm,1980,76.27031
aus,2010,99.87252
aus,2012,100
aze,1999,98.56658
aze,2007,99.10387
aze,2008,99.11619
aze,2009,99.13007
aze,2010,99.18825
aze,2011,99.18169
aze,2012,99.20602
aze,2013,99.24507
aze,2014,99.24866
aze,2015,99.21401
aze,2016,99.14272
aze,2017,99.215
aze,2019,99.22695
bdi,2014,14.38943
bdi,2017,22.68732
bel,1970,94.7741
bel,2006,93.65341
bel,2008,94.37705
bel,2009,94.51217
bel,2010,93.99657
bel,2011,94.05723
bel,2012,93.90658
bel,2013,94.21442
bel,2014,94.90724
bel,2015,95.91635
bel,2016,96.44101
bel,2017,96.43277
bel,2019,97.16689
bfa,2006,15.82292
bfa,2007,8.02989
bfa,2018,18.48699
bgd,2001,52.86265
bgd,2011,54.89444
bgd,2012,55.65441
bgd,2013,52.7491
bgd,2014,53.3758
bgd,2015,59.2368
bgd,2016,60.90758
bgd,2017,61.79635
bgd,2018,62.48829
bgd,2019,64.91221
bgd,2020,66.91047
bgr,1992,86.76456
bgr,2001,97.93367
bhr,1971,22.35475
bhr,2001,88.15903
bhr,2010,70.46686
bhr,2016,79.12256
bhr,2017,82.55539
bhr,2018,88.93806
bhr,2020,95.79522
bhs,2000,98.15745
bhs,2010,94.85047
bih,2010,83.76049
bih,2011,84.14742
bih,2014,87.45025
bih,2015,88.71582
bih,2016,92.18367
bih,2018,93.63892
bih,2020,96.20011
blr,1989,63.26638
blr,2009,99.34936
blr,2019,99.82321
blz,2005,69.07089
