geo,time,ic_reg_proc
afg,2004,4
afg,2005,4
afg,2006,4
afg,2007,5
afg,2008,5
afg,2009,5
afg,2010,5
afg,2011,5
afg,2012,5
afg,2013,4
afg,2014,4
afg,2015,4
afg,2016,4
afg,2017,4
afg,2018,4
afg,2019,4
ago,2003,12
ago,2004,12
ago,2005,12
ago,2006,12
ago,2007,12
ago,2008,8
ago,2009,8
ago,2010,8
ago,2011,8
ago,2012,8
ago,2013,8
ago,2014,8
ago,2015,8
ago,2016,7
ago,2017,8
ago,2018,8
ago,2019,8
alb,2003,12
alb,2004,12
alb,2005,12
alb,2006,12
alb,2007,11
alb,2008,8
alb,2009,6
alb,2010,6
alb,2011,6
alb,2012,5
alb,2013,5
alb,2014,5
alb,2015,5
alb,2016,5
alb,2017,5
alb,2018,5
alb,2019,5
are,2003,10
are,2004,10
are,2005,10
are,2006,10
are,2007,9
are,2008,9
are,2009,8
are,2010,8
are,2011,7
are,2012,6
are,2013,6
are,2014,6
are,2015,6
are,2016,4
are,2017,4
are,2018,2
are,2019,2
arg,2003,13
arg,2004,13
arg,2005,13
arg,2006,13
arg,2007,13
arg,2008,14
arg,2009,14
arg,2010,14
arg,2011,14
arg,2012,14
arg,2013,14
arg,2014,14
arg,2015,14
arg,2016,14
arg,2017,14
arg,2018,11
arg,2019,12
arm,2003,10
arm,2004,10
arm,2005,10
arm,2006,9
arm,2007,9
arm,2008,9
arm,2009,6
arm,2010,6
arm,2011,4
arm,2012,4
arm,2013,4
arm,2014,4
arm,2015,4
arm,2016,4
arm,2017,4
arm,2018,3
arm,2019,3
atg,2005,9
atg,2006,9
atg,2007,9
atg,2008,9
atg,2009,9
atg,2010,9
atg,2011,9
atg,2012,9
atg,2013,9
atg,2014,9
atg,2015,9
atg,2016,9
atg,2017,9
atg,2018,9
atg,2019,9
aus,2003,3
aus,2004,3
aus,2005,3
aus,2006,3
aus,2007,3
aus,2008,3
aus,2009,3
aus,2010,3
aus,2011,3
aus,2012,3
aus,2013,3
aus,2014,3
aus,2015,3
aus,2016,3
aus,2017,3
aus,2018,3
aus,2019,3
aut,2003,8
aut,2004,8
aut,2005,8
aut,2006,8
aut,2007,8
aut,2008,8
aut,2009,8
aut,2010,8
aut,2011,8
aut,2012,8
aut,2013,8
aut,2014,8
aut,2015,8
aut,2016,8
aut,2017,8
aut,2018,8
aut,2019,8
aze,2003,14
aze,2004,13
aze,2005,13
aze,2006,13
aze,2007,12
aze,2008,6
aze,2009,6
aze,2010,6
aze,2011,6
aze,2012,6
aze,2013,3
aze,2014,4
aze,2015,3
aze,2016,3
aze,2017,3
aze,2018,3
aze,2019,3
bdi,2003,8
bdi,2004,8
bdi,2005,8
bdi,2006,8
bdi,2007,8
bdi,2008,8
bdi,2009,8
bdi,2010,8
bdi,2011,8
bdi,2012,4
bdi,2013,3
bdi,2014,3
bdi,2015,3
bdi,2016,3
bdi,2017,3
bdi,2018,4
bdi,2019,4
bel,2003,9
bel,2004,6
bel,2005,6
bel,2006,6
bel,2007,5
bel,2008,5
bel,2009,5
bel,2010,5
bel,2011,5
bel,2012,5
bel,2013,5
bel,2014,5
bel,2015,5
bel,2016,5
bel,2017,5
bel,2018,5
bel,2019,5
ben,2003,11
ben,2004,11
ben,2005,11
ben,2006,11
ben,2007,11
ben,2008,11
ben,2009,11
ben,2010,11
ben,2011,10
ben,2012,9
ben,2013,8
ben,2014,8
ben,2015,8
ben,2016,6
ben,2017,6
ben,2018,6
ben,2019,6
bfa,2003,12
bfa,2004,12
bfa,2005,12
bfa,2006,8
bfa,2007,6
bfa,2008,5
bfa,2009,4
bfa,2010,4
bfa,2011,3
bfa,2012,3
bfa,2013,3
bfa,2014,3
bfa,2015,3
bfa,2016,3
bfa,2017,3
bfa,2018,3
bfa,2019,3
bgd,2013,9
bgd,2014,9
bgd,2015,9
bgd,2016,9
bgd,2017,9
bgd,2018,9
bgd,2019,9
bgr,2003,13
bgr,2004,13
bgr,2005,13
bgr,2006,11
bgr,2007,12
bgr,2008,7
bgr,2009,7
bgr,2010,7
bgr,2011,7
bgr,2012,7
bgr,2013,7
bgr,2014,7
bgr,2015,7
bgr,2016,7
bgr,2017,7
bgr,2018,7
bgr,2019,7
bhr,2007,7
bhr,2008,7
bhr,2009,7
bhr,2010,7
bhr,2011,7
bhr,2012,7
bhr,2013,7
bhr,2014,7
bhr,2015,7
bhr,2016,6
bhr,2017,6
bhr,2018,6
bhr,2019,6
bhs,2007,7
bhs,2008,7
bhs,2009,7
bhs,2010,7
bhs,2011,7
bhs,2012,7
bhs,2013,7
bhs,2014,7
bhs,2015,8
bhs,2016,8
bhs,2017,7
bhs,2018,7
bhs,2019,7
bih,2003,12
bih,2004,12
bih,2005,13
bih,2006,13
bih,2007,13
bih,2008,13
bih,2009,13
bih,2010,14
bih,2011,14
bih,2012,13
bih,2013,13
bih,2014,13
bih,2015,13
bih,2016,13
bih,2017,13
bih,2018,13
bih,2019,13
blr,2003,17
blr,2004,17
blr,2005,17
blr,2006,17
blr,2007,11
blr,2008,9
blr,2009,7
blr,2010,7
blr,2011,7
blr,2012,7
blr,2013,6
blr,2014,6
blr,2015,5
blr,2016,5
blr,2017,5
blr,2018,4
blr,2019,4
blz,2005,9
blz,2006,9
blz,2007,9
blz,2008,9
blz,2009,9
blz,2010,9
blz,2011,9
blz,2012,9
blz,2013,9
blz,2014,9
blz,2015,9
blz,2016,9
blz,2017,9
blz,2018,9
blz,2019,9
bol,2003,14
bol,2004,14
bol,2005,14
bol,2006,14
bol,2007,14
bol,2008,14
bol,2009,14
bol,2010,14
bol,2011,14
bol,2012,14
bol,2013,14
bol,2014,14
bol,2015,14
bol,2016,14
bol,2017,12
bol,2018,12
bol,2019,12
bra,2013,11
bra,2014,11
bra,2015,11
bra,2016,11
bra,2017,11
bra,2018,11
bra,2019,11
brb,2011,8
brb,2012,8
brb,2013,8
brb,2014,7
brb,2015,7
brb,2016,7
brb,2017,7
brb,2018,7
brb,2019,7
brn,2006,21
brn,2007,21
brn,2008,21
brn,2009,21
brn,2010,18
brn,2011,18
brn,2012,18
brn,2013,18
brn,2014,18
brn,2015,7
brn,2016,7
brn,2017,5
brn,2018,3
brn,2019,3
btn,2003,10
btn,2004,10
btn,2005,10
btn,2006,10
btn,2007,8
btn,2008,8
btn,2009,8
btn,2010,8
btn,2011,8
btn,2012,8
btn,2013,8
btn,2014,8
btn,2015,8
btn,2016,8
btn,2017,8
btn,2018,8
btn,2019,8
bwa,2003,10
bwa,2004,10
bwa,2005,11
bwa,2006,11
bwa,2007,11
bwa,2008,10
bwa,2009,10
bwa,2010,10
bwa,2011,9
bwa,2012,9
bwa,2013,9
bwa,2014,9
bwa,2015,9
bwa,2016,9
bwa,2017,9
bwa,2018,9
bwa,2019,9
caf,2003,11
caf,2004,11
caf,2005,11
caf,2006,11
caf,2007,11
caf,2008,11
caf,2009,9
caf,2010,9
caf,2011,8
caf,2012,10
caf,2013,10
caf,2014,10
caf,2015,10
caf,2016,10
caf,2017,10
caf,2018,10
caf,2019,10
can,2003,3
can,2004,3
can,2005,3
can,2006,3
can,2007,3
can,2008,2
can,2009,2
can,2010,2
can,2011,2
can,2012,2
can,2013,2
can,2014,2
can,2015,2
can,2016,2
can,2017,2
can,2018,2
can,2019,2
che,2003,6
che,2004,6
che,2005,6
che,2006,6
che,2007,6
che,2008,6
che,2009,6
che,2010,6
che,2011,6
che,2012,6
che,2013,6
che,2014,6
che,2015,6
che,2016,6
che,2017,6
che,2018,6
che,2019,6
chl,2003,9
chl,2004,9
chl,2005,9
chl,2006,9
chl,2007,9
chl,2008,9
chl,2009,9
chl,2010,9
chl,2011,8
chl,2012,8
chl,2013,8
chl,2014,8
chl,2015,8
chl,2016,8
chl,2017,8
chl,2018,7
chl,2019,6
chn,2013,13
chn,2014,11
chn,2015,11
chn,2016,9
chn,2017,9
chn,2018,5
chn,2019,5
civ,2003,11
civ,2004,11
civ,2005,11
civ,2006,11
civ,2007,10
civ,2008,10
civ,2009,10
civ,2010,10
civ,2011,10
civ,2012,10
civ,2013,6
civ,2014,5
civ,2015,5
civ,2016,5
civ,2017,5
civ,2018,4
civ,2019,4
cmr,2003,11
cmr,2004,11
cmr,2005,11
