geo,time,ne_gdi_totl_cn
abw,1995,736000000
abw,1996,703000000
abw,1997,829000000
abw,1998,945000000
abw,1999,952000000
abw,2000,855000000
abw,2001,815000000
abw,2002,935000000
abw,2003,1057000000
abw,2004,1148000000
abw,2005,1401000000
abw,2006,1526000000
abw,2007,1522000000
abw,2008,1634000000
abw,2009,1355000000
abw,2010,1238000000
abw,2011,1301000000
abw,2012,1209000000
abw,2013,1163381000
abw,2014,1154561570.66345
abw,2015,1142339606.84205
abw,2016,1098851138.16972
abw,2017,1137600522.72459
abw,2018,1236675311.5541
afg,1960,3900002000
afg,1961,4100002000
afg,1962,4700002800
afg,1963,4800002600
afg,1964,5000002000
afg,1965,5100000300
afg,1966,5299999700
afg,1967,3900000000
afg,1968,4000000000
afg,1969,4100000000
afg,1970,4300000300
afg,1971,4499999700
afg,1972,4700000300
afg,1973,5699999700
afg,1974,8499999700
afg,1975,10400000000
afg,1976,15699999700
afg,1977,16499999700
afg,1978,20600000500
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,2000,27951944600
ago,2001,60105427800
ago,2002,202897000000
ago,2003,404677000000
ago,2004,607855000000
ago,2005,887970000000
ago,2006,980907000000
ago,2007,1288159000000
ago,2008,2046422000000
ago,2009,2388265204600
ago,2010,2171658501000
ago,2011,2774806012600
ago,2012,3260098136500
ago,2013,3449565734200
ago,2014,3939127382900
ago,2015,4771346711200
ago,2016,4503915977900
ago,2017,4889353765800
ago,2018,5480727000000
ago,2019,6454416000000
ago,2020,5657912000000
alb,1980,5368000000
alb,1981,5645000200
alb,1982,6272999900
alb,1983,6032999900
alb,1984,5247000100
alb,1985,5522999800
alb,1986,5375000100
alb,1987,4903000100
alb,1988,4915999700
alb,1989,5926000100
alb,1990,4927105000
alb,1991,1203850000
alb,1992,2768059900
alb,1993,16544879600
alb,1994,33632489500
alb,1995,47196449300
alb,1996,60397910000
alb,1997,55196950000
alb,1998,75979010000
alb,1999,87541910000
alb,2000,154350540000
alb,2001,197143310000
alb,2002,215284980000
alb,2003,229731920000
alb,2004,252254350000
alb,2005,296492290000
alb,2006,311544740000
alb,2007,332739970000
alb,2008,386648840000
alb,2009,395319640000
alb,2010,375719910000
alb,2011,408572580000
alb,2012,377566030000
alb,2013,378723570000
alb,2014,358240270000
alb,2015,370324420000
alb,2016,371415540000
alb,2017,388476050000
alb,2018,391345410000
alb,2019,399010950000
are,2001,85377553900
are,2002,90926733700
are,2003,101058213000
are,2004,108460383200
are,2005,133770267800
are,2006,157193082400
are,2007,238685903700
are,2008,290781601100
are,2009,294556635500
are,2010,288634831900
are,2011,298278346200
are,2012,301065788200
are,2013,275903258700
are,2014,328208345200
are,2015,337219564100
are,2016,341183152700
are,2017,358220446800
are,2018,364565779200
are,2019,344204483198.59698
arg,1960,0.03088
arg,1961,0.04632
arg,1962,0.04632
arg,1963,0.04632
arg,1964,0.07719
arg,1965,0.10807
arg,1966,0.12351
arg,1967,0.16982
arg,1968,0.2007
arg,1969,0.26245
arg,1970,0.29333
arg,1971,0.4014
arg,1972,0.66386
arg,1973,0.98806
arg,1974,1.45122
arg,1975,5.71224
arg,1976,31.4482
arg,1977,87.845
arg,1978,196.995
arg,1979,499.58899
arg,1980,970
arg,1981,1696
arg,1982,4754
arg,1983,22870
arg,1984,157900
arg,1985,933100
arg,1986,1743400
arg,1987,4562600
arg,1988,20702000
arg,1989,503303008
arg,1990,9646999552
arg,1991,26478000100
arg,1992,37853999100
arg,1993,46563360300
arg,1994,51399500500
arg,1995,47736933000
arg,1996,53406319800
arg,1997,60990966300
arg,1998,62691747400
arg,1999,50645509000
arg,2000,49830828800
arg,2001,41986461000
arg,2002,33927137000
arg,2003,53179774500
arg,2004,85143879400
arg,2005,110031348800
arg,2006,133734406100
arg,2007,180285060600
arg,2008,225017652700
arg,2009,200331487700
arg,2010,294216560300
arg,2011,400906854500
arg,2012,435308187900
arg,2013,579450863900
arg,2014,790482240800
arg,2015,1016476982300
arg,2016,1453358571200
arg,2017,1941501275600
arg,2018,2449685891700
arg,2019,3282932739300
arg,2020,3852823611000
arm,1990,23720000
arm,1991,31700000
arm,1992,5060000
arm,1993,416450000
arm,1994,52270000000
arm,1995,108674000000
arm,1996,139485000000
arm,1997,187134000000
arm,1998,216742000000
arm,1999,205081000000
arm,2000,226093400000
arm,2001,269327000000
arm,2002,346317100000
arm,2003,460552900000
arm,2004,555642500000
arm,2005,802176200000
arm,2006,1121588300000
arm,2007,1396758300000
arm,2008,1710709500000
arm,2009,1292633900000
arm,2010,1343069200000
arm,2011,1205988200000
arm,2012,1053003100000
arm,2013,1009187300000
arm,2014,1027678500000
arm,2015,1045571900000
arm,2016,912898700000
arm,2017,1025076500000
arm,2018,1347800200000
arm,2019,1139096100000
arm,2020,1145615300000
atg,1993,324000000
atg,1994,347000000
atg,1995,379000000
atg,1996,433000000
atg,1997,477000000
atg,1998,543000000
atg,1999,598000000
atg,2000,647000000
atg,2001,443000000
atg,2002,487000000
atg,2003,536000000
atg,2004,584000000
atg,2005,743000000
atg,2006,1131000000
atg,2007,1324000000
atg,2008,1384000000
atg,2009,1250000000
atg,2010,872000000
atg,2011,637000000
atg,2012,717000000
atg,2013,757000000
atg,2014,842346600
atg,2015,863594000
atg,2016,1054352300
atg,2017,1290814400
atg,2018,1603191500
atg,2019,1908198700
atg,2020,2132984500
aus,1960,5245000000
aus,1961,5824000000
aus,1962,5056000000
aus,1963,5928000000
aus,1964,6522000000
aus,1965,7778000000
aus,1966,7952000000
aus,1967,8948000000
aus,1968,9635000000
aus,1969,11016000000
aus,1970,12169000000
aus,1971,12958000000
aus,1972,13554000000
aus,1973,14143000000
aus,1974,18452000000
aus,1975,19101000000
aus,1976,22026000000
aus,1977,25941000000
aus,1978,27123000000
aus,1979,33073000000
aus,1980,36462000000
aus,1981,43692000000
aus,1982,52466000000
aus,1983,47925000000
aus,1984,56906000000
aus,1985,65945000000
aus,1986,74291000000
aus,1987,78331000000
aus,1988,90779000000
aus,1989,109047000000
aus,1990,117129000000
aus,1991,100592000000
aus,1992,94585000000
aus,1993,104847000000
aus,1994,113254000000
aus,1995,128891000000
aus,1996,131126000000
aus,1997,138358000000
aus,1998,151109000000
aus,1999,162584000000
aus,2000,173962000000
aus,2001,165486000000
aus,2002,184645000000
aus,2003,208323000000
aus,2004,233877000000
aus,2005,254115000000
aus,2006,274949000000
aus,2007,299506000000
aus,2008,337409000000
aus,2009,345187000000
aus,2010,349312000000
aus,2011,375355000000
aus,2012,415897000000
aus,2013,428430000000
aus,2014,427382000000
aus,2015,426630000000
aus,2016,421290000000
aus,2017,424008000000
aus,2018,452545000000
aus,2019,453222000000
aus,2020,441118000000
aut,1970,9015740000
aut,1971,10062692000
aut,1972,11857930000
aut,1973,13541772000
aut,1974,15546884000
aut,1975,13770213000
aut,1976,15968571000
aut,1977,18388517000
aut,1978,17371364000
aut,1979,21078222000
aut,1980,22204926000
aut,1981,22137607000
aut,1982,21718997000
aut,1983,21693699000
aut,1984,23503359000
aut,1985,25507900000
aut,1986,26078805000
aut,1987,27446305000
aut,1988,30634253000
aut,1989,33877311000
aut,1990,36710796000
aut,1991,39664292000
aut,1992,40821084000
aut,1993,40628191000
aut,1994,44066945000
aut,1995,47266210000
aut,1996,48077020000
aut,1997,49471400000
aut,1998,51257580000
aut,1999,53240780000
aut,2000,55381690000
aut,2001,55485800000
aut,2002,53606230000
aut,2003,56594720000
aut,2004,58311480000
aut,2005,60534000000
aut,2006,63234230000
aut,2007,69814010000
aut,2008,71876080000
aut,2009,65602950000
aut,2010,66895860000
aut,2011,74866530000
aut,2012,76403780000
aut,2013,76842480000
aut,2014,78394410000
aut,2015,81955100000
aut,2016,86742550000
aut,2017,91743650000
aut,2018,99140800000
aut,2019,100984430000
aut,2020,98248590000
aze,1990,77800
aze,1991,16600
aze,1992,-33400
aze,1993,6844400
aze,1994,57378000
aze,1995,507400000
aze,1996,792500000
aze,1997,1081300000
aze,1998,1148000000
aze,1999,1000200000
aze,2000,975400000
aze,2001,1099100000
aze,2002,2096200000
aze,2003,3799900000
aze,2004,4946700000
aze,2005,5201200000
aze,2006,5597500000
aze,2007,6104600000
aze,2008,7503100000
aze,2009,6746000000
aze,2010,7669000000
aze,2011,10555900000
aze,2012,12217000000
aze,2013,14928300000
aze,2014,16234800000
aze,2015,15179400000
aze,2016,15518000000
aze,2017,17147600000
aze,2018,16122100000
aze,2019,16631300000
aze,2020,17589100000
bdi,1960,612500000
bdi,1961,700000000
bdi,1962,787500000
bdi,1963,700000000
bdi,1964,700000000
bdi,1965,773600000
bdi,1966,979700000
bdi,1967,1068900000
bdi,1968,1312800000
bdi,1969,1379500000
bdi,1970,962300000
bdi,1971,1683100000
bdi,1972,687100000
bdi,1973,1293700000
bdi,1974,1101800000
bdi,1975,2513000000
bdi,1976,3515000000
bdi,1977,5517390000
bdi,1978,7709100000
bdi,1979,10504700000
bdi,1980,11494000000
bdi,1981,14831800000
bdi,1982,13183700000
bdi,1983,22977000000
bdi,1984,21709000000
bdi,1985,19238000000
bdi,1986,15976000000
bdi,1987,31613000000
bdi,1988,22848000000
bdi,1989,29097000000
bdi,1990,28184000000
bdi,1991,30534000000
bdi,1992,24000000000
bdi,1993,26300000000
bdi,1994,16300000000
bdi,1995,15900000000
bdi,1996,21600000000
bdi,1997,20900000000
bdi,1998,27100000000
bdi,1999,26800000000
bdi,2000,17447000000
bdi,2001,32531000000
bdi,2002,30335000000
bdi,2003,66844000000
bdi,2004,104259000000
bdi,2005,219900408000
bdi,2006,242501600000
bdi,2007,222820424000
bdi,2008,256263839000
bdi,2009,415836050000
bdi,2010,429189230000
bdi,2011,460873910000
bdi,2012,549444050000
bdi,2013,557384800000
bdi,2014,594269700000
bdi,2015,594242579000
bdi,2016,450070696000
bdi,2017,483015000000
bdi,2018,601194000000
bdi,2019,681772063900
bdi,2020,709929742400
bel,1970,9817055000
bel,1971,10356549000
bel,1972,10782958000
bel,1973,12728933000
bel,1974,16390200000
bel,1975,15947065000
bel,1976,18358497000
bel,1977,19603695000
bel,1978,20884264000
bel,1979,21944033000
bel,1980,24414389000
bel,1981,21758908000
bel,1982,22529235000
bel,1983,20729923000
bel,1984,23661005000
bel,1985,24096997000
bel,1986,24675307000
bel,1987,27147807000
bel,1988,32340171000
bel,1989,37738106000
bel,1990,41412407000
bel,1991,40700815000
bel,1992,42275354000
bel,1993,42267447000
bel,1994,44709451000
bel,1995,45867200000
bel,1996,46351900000
bel,1997,49975400000
bel,1998,51988300000
bel,1999,54977200000
bel,2000,60973900000
bel,2001,59829100000
bel,2002,56693500000
bel,2003,58952800000
bel,2004,67280300000
bel,2005,73420200000
bel,2006,77940600000
bel,2007,84541500000
bel,2008,91230800000
bel,2009,76824400000
bel,2010,83982600000
bel,2011,92138200000
bel,2012,91484500000
bel,2013,88115900000
bel,2014,93239600000
bel,2015,98458000000
bel,2016,104305200000
bel,2017,108843300000
bel,2018,116703900000
bel,2019,119371700000
bel,2020,110390200000
ben,1960,6336523300
ben,1961,6336523300
ben,1962,6435548200
ben,1963,7227577300
ben,1964,6435548200
ben,1965,6236000300
ben,1966,6533000200
ben,1967,8908000300
ben,1968,9996999700
ben,1969,10887999500
ben,1970,10689999900
ben,1971,9489999900
ben,1972,13820000300
ben,1973,14700000300
ben,1974,24340000800
ben,1975,28000000000
ben,1976,27790000100
ben,1977,32710000600
ben,1978,33670000600
ben,1979,48000000000
ben,1980,44999999500
ben,1981,54999998500
ben,1982,115000000500
ben,1983,72300003300
ben,1984,58700001300
ben,1985,41999999000
ben,1986,62299988000
ben,1987,60700000300
ben,1988,75444002800
ben,1989,56632999900
ben,1990,75030216000
ben,1991,81133200000
ben,1992,80966100000
ben,1993,103425596900
ben,1994,157951800000
ben,1995,231968789200
ben,1996,211989124600
ben,1997,245522437900
ben,1998,262956805800
ben,1999,412540738600
ben,2000,400198215000
ben,2001,476684149700
ben,2002,431612522800
ben,2003,470383951500
ben,2004,496790819200
ben,2005,418521726400
ben,2006,473074096200
ben,2007,640332590900
ben,2008,599814705200
ben,2009,680851701700
ben,2010,736394955800
ben,2011,829583326600
ben,2012,868961122700
ben,2013,1166146386400
ben,2014,1263169169100
ben,2015,1395838000000
ben,2016,1420103000000
ben,2017,1767153547300
ben,2018,2090340632145.77002
ben,2019,2161168220300
ben,2020,2309304352500
bfa,1960,6903106600
bfa,1961,7434130400
bfa,1962,8098184700
bfa,1963,8497278000
bfa,1964,9691155500
bfa,1965,9029101600
bfa,1966,8498031100
bfa,1967,8896059400
bfa,1968,9427130400
bfa,1969,11949339600
bfa,1970,13012582400
bfa,1971,19757750300
bfa,1972,25194397700
bfa,1973,31029071900
bfa,1974,46146232300
bfa,1975,46543056900
bfa,1976,53306834900
bfa,1977,54367772700
bfa,1978,60997304300
bfa,1979,60998455300
bfa,1980,61560684500
bfa,1981,68189114400
bfa,1982,103351222300
bfa,1983,104474583000
bfa,1984,90369540100
bfa,1985,160093995000
bfa,1986,141999996900
bfa,1987,136907997200
bfa,1988,146400002000
bfa,1989,170299998200
bfa,1990,159699992600
bfa,1991,187900002300
bfa,1992,171499995100
bfa,1993,176299999200
bfa,1994,285862527000
bfa,1995,284169109500
bfa,1996,330057449500
bfa,1997,391327023100
bfa,1998,400030302200
bfa,1999,360837536500
bfa,2000,307173666100
bfa,2001,316516215600
bfa,2002,338023643200
bfa,2003,425000262400
bfa,2004,446127282500
bfa,2005,569186205500
bfa,2006,551562250200
bfa,2007,666151467200
bfa,2008,873922833500
bfa,2009,888477090400
bfa,2010,1100001495800
