global,time,ne_gdi_ftot_zs
world,1970,24.64337
world,1971,25.15735
world,1972,26.19602
world,1973,26.82773
world,1974,26.20369
world,1975,25.86406
world,1976,25.79569
world,1977,26.15686
world,1978,26.79505
world,1979,26.7744
world,1980,26.47147
world,1981,25.93267
world,1982,25.03508
world,1983,24.31853
world,1984,24.14908
world,1985,24.00843
world,1986,24.20936
world,1987,24.37693
world,1988,24.98616
world,1989,25.31024
world,1990,24.83912
world,1991,24.25102
world,1992,23.81811
world,1993,23.44927
world,1994,23.69552
world,1995,23.73421
world,1996,23.79658
world,1997,23.50453
world,1998,23.39012
world,1999,23.51639
world,2000,23.71378
world,2001,23.26057
world,2002,22.58478
world,2003,22.67462
world,2004,23.04081
world,2005,23.54432
world,2006,23.93452
world,2007,24.18096
world,2008,24.22067
world,2009,23.48559
world,2010,23.39275
world,2011,23.88201
world,2012,24.3678
world,2013,24.54804
world,2014,24.74885
world,2015,24.96255
world,2016,24.79476
world,2017,25.00682
world,2018,25.43194
world,2019,25.70394
world,2020,25.95441
