global,time,ms_mil_xpnd_gd_zs
world,1960,6.33966
world,1961,6.31181
world,1962,6.35158
world,1963,6.01194
world,1964,5.52495
world,1965,5.30685
world,1966,5.65633
world,1967,6.10936
world,1968,6.00069
world,1969,5.58347
world,1970,4.96968
world,1971,4.4894
world,1972,4.22268
world,1973,3.77056
world,1974,3.78546
world,1975,3.80393
world,1976,3.66692
world,1977,3.75431
world,1978,3.5679
world,1979,3.50257
world,1980,3.52335
world,1981,3.80079
world,1982,4.3287
world,1983,4.18099
world,1984,4.18258
world,1985,4.23458
world,1986,3.91683
world,1987,3.78909
world,1988,3.5344
world,1989,3.4448
world,1990,3.31043
world,1991,3.01071
world,1992,2.94295
world,1993,2.76636
world,1994,2.57983
world,1995,2.38605
world,1996,2.31621
world,1997,2.32107
world,1998,2.27046
world,1999,2.21736
world,2000,2.20553
world,2001,2.24155
world,2002,2.34474
world,2003,2.40524
world,2004,2.40392
world,2005,2.39443
world,2006,2.36417
world,2007,2.32846
world,2008,2.38642
world,2009,2.6179
world,2010,2.52291
world,2011,2.41203
world,2012,2.37288
world,2013,2.30442
world,2014,2.25109
world,2015,2.2551
world,2016,2.21785
world,2017,2.1722
world,2018,2.14812
world,2019,2.18686
world,2020,2.36247
