geo,time,tm_tax_manf_br_zs
afg,2018,10.89
ago,2002,60.01
ago,2004,60.01
ago,2005,60.05
ago,2006,60.05
ago,2008,60.06
ago,2009,60.06
ago,2010,60.05
ago,2011,60.05
ago,2012,60.05
ago,2013,60.05
ago,2014,60.06
ago,2015,60.06
ago,2016,60.06
ago,2018,60.06
ago,2019,60.06
ago,2020,60.06
alb,2000,6.89
alb,2001,6.89
alb,2002,6.89
alb,2003,6.88
alb,2004,6.88
alb,2005,6.88
alb,2006,6.88
alb,2007,6.88
alb,2008,6.88
alb,2009,6.96
alb,2010,6.96
alb,2011,6.96
alb,2012,6.95
alb,2013,6.95
alb,2014,6.95
alb,2015,6.95
alb,2016,6.95
alb,2017,6.96
alb,2018,6.96
alb,2019,6.96
alb,2020,6.96
are,2003,12.48
are,2005,12.48
are,2006,12.48
are,2007,12.59
are,2008,12.59
are,2009,12.59
are,2011,12.59
are,2012,12.6
are,2013,12.6
are,2014,12.6
are,2015,12.6
are,2016,12.6
are,2017,12.62
are,2018,12.62
are,2019,12.62
are,2020,12.62
arg,1995,31.46
arg,1996,31.43
arg,1997,31.43
arg,1998,31.43
arg,1999,31.43
arg,2000,31.43
arg,2001,31.43
arg,2002,31.42
arg,2003,31.42
arg,2004,31.42
arg,2005,31.42
arg,2006,31.42
arg,2007,31.42
arg,2008,31.41
arg,2009,31.41
arg,2010,31.41
arg,2011,31.41
arg,2012,31.41
arg,2013,31.39
arg,2014,31.39
arg,2015,31.39
arg,2016,31.39
arg,2017,31.39
arg,2018,31.43
arg,2019,31.43
arg,2020,31.43
arm,2003,7.58
arm,2004,7.58
arm,2005,7.58
arm,2006,7.57
arm,2007,7.57
arm,2008,7.57
arm,2009,7.59
arm,2010,7.59
arm,2011,7.59
arm,2012,7.59
arm,2013,7.59
arm,2014,7.57
arm,2015,7.57
arm,2016,7.57
arm,2017,7.59
arm,2018,7.59
arm,2019,7.59
arm,2020,7.59
atg,1996,52.07
atg,1999,52.12
atg,2000,52.12
atg,2001,52.12
atg,2002,52.12
atg,2003,52.12
atg,2004,52.12
atg,2005,52.12
atg,2006,52.12
atg,2007,52.12
atg,2008,52.12
atg,2009,52.12
atg,2010,52.07
atg,2011,52.07
atg,2012,52.08
atg,2013,52.12
atg,2014,52.08
atg,2015,52.08
atg,2016,52.08
atg,2017,52.08
atg,2018,52.08
atg,2019,52.08
atg,2020,52.08
aus,1996,11.82
aus,1997,11.82
aus,1998,11.82
aus,1999,11.82
aus,2000,11.82
aus,2001,11.82
aus,2002,12.3
aus,2003,12.3
aus,2004,12.3
aus,2005,12.3
aus,2006,12.3
aus,2007,12.22
aus,2008,12.22
aus,2009,12.22
aus,2010,12.22
aus,2011,12.22
aus,2012,12.25
aus,2013,12.25
aus,2014,12.25
aus,2015,12.01
aus,2016,12.01
aus,2017,12.08
aus,2018,12.08
aus,2019,12.08
aus,2020,12.08
aut,1995,3.98
aut,1996,4.19
aut,1997,4.19
aut,1998,4.19
aut,1999,4.19
aut,2000,4.21
aut,2001,4.21
aut,2002,4.23
aut,2003,4.23
aut,2004,4.24
aut,2005,4.24
aut,2006,4.24
aut,2007,4.2
aut,2008,4.19
aut,2009,4.19
aut,2010,4.19
aut,2011,4.19
aut,2012,4.17
aut,2013,4.15
aut,2014,4.15
aut,2015,3.99
aut,2016,3.99
aut,2017,4
aut,2018,4
aut,2019,4
aut,2020,4
bdi,2002,36.41
bdi,2003,36.41
bdi,2005,35.9
bdi,2006,35.9
bdi,2007,35.9
bdi,2008,35.9
bdi,2009,32.77
bdi,2010,32.77
bdi,2011,32.77
bdi,2012,32.17
bdi,2013,32.17
bdi,2014,32.17
bdi,2015,32.17
bdi,2016,32.17
bdi,2018,32.5
bdi,2019,32.5
bdi,2020,32.5
bel,1995,3.98
bel,1996,4.19
bel,1997,4.19
bel,1998,4.19
bel,1999,4.19
bel,2000,4.21
bel,2001,4.21
bel,2002,4.23
bel,2003,4.23
bel,2004,4.24
bel,2005,4.24
bel,2006,4.24
bel,2007,4.2
bel,2008,4.19
bel,2009,4.19
bel,2010,4.19
bel,2011,4.19
bel,2012,4.17
bel,2013,4.15
bel,2014,4.15
bel,2015,3.99
bel,2016,3.99
bel,2017,4
bel,2018,4
bel,2019,4
bel,2020,4
ben,2001,12.76
ben,2002,12.76
ben,2003,12.47
ben,2004,12.47
ben,2005,12.47
ben,2006,12.47
ben,2007,11.59
ben,2008,11.59
ben,2009,11.59
ben,2010,11.59
ben,2011,11.59
ben,2012,11.59
ben,2013,11.59
ben,2014,11.59
ben,2015,11.27
ben,2016,11.27
ben,2017,11.25
ben,2018,11.25
ben,2019,11.25
ben,2020,11.25
bfa,2001,16.9
bfa,2002,16.9
bfa,2003,16.22
bfa,2004,16.22
bfa,2005,16.22
bfa,2006,16.22
bfa,2007,15.16
bfa,2008,15.16
bfa,2009,15.16
bfa,2010,15.16
bfa,2011,15.16
bfa,2012,15.16
bfa,2013,15.16
bfa,2014,15.16
bfa,2015,14.64
bfa,2016,14.64
bfa,2017,14.67
bfa,2018,14.67
bfa,2019,14.67
bfa,2020,14.67
bgd,1998,77.61
bgd,1999,77.61
bgd,2000,77.61
bgd,2001,77.61
bgd,2002,77.61
bgd,2003,71.5
bgd,2004,71.5
bgd,2005,71.5
bgd,2006,71.5
bgd,2007,71.5
bgd,2008,68.42
bgd,2009,68.42
bgd,2010,68.42
bgd,2011,68.42
bgd,2012,69.18
bgd,2013,69.18
bgd,2015,69.18
bgd,2016,69.18
bgd,2019,69.82
bgd,2020,69.82
bgr,1995,3.98
bgr,1996,4.19
bgr,1997,4.19
bgr,1998,4.19
bgr,1999,4.19
bgr,2000,4.21
bgr,2001,4.21
bgr,2002,4.23
bgr,2003,4.23
bgr,2004,4.24
bgr,2005,4.24
bgr,2006,4.24
bgr,2007,4.2
bgr,2008,4.19
bgr,2009,4.19
bgr,2010,4.19
bgr,2011,4.19
bgr,2012,4.17
bgr,2013,4.15
bgr,2014,4.15
bgr,2015,3.99
bgr,2016,3.99
bgr,2017,4
bgr,2018,4
bgr,2019,4
bgr,2020,4
bhr,1999,33.45
bhr,2000,33.45
bhr,2001,33.45
bhr,2002,33.27
bhr,2003,33.27
bhr,2004,33.27
bhr,2005,33.26
bhr,2006,33.27
bhr,2007,33.52
bhr,2008,33.52
bhr,2009,33.52
bhr,2010,33.52
bhr,2011,33.52
bhr,2012,33.52
bhr,2013,33.49
bhr,2014,33.49
bhr,2015,33.49
bhr,2016,33.49
bhr,2017,33.53
bhr,2018,33.53
bhr,2019,33.53
bhr,2020,33.53
blz,1996,52.09
blz,1999,52.08
blz,2001,52.08
blz,2002,52.08
blz,2003,52.08
blz,2006,52.01
blz,2007,52.01
blz,2008,52.01
blz,2009,51.91
blz,2010,51.91
blz,2011,51.91
blz,2012,51.91
blz,2013,51.94
blz,2014,51.94
blz,2015,51.94
blz,2016,51.94
blz,2017,51.94
blz,2018,51.94
blz,2019,51.94
blz,2020,51.94
bol,1995,39.97
bol,1996,39.97
