geo,time,sh_hiv_incd_tl_p3
afg,1990,0.01
afg,1991,0.01
afg,1992,0.01
afg,1993,0.01
afg,1994,0.01
afg,1995,0.01
afg,1996,0.01
afg,1997,0.01
afg,1998,0.01
afg,1999,0.01
afg,2000,0.01
afg,2001,0.02
afg,2002,0.02
afg,2003,0.02
afg,2004,0.02
afg,2005,0.02
afg,2006,0.02
afg,2007,0.02
afg,2008,0.02
afg,2009,0.02
afg,2010,0.03
afg,2011,0.03
afg,2012,0.03
afg,2013,0.03
afg,2014,0.03
afg,2015,0.03
afg,2016,0.04
afg,2017,0.04
afg,2018,0.04
afg,2019,0.04
afg,2020,0.04
ago,1990,0.3
ago,1991,0.36
ago,1992,0.44
ago,1993,0.51
ago,1994,0.6
ago,1995,0.69
ago,1996,0.79
ago,1997,0.9
ago,1998,0.98
ago,1999,1.1
ago,2000,1.19
ago,2001,1.26
ago,2002,1.33
ago,2003,1.4
ago,2004,1.45
ago,2005,1.46
ago,2006,1.46
ago,2007,1.42
ago,2008,1.4
ago,2009,1.36
ago,2010,1.31
ago,2011,1.28
ago,2012,1.22
ago,2013,1.15
ago,2014,1.05
ago,2015,0.99
ago,2016,0.94
ago,2017,0.91
ago,2018,0.84
ago,2019,0.76
ago,2020,0.69
alb,1990,0.01
alb,1991,0.01
alb,1992,0.01
alb,1993,0.01
alb,1994,0.01
alb,1995,0.01
alb,1996,0.01
alb,1997,0.01
alb,1998,0.01
alb,1999,0.01
alb,2000,0.01
alb,2001,0.01
alb,2002,0.01
alb,2003,0.01
alb,2004,0.02
alb,2005,0.02
alb,2006,0.02
alb,2007,0.03
alb,2008,0.03
alb,2009,0.03
alb,2010,0.04
alb,2011,0.04
alb,2012,0.04
alb,2013,0.04
alb,2014,0.04
alb,2015,0.04
alb,2016,0.04
alb,2017,0.04
alb,2018,0.04
alb,2019,0.03
alb,2020,0.03
are,1990,0.01
are,1991,0.02
are,1992,0.02
are,1993,0.02
are,1994,0.02
are,1995,0.01
are,1996,0.01
are,1997,0.01
are,1998,0.01
are,1999,0.01
are,2000,0.01
are,2001,0.01
are,2002,0.01
are,2003,0.01
are,2004,0.01
are,2005,0.02
are,2006,0.02
are,2007,0.02
are,2008,0.03
are,2009,0.03
are,2010,0.04
are,2011,0.04
are,2012,0.05
are,2013,0.06
are,2014,0.07
are,2015,0.08
are,2016,0.08
are,2017,0.09
are,2018,0.11
are,2019,0.12
are,2020,0.13
arg,1990,0.14
arg,1991,0.16
arg,1992,0.18
arg,1993,0.19
arg,1994,0.19
arg,1995,0.19
arg,1996,0.18
arg,1997,0.18
arg,1998,0.17
arg,1999,0.16
arg,2000,0.16
arg,2001,0.16
arg,2002,0.15
arg,2003,0.15
arg,2004,0.15
arg,2005,0.15
arg,2006,0.15
arg,2007,0.15
arg,2008,0.15
arg,2009,0.15
arg,2010,0.15
arg,2011,0.15
arg,2012,0.15
arg,2013,0.14
arg,2014,0.14
arg,2015,0.14
arg,2016,0.14
arg,2017,0.14
arg,2018,0.13
arg,2019,0.13
arg,2020,0.13
arm,1990,0.01
arm,1991,0.01
arm,1992,0.01
arm,1993,0.01
arm,1994,0.01
arm,1995,0.02
arm,1996,0.03
arm,1997,0.04
arm,1998,0.07
arm,1999,0.1
arm,2000,0.12
arm,2001,0.15
arm,2002,0.18
arm,2003,0.2
arm,2004,0.2
arm,2005,0.2
arm,2006,0.18
arm,2007,0.15
arm,2008,0.13
arm,2009,0.11
arm,2010,0.1
arm,2011,0.09
arm,2012,0.08
arm,2013,0.08
arm,2014,0.08
arm,2015,0.09
arm,2016,0.09
arm,2017,0.09
arm,2018,0.1
arm,2019,0.1
arm,2020,0.11
aus,1990,0.08
aus,1991,0.07
aus,1992,0.06
aus,1993,0.06
aus,1994,0.05
aus,1995,0.05
aus,1996,0.04
aus,1997,0.04
aus,1998,0.04
aus,1999,0.04
aus,2000,0.03
aus,2001,0.03
aus,2002,0.03
aus,2003,0.04
aus,2004,0.04
aus,2005,0.04
aus,2006,0.04
aus,2007,0.04
aus,2008,0.04
aus,2009,0.05
aus,2010,0.05
aus,2011,0.05
aus,2012,0.05
aus,2013,0.05
aus,2014,0.04
aus,2015,0.04
aus,2016,0.04
aus,2017,0.04
aus,2018,0.04
aus,2019,0.03
aus,2020,0.03
aze,1990,0.01
aze,1991,0.01
aze,1992,0.01
aze,1993,0.01
aze,1994,0.02
aze,1995,0.03
aze,1996,0.05
aze,1997,0.07
aze,1998,0.1
aze,1999,0.12
aze,2000,0.14
aze,2001,0.14
aze,2002,0.13
aze,2003,0.12
aze,2004,0.11
aze,2005,0.11
aze,2006,0.1
aze,2007,0.1
aze,2008,0.09
aze,2009,0.08
aze,2010,0.08
aze,2011,0.07
aze,2012,0.07
aze,2013,0.06
aze,2014,0.06
aze,2015,0.06
aze,2016,0.05
aze,2017,0.05
aze,2018,0.05
aze,2019,0.04
aze,2020,0.04
bdi,1990,5.17
bdi,1991,4.75
bdi,1992,4.54
bdi,1993,3.86
bdi,1994,3.31
bdi,1995,2.95
bdi,1996,2.54
bdi,1997,2.27
bdi,1998,2.01
bdi,1999,1.75
bdi,2000,1.58
bdi,2001,1.41
bdi,2002,1.27
bdi,2003,1.12
bdi,2004,0.99
bdi,2005,0.86
bdi,2006,0.8
bdi,2007,0.72
bdi,2008,0.65
bdi,2009,0.61
bdi,2010,0.52
bdi,2011,0.46
bdi,2012,0.42
bdi,2013,0.37
bdi,2014,0.33
bdi,2015,0.29
bdi,2016,0.24
bdi,2017,0.21
bdi,2018,0.18
bdi,2019,0.16
bdi,2020,0.15
ben,1990,1.1
ben,1991,1.22
ben,1992,1.27
ben,1993,1.3
ben,1994,1.31
ben,1995,1.28
ben,1996,1.24
ben,1997,1.22
ben,1998,1.16
ben,1999,1.11
ben,2000,1.05
ben,2001,1.01
ben,2002,0.97
ben,2003,0.92
ben,2004,0.89
ben,2005,0.84
ben,2006,0.81
ben,2007,0.78
ben,2008,0.69
ben,2009,0.6
ben,2010,0.56
ben,2011,0.52
ben,2012,0.47
ben,2013,0.45
ben,2014,0.43
ben,2015,0.39
ben,2016,0.34
ben,2017,0.31
ben,2018,0.28
ben,2019,0.23
ben,2020,0.19
bfa,1990,2.92
bfa,1991,2.69
bfa,1992,2.59
bfa,1993,2.36
bfa,1994,2.11
bfa,1995,1.94
bfa,1996,1.75
bfa,1997,1.63
bfa,1998,1.49
bfa,1999,1.33
bfa,2000,1.2
bfa,2001,1.08
bfa,2002,0.97
bfa,2003,0.88
bfa,2004,0.8
bfa,2005,0.72
bfa,2006,0.65
bfa,2007,0.58
bfa,2008,0.53
bfa,2009,0.47
bfa,2010,0.42
bfa,2011,0.38
bfa,2012,0.35
bfa,2013,0.33
bfa,2014,0.29
bfa,2015,0.15
bfa,2016,0.13
bfa,2017,0.12
bfa,2018,0.11
bfa,2019,0.1
bfa,2020,0.1
bhs,1990,1.89
bhs,1991,1.89
bhs,1992,1.84
bhs,1993,1.76
bhs,1994,1.67
bhs,1995,1.56
bhs,1996,1.4
bhs,1997,1.33
bhs,1998,1.25
bhs,1999,1.16
bhs,2000,1.08
bhs,2001,0.99
bhs,2002,0.92
bhs,2003,0.85
bhs,2004,0.75
bhs,2005,0.72
bhs,2006,0.66
bhs,2007,0.63
bhs,2008,0.61
bhs,2009,0.58
bhs,2010,0.57
bhs,2011,0.56
bhs,2012,0.51
bhs,2013,0.48
bhs,2014,0.45
bhs,2015,0.42
bhs,2016,0.39
bhs,2017,0.38
bhs,2018,0.31
bhs,2019,0.29
bhs,2020,0.28
blr,1990,0.01
blr,1991,0.01
blr,1992,0.01
blr,1993,0.01
blr,1994,0.01
blr,1995,0.01
blr,1996,0.02
blr,1997,0.02
blr,1998,0.03
blr,1999,0.04
blr,2000,0.05
blr,2001,0.06
blr,2002,0.08
blr,2003,0.1
blr,2004,0.12
blr,2005,0.15
blr,2006,0.17
blr,2007,0.19
blr,2008,0.2
blr,2009,0.22
blr,2010,0.22
blr,2011,0.23
blr,2012,0.24
blr,2013,0.24
blr,2014,0.23
blr,2015,0.23
blr,2016,0.21
blr,2017,0.2
blr,2018,0.18
blr,2019,0.15
blr,2020,0.13
blz,1990,0.03
blz,1991,0.06
blz,1992,0.12
blz,1993,0.23
blz,1994,0.42
blz,1995,0.66
blz,1996,0.91
blz,1997,1.1
blz,1998,1.19
blz,1999,1.18
blz,2000,1.12
blz,2001,1.04
blz,2002,0.95
blz,2003,0.88
blz,2004,0.83
blz,2005,0.8
blz,2006,0.75
blz,2007,0.72
blz,2008,0.69
blz,2009,0.66
blz,2010,0.63
blz,2011,0.62
blz,2012,0.62
blz,2013,0.62
blz,2014,0.61
blz,2015,0.59
blz,2016,0.58
blz,2017,0.56
blz,2018,0.56
blz,2019,0.54
blz,2020,0.53
bol,1990,0.04
bol,1991,0.05
bol,1992,0.06
bol,1993,0.07
bol,1994,0.09
bol,1995,0.14
bol,1996,0.18
bol,1997,0.21
bol,1998,0.19
bol,1999,0.16
bol,2000,0.14
bol,2001,0.12
bol,2002,0.11
bol,2003,0.11
bol,2004,0.11
bol,2005,0.11
bol,2006,0.11
bol,2007,0.11
bol,2008,0.11
bol,2009,0.11
bol,2010,0.1
bol,2011,0.11
bol,2012,0.11
bol,2013,0.11
bol,2014,0.11
bol,2015,0.1
bol,2016,0.1
bol,2017,0.1
bol,2018,0.09
bol,2019,0.08
bol,2020,0.08
bra,1990,0.21
bra,1991,0.22
bra,1992,0.22
bra,1993,0.23
bra,1994,0.24
bra,1995,0.25
bra,1996,0.24
bra,1997,0.25
bra,1998,0.25
bra,1999,0.26
bra,2000,0.24
bra,2001,0.25
bra,2002,0.25
bra,2003,0.25
bra,2004,0.25
bra,2005,0.25
bra,2006,0.25
bra,2007,0.25
bra,2008,0.25
bra,2009,0.25
bra,2010,0.25
bra,2011,0.24
bra,2012,0.24
bra,2013,0.24
bra,2014,0.24
bra,2015,0.23
bra,2016,0.23
bra,2017,0.23
bra,2018,0.23
bra,2019,0.23
bra,2020,0.23
btn,1990,0.02
btn,1991,0.02
btn,1992,0.03
btn,1993,0.04
btn,1994,0.05
btn,1995,0.07
btn,1996,0.09
btn,1997,0.11
btn,1998,0.15
btn,1999,0.17
btn,2000,0.21
btn,2001,0.2
btn,2002,0.23
btn,2003,0.22
btn,2004,0.21
btn,2005,0.2
btn,2006,0.19
btn,2007,0.18
btn,2008,0.17
btn,2009,0.17
btn,2010,0.15
btn,2011,0.15
btn,2012,0.14
btn,2013,0.13
btn,2014,0.13
btn,2015,0.12
btn,2016,0.12
btn,2017,0.11
btn,2018,0.11
btn,2019,0.1
btn,2020,0.09
bwa,1990,12.62
bwa,1991,17.1
bwa,1992,20.96
bwa,1993,24.23
bwa,1994,26.03
bwa,1995,26.44
bwa,1996,25.71
bwa,1997,24.18
bwa,1998,22.49
bwa,1999,20.62
bwa,2000,18.64
bwa,2001,16.95
bwa,2002,15.45
bwa,2003,14.06
bwa,2004,12.77
bwa,2005,11.12
bwa,2006,10.23
bwa,2007,9.65
bwa,2008,9.3
bwa,2009,8.74
bwa,2010,8.38
bwa,2011,8.04
bwa,2012,7.29
bwa,2013,6.64
bwa,2014,6.45
bwa,2015,6.3
bwa,2016,5.89
bwa,2017,5.31
bwa,2018,5.01
bwa,2019,4.63
bwa,2020,4.39
che,1990,0.18
che,1991,0.15
che,1992,0.12
che,1993,0.1
che,1994,0.08
che,1995,0.07
che,1996,0.07
che,1997,0.07
che,1998,0.08
che,1999,0.08
che,2000,0.09
che,2001,0.1
che,2002,0.1
che,2003,0.1
che,2004,0.09
che,2005,0.08
che,2006,0.08
che,2007,0.07
che,2008,0.07
che,2009,0.06
che,2010,0.06
che,2011,0.06
che,2012,0.06
che,2013,0.05
che,2014,0.05
che,2015,0.05
che,2016,0.04
che,2017,0.03
che,2018,0.03
chl,1990,0.05
chl,1991,0.07
chl,1992,0.08
chl,1993,0.1
chl,1994,0.12
chl,1995,0.14
chl,1996,0.16
chl,1997,0.17
chl,1998,0.18
chl,1999,0.18
chl,2000,0.17
chl,2001,0.16
chl,2002,0.14
chl,2003,0.13
chl,2004,0.12
chl,2005,0.11
chl,2006,0.11
chl,2007,0.12
chl,2008,0.14
chl,2009,0.16
chl,2010,0.18
chl,2011,0.2
chl,2012,0.22
chl,2013,0.23
chl,2014,0.25
chl,2015,0.26
chl,2016,0.26
chl,2017,0.27
chl,2018,0.27
chl,2019,0.27
chl,2020,0.26
civ,1990,6.28
civ,1991,7.03
civ,1992,7.41
civ,1993,7.52
civ,1994,7.34
civ,1995,6.94
civ,1996,6.06
civ,1997,5.61
civ,1998,4.87
civ,1999,4.28
civ,2000,3.85
civ,2001,3.44
civ,2002,3.03
civ,2003,2.7
civ,2004,2.43
civ,2005,2.15
civ,2006,1.93
civ,2007,1.72
civ,2008,1.47
civ,2009,1.33
civ,2010,1.14
civ,2011,1.03
civ,2012,0.87
civ,2013,0.73
civ,2014,0.63
civ,2015,0.55
civ,2016,0.52
civ,2017,0.43
civ,2018,0.36
civ,2019,0.28
civ,2020,0.24
cmr,1990,1.41
cmr,1991,1.81
cmr,1992,2.24
cmr,1993,2.75
cmr,1994,3.23
cmr,1995,3.63
cmr,1996,3.98
cmr,1997,4.22
cmr,1998,4.4
cmr,1999,4.26
cmr,2000,4.11
cmr,2001,3.78
cmr,2002,3.54
cmr,2003,3.21
cmr,2004,2.96
cmr,2005,2.76
cmr,2006,2.56
cmr,2007,2.38
cmr,2008,2.2
cmr,2009,2.08
cmr,2010,1.83
cmr,2011,1.67
cmr,2012,1.49
cmr,2013,1.29
cmr,2014,1.21
cmr,2015,1.07
cmr,2016,1
cmr,2017,0.86
cmr,2018,0.74
cmr,2019,0.69
cmr,2020,0.6
cod,1990,1.5
cod,1991,1.56
cod,1992,1.57
cod,1993,1.54
cod,1994,1.47
cod,1995,1.4
cod,1996,1.33
cod,1997,1.24
cod,1998,1.14
cod,1999,1.08
cod,2000,1.01
cod,2001,0.95
cod,2002,0.9
cod,2003,0.83
cod,2004,0.78
cod,2005,0.73
cod,2006,0.68
cod,2007,0.64
cod,2008,0.6
cod,2009,0.55
cod,2010,0.51
cod,2011,0.47
cod,2012,0.44
cod,2013,0.39
cod,2014,0.35
cod,2015,0.33
cod,2016,0.3
cod,2017,0.28
cod,2018,0.25
cod,2019,0.21
cod,2020,0.18
cog,1990,5.1
cog,1991,4.77
cog,1992,4.23
cog,1993,3.74
cog,1994,3.28
cog,1995,3.14
cog,1996,2.99
cog,1997,2.89
cog,1998,2.64
cog,1999,2.62
cog,2000,2.45
cog,2001,2.35
cog,2002,2.35
cog,2003,2.2
cog,2004,2.18
cog,2005,2.03
cog,2006,1.93
cog,2007,1.89
cog,2008,1.89
cog,2009,1.79
cog,2010,1.77
cog,2011,1.73
cog,2012,1.76
cog,2013,1.79
cog,2014,1.83
cog,2015,1.87
cog,2016,1.85
cog,2017,1.86
cog,2018,1.9
cog,2019,1.9
cog,2020,1.94
col,1990,0.23
col,1991,0.27
col,1992,0.29
col,1993,0.31
col,1994,0.32
col,1995,0.32
col,1996,0.31
col,1997,0.3
col,1998,0.29
col,1999,0.28
col,2000,0.27
col,2001,0.27
col,2002,0.26
col,2003,0.24
col,2004,0.21
col,2005,0.21
col,2006,0.22
col,2007,0.21
col,2008,0.19
col,2009,0.21
col,2010,0.23
col,2011,0.23
col,2012,0.22
col,2013,0.22
col,2014,0.21
col,2015,0.2
col,2016,0.2
col,2017,0.19
col,2018,0.19
col,2019,0.19
col,2020,0.18
com,1990,0.01
com,1991,0.01
com,1992,0.01
com,1993,0.01
com,1994,0.01
com,1995,0.01
com,1996,0.01
com,1997,0.01
com,1998,0.02
com,1999,0.02
com,2000,0.02
com,2001,0.02
com,2002,0.02
com,2003,0.02
com,2004,0.02
com,2005,0.02
com,2006,0.02
com,2007,0.02
com,2008,0.02
com,2009,0.02
com,2010,0.01
com,2011,0.01
com,2012,0.01
com,2013,0.01
com,2014,0.01
com,2015,0.01
com,2016,0.01
com,2017,0.01
com,2018,0.01
com,2019,0.01
com,2020,0.01
cri,1990,0.07
cri,1991,0.08
cri,1992,0.08
cri,1993,0.09
cri,1994,0.09
cri,1995,0.1
cri,1996,0.1
cri,1997,0.1
cri,1998,0.11
cri,1999,0.11
cri,2000,0.11
cri,2001,0.11
cri,2002,0.11
cri,2003,0.11
cri,2004,0.11
cri,2005,0.11
cri,2006,0.11
cri,2007,0.12
cri,2008,0.12
cri,2009,0.12
cri,2010,0.13
cri,2011,0.14
cri,2012,0.15
cri,2013,0.17
cri,2014,0.18
cri,2015,0.2
cri,2016,0.22
cri,2017,0.25
cri,2018,0.28
cri,2019,0.31
cri,2020,0.34
cub,1990,0.01
cub,1991,0.01
cub,1992,0.01
cub,1993,0.01
cub,1994,0.02
cub,1995,0.02
cub,1996,0.03
cub,1997,0.04
cub,1998,0.05
cub,1999,0.06
cub,2000,0.07
cub,2001,0.09
cub,2002,0.1
cub,2003,0.12
cub,2004,0.14
cub,2005,0.15
cub,2006,0.16
cub,2007,0.17
cub,2008,0.18
cub,2009,0.18
cub,2010,0.18
cub,2011,0.19
cub,2012,0.19
cub,2013,0.19
cub,2014,0.19
cub,2015,0.19
cub,2016,0.18
cub,2017,0.18
cub,2018,0.18
cub,2019,0.18
cub,2020,0.18
deu,1990,0.05
deu,1991,0.04
deu,1992,0.03
deu,1993,0.03
deu,1994,0.03
deu,1995,0.03
deu,1996,0.03
deu,1997,0.03
deu,1998,0.03
deu,1999,0.03
deu,2000,0.03
deu,2001,0.03
deu,2002,0.03
deu,2003,0.04
deu,2004,0.04
deu,2005,0.04
deu,2006,0.04
deu,2007,0.04
deu,2008,0.04
deu,2009,0.04
deu,2010,0.03
deu,2011,0.03
deu,2012,0.03
deu,2013,0.03
deu,2014,0.03
deu,2015,0.03
deu,2016,0.03
deu,2017,0.03
deu,2018,0.03
deu,2019,0.03
deu,2020,0.03
dji,1990,0.24
dji,1991,0.44
dji,1992,0.74
dji,1993,1.21
dji,1994,1.87
dji,1995,2.71
dji,1996,3.46
dji,1997,4.11
dji,1998,4.13
dji,1999,3.4
dji,2000,2.74
dji,2001,2.05
dji,2002,1.68
dji,2003,1.09
dji,2004,0.9
dji,2005,0.78
dji,2006,0.68
dji,2007,0.63
dji,2008,0.55
dji,2009,0.5
dji,2010,0.44
dji,2011,0.39
dji,2012,0.34
dji,2013,0.3
dji,2014,0.26
dji,2015,0.22
dji,2016,0.19
dji,2017,0.17
dji,2018,0.15
dji,2019,0.14
dji,2020,0.13
dnk,1990,0.06
dnk,1991,0.07
dnk,1992,0.07
dnk,1993,0.07
dnk,1994,0.07
dnk,1995,0.06
dnk,1996,0.06
dnk,1997,0.05
dnk,1998,0.05
dnk,1999,0.05
dnk,2000,0.05
dnk,2001,0.04
dnk,2002,0.04
dnk,2003,0.04
dnk,2004,0.04
dnk,2005,0.04
dnk,2006,0.04
dnk,2007,0.04
dnk,2008,0.04
dnk,2009,0.04
dnk,2010,0.04
dnk,2011,0.04
dnk,2012,0.04
dnk,2013,0.04
dnk,2014,0.04
dnk,2015,0.03
dnk,2016,0.03
dnk,2017,0.03
dnk,2018,0.03
dnk,2019,0.02
dnk,2020,0.02
dom,1990,0.98
dom,1991,1.22
dom,1992,1.43
dom,1993,1.6
dom,1994,1.58
dom,1995,1.55
dom,1996,1.48
dom,1997,1.44
dom,1998,1.33
dom,1999,1.22
dom,2000,1.06
dom,2001,0.92
dom,2002,0.8
dom,2003,0.7
dom,2004,0.59
dom,2005,0.53
dom,2006,0.47
dom,2007,0.41
dom,2008,0.41
dom,2009,0.38
dom,2010,0.37
dom,2011,0.35
dom,2012,0.35
dom,2013,0.35
dom,2014,0.34
dom,2015,0.34
dom,2016,0.34
dom,2017,0.33
dom,2018,0.33
dom,2019,0.32
dom,2020,0.32
dza,1990,0.01
dza,1991,0.01
dza,1992,0.01
dza,1993,0.01
dza,1994,0.01
dza,1995,0.01
dza,1996,0.01
dza,1997,0.01
dza,1998,0.01
dza,1999,0.01
dza,2000,0.01
dza,2001,0.01
dza,2002,0.01
dza,2003,0.01
dza,2004,0.01
dza,2005,0.01
dza,2006,0.02
dza,2007,0.02
dza,2008,0.02
dza,2009,0.02
dza,2010,0.02
dza,2011,0.02
dza,2012,0.03
dza,2013,0.03
dza,2014,0.04
dza,2015,0.04
dza,2016,0.04
dza,2017,0.04
dza,2018,0.04
dza,2019,0.04
dza,2020,0.04
ecu,1990,0.11
ecu,1991,0.13
ecu,1992,0.14
ecu,1993,0.16
ecu,1994,0.17
ecu,1995,0.18
ecu,1996,0.19
ecu,1997,0.2
ecu,1998,0.2
ecu,1999,0.21
ecu,2000,0.21
ecu,2001,0.21
ecu,2002,0.22
ecu,2003,0.22
ecu,2004,0.22
ecu,2005,0.21
ecu,2006,0.18
ecu,2007,0.18
ecu,2008,0.17
ecu,2009,0.17
ecu,2010,0.17
ecu,2011,0.16
ecu,2012,0.16
ecu,2013,0.16
ecu,2014,0.16
ecu,2015,0.15
ecu,2016,0.15
ecu,2017,0.14
ecu,2018,0.14
ecu,2019,0.13
ecu,2020,0.12
egy,1990,0.01
egy,1991,0.01
egy,1992,0.01
egy,1993,0.01
egy,1994,0.01
egy,1995,0.01
egy,1996,0.01
egy,1997,0.01
egy,1998,0.01
egy,1999,0.01
egy,2000,0.01
egy,2001,0.01
egy,2002,0.01
egy,2003,0.01
egy,2004,0.01
egy,2005,0.01
egy,2006,0.01
egy,2007,0.01
egy,2008,0.01
egy,2009,0.01
egy,2010,0.01
egy,2011,0.01
egy,2012,0.02
egy,2013,0.02
egy,2014,0.02
egy,2015,0.02
egy,2016,0.02
egy,2017,0.03
egy,2018,0.03
egy,2019,0.03
egy,2020,0.03
eri,1990,1.21
eri,1991,1.4
eri,1992,1.43
eri,1993,1.47
eri,1994,1.39
eri,1995,1.27
eri,1996,1.13
eri,1997,0.99
eri,1998,0.87
eri,1999,0.71
eri,2000,0.61
eri,2001,0.56
eri,2002,0.52
eri,2003,0.49
eri,2004,0.45
eri,2005,0.4
eri,2006,0.37
eri,2007,0.32
eri,2008,0.28
eri,2009,0.25
eri,2010,0.22
eri,2011,0.19
eri,2012,0.16
eri,2013,0.14
eri,2014,0.12
eri,2015,0.11
eri,2016,0.1
eri,2017,0.09
eri,2018,0.08
eri,2019,0.07
eri,2020,0.07
esp,1990,0.32
esp,1991,0.29
esp,1992,0.24
esp,1993,0.2
esp,1994,0.17
esp,1995,0.14
esp,1996,0.12
esp,1997,0.1
esp,1998,0.09
esp,1999,0.08
esp,2000,0.08
esp,2001,0.07
esp,2002,0.07
esp,2003,0.07
esp,2004,0.07
esp,2005,0.07
esp,2006,0.07
esp,2007,0.08
esp,2008,0.08
esp,2009,0.08
esp,2010,0.09
esp,2011,0.09
esp,2012,0.09
esp,2013,0.09
esp,2014,0.09
esp,2015,0.09
esp,2016,0.09
esp,2017,0.09
esp,2018,0.08
esp,2019,0.08
esp,2020,0.08
est,1990,0.01
est,1991,0.01
est,1992,0.01
est,1993,0.01
est,1994,0.01
est,1995,0.01
est,1996,0.01
