global,time,ic_tax_totl_cp_zs
world,2005,53.10368
world,2006,51.91856
world,2007,50.72059
world,2008,49.82105
world,2009,48.56453
world,2010,47.2407
world,2011,44.19253
world,2012,43.53933
world,2013,41.88571
world,2014,40.58042
world,2015,40.46667
world,2016,40.31323
world,2017,40.35397
world,2018,40.29158
world,2019,40.38368
