geo,time,sl_emp_work_ma_zs
afg,1991,10.46
afg,1992,10.27
afg,1993,9.68
afg,1994,9.01
afg,1995,9.27
afg,1996,8.97
afg,1997,8.68
afg,1998,8.42
afg,1999,8.1
afg,2000,7.67
afg,2001,7.14
afg,2002,8.08
afg,2003,8.48
afg,2004,8.55
afg,2005,9
afg,2006,9.24
afg,2007,9.88
afg,2008,10.18
afg,2009,11.56
afg,2010,13
afg,2011,13.76
afg,2012,15.19
afg,2013,16.35
afg,2014,17.27
afg,2015,18.05
afg,2016,18.88
afg,2017,20.08
afg,2018,20.2
afg,2019,20.33
ago,1991,46.36
ago,1992,46.44
ago,1993,45.65
ago,1994,45.72
ago,1995,46.04
ago,1996,46.68
ago,1997,46.55
ago,1998,46.44
ago,1999,48.57
ago,2000,48.93
ago,2001,48.7
ago,2002,48.47
ago,2003,48.65
ago,2004,49.14
ago,2005,49.7
ago,2006,48.65
ago,2007,48.52
ago,2008,47.74
ago,2009,42.72
ago,2010,41.12
ago,2011,39.57
ago,2012,39.45
ago,2013,38.57
ago,2014,36.59
ago,2015,34.78
ago,2016,33.39
ago,2017,32.11
ago,2018,30.52
ago,2019,30.33
alb,1991,32.18
alb,1992,31.09
alb,1993,30.91
alb,1994,30.67
alb,1995,30.81
alb,1996,31.18
alb,1997,30.87
alb,1998,31.46
alb,1999,32.46
alb,2000,33.45
alb,2001,34.63
alb,2002,35.52
alb,2003,36.53
alb,2004,37.66
alb,2005,39.01
alb,2006,40.74
alb,2007,41.88
alb,2008,44.96
alb,2009,47.08
alb,2010,47.81
alb,2011,42
alb,2012,40.73
alb,2013,42.99
alb,2014,42.65
alb,2015,40.11
alb,2016,40.05
alb,2017,41.33
alb,2018,42.73
alb,2019,44.21
are,1991,96.81
are,1992,96.8
are,1993,96.78
are,1994,96.78
are,1995,96.78
are,1996,96.79
are,1997,96.8
are,1998,96.76
are,1999,96.75
are,2000,96.8
are,2001,96.76
are,2002,96.73
are,2003,96.73
are,2004,96.72
are,2005,96.7
are,2006,96.44
are,2007,96.01
are,2008,95.43
are,2009,95.59
are,2010,95.81
are,2011,96.03
are,2012,96.21
are,2013,96.36
are,2014,96.5
are,2015,96.61
are,2016,96.74
are,2017,96.34
are,2018,95.98
are,2019,95.2
arg,1991,69.52
arg,1992,68.58
arg,1993,67.18
arg,1994,68.95
arg,1995,67.89
arg,1996,68.42
arg,1997,69.52
arg,1998,69.78
arg,1999,70.01
arg,2000,69.56
arg,2001,68.71
arg,2002,67.04
arg,2003,70.2
arg,2004,71.19
arg,2005,71.51
arg,2006,72.49
arg,2007,73.22
arg,2008,73.26
arg,2009,73.03
arg,2010,73.57
arg,2011,73.87
arg,2012,74.06
arg,2013,73.41
arg,2014,73.48
arg,2015,73.17
arg,2016,72.35
arg,2017,71.87
arg,2018,72.29
arg,2019,71.19
arm,1991,66.61
arm,1992,64.08
arm,1993,61.37
arm,1994,59.71
arm,1995,58.1
arm,1996,57
