geo,time,sl_mnf_0714_ma_zs
alb,2010,1.19
aze,2005,0.7
bfa,2003,0.2
bfa,2006,1.44
bgd,2003,11.56
bgd,2013,27.58
bol,2002,4.5
bol,2005,5.4
bol,2008,6
bol,2009,5.18
bol,2013,5.77
bol,2015,8.83
bra,2004,5.2
bra,2008,7.1
bra,2009,5.53
bra,2011,5.97
bra,2013,6.05
bra,2014,5.83856
bra,2015,7.95
chl,2003,8.2
chl,2012,2.53
cmr,2001,1.85
cmr,2007,2.14
col,2007,10.27
col,2009,11.65
col,2012,13.02
col,2014,9.45
col,2015,12.83
cri,2004,9.45
cri,2011,2.22
cri,2016,13.02
dom,2005,9.78
dom,2009,8.92
dom,2012,19.1
ecu,2004,5
ecu,2006,6.99
ecu,2009,5.86
ecu,2011,6.75
ecu,2015,4.27
egy,2009,10.48
eth,2005,0.6
gha,2003,1.5
gha,2012,3.05
gin,2010,1.74
gmb,2015,4.48
gtm,2003,6
gtm,2004,3.7
gtm,2006,7.26
gtm,2012,5.35
gtm,2014,8.05
gtm,2015,6.89526
hnd,2004,5.3
hnd,2007,6.72
hnd,2011,3.15
hnd,2013,5.58
hnd,2014,5.62
idn,2009,3.28
idn,2010,7.01
ind,2000,9.96
ind,2005,13.45
ind,2010,11.35
ind,2012,29.25
jam,2002,6.19
jor,2007,10.14
jor,2016,17.53
ken,1999,2.52929
kgz,1998,0
kgz,2007,0.12
kgz,2014,0.24051
khm,2001,4.7
khm,2009,1.75
khm,2012,11.88
lao,2010,1.93
lbr,2010,2.34
lka,1999,11.97
lka,2009,14.35
mar,1999,8.05
mar,2004,23.4
mda,2009,0
mdg,2001,0.57
mdg,2007,1.37
mex,2004,12.62
mex,2009,10.6
mex,2010,8.32
mex,2011,8.07
mex,2013,11.15
mli,2005,1.6
mli,2007,2.67
mng,2007,0.23
mng,2012,1.55
mwi,2015,0.06
nam,1999,0.43
ner,2009,2.39
nga,2010,0.6
nic,2001,3.01236
nic,2005,8.36
nic,2010,4.16
nic,2012,6.35
npl,1999,1.20364
npl,2008,1.27
pak,2008,8.19
pak,2011,9
pan,2003,2.52
pan,2008,1.95
pan,2010,2.95
pan,2012,3.43
pan,2014,1.77
per,2000,3.06
per,2007,4.52
phl,2001,3.8
phl,2011,3.09
prt,2001,11.40236
pry,2005,5.95
pry,2014,10.12
rou,2000,0
rwa,2008,1.25
rwa,2011,2.62
rwa,2014,1.03
sdn,2008,0.69
sen,2005,6.46
sen,2011,3.32
sle,2007,0.87
slv,2003,10.82936
slv,2007,10.69
slv,2009,9.52
slv,2011,7.23
slv,2012,8.32
slv,2013,7.3
ssd,2008,0.07
tgo,2006,1.06
tgo,2010,3.78
tur,1999,19.94328
tur,2006,12.7
tza,2001,0.10742
tza,2006,0.8
tza,2014,0.14
uga,2006,1.03
uga,2012,1.3
ury,2009,8.15
ven,2003,7.27761
ven,2005,7.7
ven,2006,6.57
ven,2013,9.25
vnm,2012,3.91
yem,1999,1.19
yem,2010,1.65
zmb,2005,0.68
zmb,2008,0.55
