geo,time,fm_lbl_bmny_gd_zs
abw,1986,43.49806
abw,1987,51.3171
abw,1988,49.27884
abw,1989,52.15352
abw,1990,55.59662
abw,1991,56.9711
abw,1992,58.3244
abw,1993,54.91893
abw,1994,53.75696
abw,1995,53.36272
abw,1996,52.67156
abw,1997,49.62399
abw,1998,51.62817
abw,1999,55.09707
abw,2000,51.83454
abw,2001,53.55252
abw,2002,58.52086
abw,2003,61.19679
abw,2004,57.29005
abw,2005,58.16874
abw,2006,57.24424
abw,2007,54.82589
abw,2008,60.87709
abw,2009,70.72435
abw,2010,73.72283
abw,2011,69.20684
abw,2012,75.36257
abw,2013,67.41963
abw,2014,69.58696
abw,2015,71.74184
abw,2016,78.0121
abw,2017,76.5954
abw,2018,76.36013
afg,1960,13.45041
afg,1961,14.53441
afg,1962,17.19512
afg,1963,14.4645
afg,1964,16.68889
afg,1965,15.57395
afg,1966,11.20794
afg,1967,9.34263
afg,1968,13.29045
afg,1969,15.28707
afg,1970,13.20332
afg,1971,14.03642
afg,1972,18.35376
afg,1973,18.18398
afg,1974,16.59227
afg,1975,16.99455
afg,1976,19.54652
afg,1977,21.64906
afg,1978,22.52572
afg,1979,24.54239
afg,1980,28.85716
afg,1981,31.60955
afg,2006,23.34386
afg,2007,23.83366
afg,2008,29.51228
afg,2009,33.06096
afg,2010,35.35056
afg,2011,36.62423
afg,2012,32.91369
afg,2013,32.68202
afg,2014,34.2096
afg,2015,33.92805
afg,2016,37.22282
afg,2017,36.86126
afg,2018,36.60749
afg,2019,34.95921
afg,2020,37.20946
ago,1995,36.48713
ago,1996,27.57757
ago,1997,22.61548
ago,1998,24.43704
ago,1999,22.84935
ago,2000,17.28056
ago,2001,21.13571
ago,2002,16.04988
ago,2003,13.50837
ago,2004,13.55365
ago,2005,13.29982
ago,2006,16.27333
ago,2007,20.44687
ago,2008,31.5205
ago,2009,45.60817
ago,2010,34.77475
ago,2011,34.97887
ago,2012,31.51773
ago,2013,33.33155
ago,2014,35.67555
ago,2015,40.94466
ago,2016,39.16231
ago,2017,32.18652
ago,2018,30.64644
ago,2019,31.32624
ago,2020,37.62983
alb,1994,39.76496
alb,1995,48.44364
alb,1996,46.22337
alb,1997,59.92527
alb,1998,62.23901
alb,1999,66.02221
alb,2000,65.46317
alb,2001,69.82247
alb,2002,66.85228
alb,2003,65.44231
alb,2004,68.22037
alb,2005,71.41763
alb,2006,76.36568
alb,2007,78.46588
alb,2008,75.48053
alb,2009,76.18171
alb,2010,79.07748
alb,2011,82.27974
alb,2012,84.28877
alb,2013,85.10629
alb,2014,85.65081
alb,2015,84.79217
alb,2016,85.80496
alb,2017,81.70342
alb,2018,77.23505
alb,2019,77.94747
alb,2020,90.07438
are,1975,15.12562
are,1976,22.05843
are,1977,16.00657
are,1978,19.09551
are,1979,15.29405
are,1980,14.55512
are,1981,16.06467
are,1982,19.65872
are,1983,23.12841
are,1984,30.53852
are,1985,33.46829
are,1986,41.79236
are,1987,41.1323
are,1988,43.67138
are,1989,41.51152
are,1990,31.16615
are,1991,35.10949
are,1992,34.9105
are,1993,33.50392
are,1994,33.90673
are,1995,33.71149
are,1996,32.1912
are,1997,32.75712
are,1998,35.54481
are,1999,35.50138
are,2000,33.13569
are,2001,40.8092
are,2002,42.43194
are,2003,43.16015
are,2004,44.92406
are,2005,48.03536
are,2006,48.16231
are,2007,58.65211
are,2008,58.15073
are,2009,78.19942
are,2010,72.71481
are,2011,63.14301
are,2012,61.76244
are,2013,72.79443
are,2014,76.01567
are,2015,90.23502
are,2016,93.45715
are,2017,90.11414
are,2018,84.38313
are,2019,92.22972
are,2020,112.1903
arg,1960,21.13925
arg,1961,16.606
arg,1962,14.31012
arg,1963,16.01762
arg,1964,15.96786
arg,1965,15.12888
arg,1966,15.95037
arg,1967,18.42667
arg,1968,20.41522
arg,1969,20.87809
arg,1970,22.99617
arg,1971,18.0217
arg,1972,22.67296
arg,1973,23.26093
arg,1974,26.07638
arg,1975,22.16232
arg,1976,19.05432
arg,1977,22.47231
arg,1978,24.54097
arg,1979,25.86769
arg,1980,24.95573
arg,1981,23.41156
arg,1982,21.24288
arg,1983,21.02594
arg,1984,21.97478
arg,1985,17.30336
arg,1986,19.58474
arg,1987,22.05262
arg,1988,25.14761
arg,1989,20.10466
arg,1990,11.48109
arg,1991,10.55678
arg,1992,13.69144
arg,1993,19.21862
arg,1994,20.77029
arg,1995,20.14127
arg,1996,22.69048
arg,1997,26.47018
arg,1998,28.65068
arg,1999,31.44368
arg,2000,31.84862
arg,2001,27.13925
arg,2002,27.92707
arg,2003,30.10406
arg,2004,28.32565
arg,2005,28.66331
arg,2006,28.04961
arg,2007,27.86432
arg,2008,23.49367
arg,2009,25.32274
arg,2010,25.3131
arg,2011,24.32882
arg,2012,27.09466
arg,2013,27.12687
arg,2014,25.75254
arg,2015,27.64081
arg,2016,28.31388
arg,2017,28.42894
arm,1992,79.87205
arm,1993,69.11378
arm,1994,13.09741
arm,1995,7.70715
arm,1996,8.22291
arm,1997,8.73356
arm,1998,10.05222
arm,1999,11.08461
arm,2000,14.70451
arm,2001,13.44965
arm,2002,15.5516
arm,2003,14.39196
arm,2004,14.98698
arm,2005,16.29839
arm,2006,18.28698
arm,2007,21.9524
arm,2008,19.83584
arm,2009,25.94146
arm,2010,26.33909
arm,2011,29.83045
arm,2012,31.55695
arm,2013,33.9222
arm,2014,34.6723
arm,2015,36.79246
arm,2016,43.02293
arm,2017,46.41542
arm,2018,46.12064
arm,2019,47.1544
arm,2020,54.38726
atg,1977,48.99847
atg,1978,47.71441
atg,1979,44.39047
atg,1980,40.96389
atg,1981,42.22158
atg,1982,43.09447
atg,1983,48.15154
atg,1984,44.47921
atg,1985,42.84832
atg,1986,41.98864
atg,1987,49.36926
atg,1988,49.2323
atg,1989,50.6934
atg,1990,50.17105
atg,1991,55.20625
atg,1992,58.63938
atg,1993,58.6608
atg,1994,57.9985
atg,1995,70.89126
atg,1996,63.21555
atg,1997,63.06691
atg,1998,67.70792
atg,1999,80.29391
atg,2000,78.95084
atg,2001,85.52397
atg,2002,88.56501
atg,2003,97.33987
atg,2004,96.19703
atg,2005,94.14051
atg,2006,92.82883
atg,2007,91.16595
atg,2008,90.23755
atg,2009,90.7937
atg,2010,97.32618
atg,2011,99.71275
atg,2012,96.97998
atg,2013,99.82199
atg,2014,95.68062
atg,2015,94.65948
atg,2016,86.9807
atg,2017,91.28935
atg,2018,89.46192
atg,2019,84.75456
atg,2020,95.27599
aus,1960,44.54556
aus,1961,44.11437
aus,1962,47.03525
aus,1963,48.05387
aus,1964,48.5272
aus,1965,46.75663
aus,1966,47.92454
aus,1967,46.86176
aus,1968,46.67443
aus,1969,45.59026
aus,1970,42.53048
aus,1971,42.26331
aus,1972,45.83939
aus,1973,49.71985
aus,1974,44.79561
aus,1975,45.74421
aus,1976,43.88776
aus,1977,40.27485
aus,1978,40.74904
aus,1979,40.23647
aus,1980,40.47047
aus,1981,39.28988
aus,1982,37.64633
aus,1983,39.57742
aus,1984,39.19805
aus,1985,41.96998
aus,1986,41.52136
aus,1987,43.88307
aus,1988,45.64785
aus,1989,52.70749
aus,1990,54.08101
aus,1991,53.31501
aus,1992,56.16848
aus,1993,56.57817
