global,time,sh_anm_nprg_zs
world,2000,30.7
world,2001,30.3
world,2002,30
world,2003,29.8
world,2004,29.6
world,2005,29.3
world,2006,29.1
world,2007,28.9
world,2008,28.6
world,2009,28.4
world,2010,28.2
world,2011,28.1
world,2012,28.1
world,2013,28.1
world,2014,28.2
world,2015,28.4
world,2016,28.6
world,2017,28.9
world,2018,29.2
world,2019,29.6
