global,time,ag_yld_crel_kg
world,1961,1428.40594
world,1962,1518.82878
world,1963,1583.64011
world,1964,1585.37139
world,1965,1633.85347
world,1966,1674.01058
world,1967,1758.08342
world,1968,1774.55698
world,1969,1798.35153
world,1970,1826.79297
world,1971,1976.43274
world,1972,1965.76555
world,1973,1998.99829
world,1974,1980.46658
world,1975,2094.19827
world,1976,2102.9554
world,1977,2151.86258
world,1978,2313.03451
world,1979,2347.33081
world,1980,2314.04893
world,1981,2458.03049
world,1982,2555.61754
world,1983,2465.38972
world,1984,2716.84967
world,1985,2726.03679
world,1986,2718.43377
world,1987,2700.12652
world,1988,2632.7948
world,1989,2781.65968
world,1990,2890.295
world,1991,2890.4517
world,1992,2805.82982
world,1993,2761.76576
world,1994,2844.38663
world,1995,2796.20527
world,1996,2974.4958
world,1997,3022.93731
world,1998,3097.96681
world,1999,3134.36311
world,2000,3090.16794
world,2001,3159.76009
world,2002,3133.14586
world,2003,3132.2939
world,2004,3395.28606
world,2005,3313.52732
world,2006,3342.90291
world,2007,3411.53358
world,2008,3579.35335
world,2009,3601.00089
world,2010,3592.82856
world,2011,3711.29188
world,2012,3621.41643
world,2013,3824.2443
world,2014,3896.8876
world,2015,3920.34758
world,2016,4009.23128
world,2017,4114.0529
world,2018,4070.66705
