geo,time,se_ter_cuat_st_ma_zs
abw,1991,9.04752
abw,2000,18.27305
abw,2010,12.80073
ago,2014,3.34245
alb,2001,9.22839
alb,2008,11.70735
alb,2011,12.52386
alb,2012,13.45877
and,2003,26.31579
and,2004,31.59671
and,2005,28.71734
and,2006,29.54921
and,2014,32.17099
and,2015,31.96835
and,2016,31.83362
are,2005,15.66657
are,2017,53.15148
are,2018,52.945
are,2019,51.72897
arg,1970,5.55979
arg,1980,6.42121
arg,1991,12.28359
arg,2001,9.17846
arm,2011,41.59975
arm,2015,45.14305
arm,2017,41.39908
arm,2020,41.29151
aus,2004,29.04625
aus,2005,30.22648
aus,2006,30.63132
aus,2007,31.39719
aus,2008,32.66409
aus,2009,33.82644
aus,2010,34.12827
aus,2011,34.5902
aus,2012,37.55371
aus,2013,33.49004
aus,2014,36.73954
aus,2015,36.8463
aus,2016,37.98639
aus,2017,38.33642
aus,2018,38.6902
aus,2019,40.52616
aus,2020,41.78201
aut,2005,19.69804
aut,2007,19.90336
aut,2008,20.24351
aut,2009,20.93726
aut,2010,20.87704
aut,2011,21.07982
aut,2012,21.52092
aut,2013,21.8577
aut,2014,29.68941
aut,2015,30.32773
aut,2016,30.88686
aut,2017,31.22895
aut,2019,32.44491
aze,2008,27.36031
aze,2009,27.36289
aze,2010,27.15371
aze,2011,27.16308
aze,2012,27.25623
aze,2013,27.33935
aze,2014,27.38254
aze,2015,27.41149
aze,2016,27.47754
aze,2017,27.49841
aze,2019,27.56233
bdi,1990,1.03934
bdi,2008,3.7238
bdi,2014,2.02304
bdi,2017,2.29002
bel,2006,27.14401
bel,2008,27.76242
bel,2009,28.65638
bel,2010,29.94849
bel,2011,29.70051
bel,2012,30.09285
bel,2013,30.03215
bel,2014,31.2438
bel,2015,31.1957
bel,2016,31.72796
bel,2017,34.07426
bel,2019,34.04472
ben,1979,0.54174
ben,2002,3.755
bfa,2006,2.83457
bfa,2007,0.31817
bfa,2014,0
bfa,2018,4.36325
bgd,2011,8.78903
bgd,2012,9.00602
bgd,2013,8.17134
bgd,2014,8.30986
bgd,2015,11.63353
bgd,2016,11.98903
bgd,2017,12.51644
bgd,2018,12.97842
bgd,2019,13.43818
bgd,2020,18.289
bhr,2001,10.8075
bhr,2010,18.14633
bhs,2010,18.32002
bih,2010,10.54159
bih,2011,11.63255
bih,2014,12.63808
bih,2015,11.39027
bih,2016,12.01623
bih,2018,11.6635
bih,2020,13.23255
blr,1989,13.7319
blr,2009,48.08991
blr,2019,57.14488
blz,2010,5.87949
blz,2020,19.16757
bmu,2010,32.98763
bmu,2016,35.87195
bol,1976,6.94986
bol,1992,13.10075
bol,2001,16.35181
bol,2006,22.7934
bol,2008,22.56739
bol,2009,24.65012
bol,2012,25.32827
bol,2015,27.20868
bol,2019,32.59585
bra,1970,2.94565
bra,1976,5.43954
bra,1980,5.84223
bra,2004,7.53762
bra,2006,8.10298
bra,2007,8.42728
bra,2008,9.09023
bra,2009,9.50755
bra,2010,9.97199
bra,2011,10.10423
bra,2012,10.51894
bra,2013,11.10469
bra,2014,11.41948
bra,2015,11.86109
bra,2016,13.5613
bra,2017,13.68589
bra,2018,14.54734
brn,2011,12.8634
btn,2012,6.59343
btn,2017,12.6712
can,1986,21.83307
can,1991,23.5949
can,2001,34.36816
can,2006,41.77901
can,2011,44.51299
can,2016,45.27732
che,2009,40.34624
che,2010,39.23185
che,2011,38.97413
che,2012,40.53303
che,2014,43.2971
che,2015,44.20801
che,2016,43.74133
che,2018,45.36833
che,2019,45.52566
chl,1970,5.22502
chl,1982,8.45623
chl,2004,13.72309
chl,2007,16.3533
chl,2008,21.70225
chl,2010,18.24
chl,2011,15.6433
chl,2013,18.01867
chl,2015,20.38
chl,2017,22.1757
chn,2010,10.00033
cmr,2010,2.22566
cod,1984,2.38928
cod,2013,8.59504
cod,2016,13.60244
col,2004,16.2374
col,2005,16.61863
col,2006,11.88927
col,2007,14.40191
col,2008,15.15435
col,2009,14.25963
col,2010,15.1591
col,2011,15.49505
col,2012,16.16967
col,2013,17.41973
col,2014,18.38892
col,2015,18.18525
col,2016,18.66848
col,2018,19.65
col,2019,19.94094
col,2020,20.67062
cpv,2015,9.03337
cri,1973,6.14659
cri,2007,17.83529
cri,2008,20.52638
cri,2009,20.72353
cri,2010,19.87826
cri,2011,20.28378
cri,2012,20.73893
cri,2014,23.40091
cri,2015,21.15777
cri,2016,20.38463
cri,2018,20.86958
cri,2020,21.15323
cub,2002,9.19066
cub,2012,13.14961
cym,2004,26.87714
cym,2005,23.35326
cym,2006,22.28403
cym,2007,35.74979
cym,2008,34.34293
cym,2014,37.73263
cym,2015,33.93507
cyp,2004,27.58218
cyp,2005,26.44381
cyp,2006,27.60458
cyp,2007,29.49655
cyp,2008,30.5654
cyp,2009,30.08034
cyp,2010,31.34374
cyp,2011,30.43237
cyp,2012,33.6633
cyp,2013,33.87891
cyp,2014,33.99529
cyp,2015,33.58316
cyp,2016,34.49423
cyp,2018,35.37523
cyp,2020,36.08573
cze,2006,14.63195
cze,2007,14.67669
cze,2008,15.01343
cze,2009,15.99648
cze,2010,16.95136
cze,2011,17.89854
cze,2012,18.33886
cze,2013,19.22763
cze,2014,19.70455
cze,2015,19.83895
cze,2016,20.76521
cze,2017,21.18065
cze,2019,20.95419
deu,2004,28.27747
deu,2005,28.03919
deu,2006,27.02749
deu,2007,27.32667
deu,2008,28.59381
deu,2009,29.48805
deu,2010,29.63063
deu,2011,29.88362
deu,2012,30.27796
deu,2013,30.43666
deu,2014,30.49376
deu,2015,30.87743
deu,2016,31.47178
deu,2018,30.09402
dma,2001,5.23407
dnk,1991,19.68483
dnk,1994,18.81595
dnk,1995,19.55249
dnk,2003,30.00413
dnk,2004,29.26829
dnk,2007,29.47053
dnk,2008,31.74917
dnk,2009,27.87952
dnk,2010,28.74494
dnk,2011,27.94457
dnk,2012,28.57143
dnk,2013,29.07801
dnk,2014,37.30724
dnk,2015,30.37757
dnk,2016,31.89407
dnk,2018,32.31917
dnk,2020,33.38936
dom,1970,2.48063
dom,2007,15.95863
dom,2010,9.25432
dom,2011,8.73715
dom,2012,8.98484
dom,2013,9.70974
dom,2014,9.83271
dom,2015,10.11355
dom,2016,18.41019
dza,1971,0.62194
dza,2006,8.655
dza,2008,8.66333
ecu,1974,4.71696
ecu,1982,9.5128
ecu,1990,14.59526
ecu,2007,12.17929
ecu,2008,11.25989
ecu,2009,11.41247
ecu,2010,11.73745
ecu,2011,10.49927
ecu,2012,11.91416
ecu,2013,12.76512
ecu,2014,11.55151
ecu,2015,12.98694
ecu,2016,12.90864
ecu,2017,12.74785
ecu,2020,12.81836
egy,2006,16.10782
egy,2017,6.37173
esp,1970,5.32162
esp,1981,9.02446
esp,1986,8.31763
esp,1991,9.75347
esp,2004,22.76713
esp,2005,24.47095
esp,2006,24.67103
esp,2007,25.15364
esp,2008,25.42267
esp,2009,25.46599
esp,2010,26.20142
esp,2011,27.01867
esp,2012,27.31412
esp,2014,29.1039
esp,2015,29.00108
esp,2016,29.31022
esp,2018,30.76571
esp,2020,32.85126
est,1989,14.28577
est,2000,24.52194
est,2006,27.27985
est,2007,26.09603
