geo,time,dt_nfl_pcbk_cd
ago,1989,13096000
ago,1990,4010000
ago,1991,386000
ago,1992,8415000
ago,1993,18094000
ago,1994,250447000
ago,1995,292580000
ago,1996,273757000
ago,1997,503592000
ago,1998,-153883000
ago,1999,59448000
ago,2000,-138641000
ago,2001,59683000
ago,2002,-18393000
ago,2003,716858000
ago,2004,1016128000
ago,2005,1583030000
ago,2006,-1105032000
ago,2007,1359119000
ago,2008,2678280000
ago,2009,-361830000
ago,2010,720097000
ago,2011,249346000
ago,2012,293726000
ago,2013,2119603000
ago,2014,3598903000
ago,2015,-697672000
ago,2016,-876420000
ago,2017,-492529000
ago,2018,1739243000
ago,2019,843675000
ago,2020,329692000
alb,1995,1000
alb,2007,108000
alb,2008,345436000
alb,2009,299276000
alb,2010,-52484000
alb,2011,-48195000
alb,2012,-63147000
alb,2013,7586000
alb,2014,-19285000
alb,2015,277562000
alb,2016,11367000
alb,2017,-43899000
alb,2018,-52710000
alb,2019,-55951000
alb,2020,-33072000
arg,1970,-16189000
arg,1971,69577000
arg,1972,159718000
arg,1973,254609000
arg,1974,178281000
arg,1975,-95171000
arg,1976,1060248000
arg,1977,312576000
arg,1978,395656000
arg,1979,1999693000
arg,1980,1692423000
arg,1981,560136000
arg,1982,135821000
arg,1983,1204546000
arg,1984,138594000
arg,1985,2565933000
arg,1986,827673000
arg,1987,1547931000
arg,1988,696032000
arg,1989,188787000
arg,1990,-1158576000
arg,1991,-282502000
arg,1992,18701000
arg,1993,30044000
arg,1994,28558000
arg,1995,-66948000
arg,1996,-69915000
arg,1997,-110379000
arg,1998,-158754000
arg,1999,-186168000
arg,2000,-182549000
arg,2001,-279506000
arg,2002,-11847000
arg,2003,-4568000
arg,2004,-3952000
arg,2005,-4078000
arg,2006,-2760000
arg,2007,-456000
arg,2008,-175000
arg,2009,-2428110000
arg,2010,-177771000
arg,2011,-264341000
arg,2012,16601000
arg,2013,-86624000
arg,2014,590164000
arg,2015,-81193000
arg,2016,-13094000
arg,2017,-377544000
arg,2018,-13923000
arg,2019,264468000
arg,2020,107084000
arm,1998,5000000
arm,2002,-5000000
arm,2011,2366000
arm,2012,10236000
arm,2013,4303000
arm,2014,6334000
arm,2015,21171000
arm,2016,7565000
arm,2017,8409000
arm,2018,143000
arm,2019,-1784000
