geo,time,sl_emp_work_zs
afg,1991,9.1
afg,1992,8.95
afg,1993,8.45
afg,1994,7.88
afg,1995,8.1
afg,1996,7.85
afg,1997,7.61
afg,1998,7.38
afg,1999,7.11
afg,2000,6.74
afg,2001,6.28
afg,2002,7.09
afg,2003,7.43
afg,2004,7.48
afg,2005,7.86
afg,2006,8.08
afg,2007,8.65
afg,2008,8.92
afg,2009,10.15
afg,2010,11.43
afg,2011,12.11
afg,2012,13.37
afg,2013,14.34
afg,2014,15.13
afg,2015,15.79
afg,2016,16.5
afg,2017,17.55
afg,2018,17.66
afg,2019,17.81
ago,1991,32.24
ago,1992,32.66
ago,1993,32.35
ago,1994,33.03
ago,1995,33.11
ago,1996,33.58
ago,1997,33.34
ago,1998,33.2
ago,1999,35.37
ago,2000,35.75
ago,2001,35.49
ago,2002,35.12
ago,2003,35.19
ago,2004,35.84
ago,2005,36.21
ago,2006,35.19
ago,2007,34.97
ago,2008,34.18
ago,2009,29.87
ago,2010,29.36
ago,2011,28.1
ago,2012,27.89
ago,2013,26.99
ago,2014,25.52
ago,2015,24.23
ago,2016,23.43
ago,2017,22.6
ago,2018,21.62
ago,2019,21.49
alb,1991,35.89
alb,1992,34.38
alb,1993,34.45
alb,1994,34.52
alb,1995,35.05
alb,1996,35.39
alb,1997,33.49
alb,1998,33.97
alb,1999,35.08
alb,2000,35.89
alb,2001,37.1
alb,2002,37.6
alb,2003,38.36
alb,2004,39.14
alb,2005,39.72
alb,2006,41.13
alb,2007,41.9
alb,2008,39.83
alb,2009,42.08
alb,2010,43.3
alb,2011,38.92
alb,2012,36.94
alb,2013,40.48
alb,2014,42.07
alb,2015,41.19
alb,2016,41.4
alb,2017,42.9
alb,2018,44.52
alb,2019,45.73
are,1991,97.03
are,1992,97.03
are,1993,97.02
are,1994,97.02
are,1995,97.02
are,1996,97.03
are,1997,97.04
are,1998,97.01
are,1999,97
are,2000,97.05
are,2001,97.01
are,2002,96.99
are,2003,96.99
are,2004,96.97
are,2005,96.93
are,2006,96.71
are,2007,96.33
are,2008,95.82
are,2009,95.96
are,2010,96.16
are,2011,96.36
are,2012,96.54
are,2013,96.69
are,2014,96.84
are,2015,96.95
are,2016,97.06
are,2017,96.53
are,2018,96.03
are,2019,95.06
arg,1991,70.27
arg,1992,70.15
arg,1993,68.8
arg,1994,70.21
arg,1995,70.64
arg,1996,70.8
arg,1997,71.75
arg,1998,72.15
arg,1999,72.44
arg,2000,72.39
arg,2001,71.82
arg,2002,71.67
arg,2003,73.69
arg,2004,74.38
arg,2005,74.75
arg,2006,75.65
arg,2007,76.36
arg,2008,76.32
arg,2009,75.96
arg,2010,76.44
arg,2011,76.9
arg,2012,77.01
arg,2013,76.45
arg,2014,76.35
arg,2015,75.96
arg,2016,75.18
arg,2017,74.66
arg,2018,74.47
arg,2019,73.49
arm,1991,62.25
arm,1992,60.06
arm,1993,57.94
arm,1994,56.09
arm,1995,54.7
arm,1996,53.57
arm,1997,52.56
arm,1998,52.01
arm,1999,51.28
arm,2000,50.67
arm,2001,50.51
arm,2002,50.82
arm,2003,51.54
arm,2004,52.32
arm,2005,53.33
arm,2006,54.64
arm,2007,56.35
arm,2008,57.65
arm,2009,56.86
arm,2010,56.86
arm,2011,55.57
arm,2012,56.37
arm,2013,57.2
arm,2014,55.86
arm,2015,57.2
arm,2016,58.05
arm,2017,59.66
arm,2018,64.42
arm,2019,66.03
aus,1991,80
aus,1992,79.86
aus,1993,79.56
aus,1994,79.75
aus,1995,79.98
aus,1996,80.07
aus,1997,79.86
aus,1998,80.09
aus,1999,80.38
aus,2000,80.02
aus,2001,79.8
aus,2002,79.66
aus,2003,80.13
aus,2004,80.34
aus,2005,80.35
aus,2006,81.04
aus,2007,81.69
aus,2008,81.81
aus,2009,81.76
aus,2010,81.63
aus,2011,82.21
aus,2012,82.83
aus,2013,83.16
aus,2014,82.86
aus,2015,82.94
aus,2016,82.95
aus,2017,83.1
aus,2018,83.54
aus,2019,83.42
aut,1991,85.2
aut,1992,85.32
aut,1993,85.4
aut,1994,85.59
aut,1995,85.75
aut,1996,85.57
aut,1997,86.15
aut,1998,86.2
aut,1999,86.32
aut,2000,86.49
aut,2001,86.58
aut,2002,86.5
aut,2003,86.96
aut,2004,87.45
aut,2005,87.05
aut,2006,86.95
aut,2007,86.31
aut,2008,86.46
aut,2009,86.36
aut,2010,86.19
aut,2011,86.72
aut,2012,86.93
aut,2013,86.8
aut,2014,86.71
aut,2015,87
aut,2016,87.28
aut,2017,87.62
aut,2018,87.99
aut,2019,87.84
aze,1991,47.74
aze,1992,45.84
aze,1993,43.95
aze,1994,41.83
aze,1995,39.43
aze,1996,37.17
aze,1997,35.25
aze,1998,33.71
aze,1999,32.37
aze,2000,31.59
aze,2001,30.97
aze,2002,30.56
aze,2003,30.37
aze,2004,30.34
aze,2005,30.33
aze,2006,30.7
aze,2007,31.26
aze,2008,31.76
aze,2009,32.43
aze,2010,31.95
aze,2011,31.71
aze,2012,33.31
aze,2013,33.49
aze,2014,33.21
aze,2015,32.29
aze,2016,31.82
aze,2017,31.62
aze,2018,31.8
aze,2019,32.15
bdi,1991,18.37
bdi,1992,18.27
bdi,1993,18.04
bdi,1994,17.95
bdi,1995,17.15
bdi,1996,16.19
bdi,1997,16.1
bdi,1998,16.09
bdi,1999,16.02
bdi,2000,15.96
bdi,2001,15.88
bdi,2002,15.81
bdi,2003,15.92
bdi,2004,14.92
bdi,2005,15.24
bdi,2006,14.99
bdi,2007,15.3
bdi,2008,15.02
bdi,2009,15.37
bdi,2010,15.11
bdi,2011,15.05
bdi,2012,15.3
bdi,2013,15.35
bdi,2014,15.36
bdi,2015,14.92
bdi,2016,14.97
bdi,2017,14.61
bdi,2018,14.39
bdi,2019,14.2
bel,1991,82.74
bel,1992,82.14
bel,1993,82.09
bel,1994,82.28
bel,1995,82.06
bel,1996,82.01
bel,1997,82.66
bel,1998,82.89
bel,1999,82.73
bel,2000,83.96
bel,2001,84.78
bel,2002,84.56
bel,2003,84.85
bel,2004,85.3
bel,2005,84.77
bel,2006,84.93
bel,2007,85.18
bel,2008,85.78
bel,2009,85.2
bel,2010,85.64
bel,2011,85.7
bel,2012,85.65
bel,2013,84.92
bel,2014,85.39
bel,2015,84.82
bel,2016,85.16
bel,2017,85.71
bel,2018,85.97
bel,2019,85.77
ben,1991,8.1
ben,1992,8.16
ben,1993,8.18
ben,1994,9.47
ben,1995,9.38
ben,1996,9.44
ben,1997,9.54
ben,1998,9.44
ben,1999,9.61
ben,2000,9.67
ben,2001,9.94
ben,2002,10.01
ben,2003,10.11
ben,2004,10.01
ben,2005,10.09
ben,2006,10.04
ben,2007,9.99
ben,2008,9.82
ben,2009,9.91
ben,2010,10
ben,2011,9.98
ben,2012,9.97
ben,2013,10.22
ben,2014,10.49
ben,2015,10.81
ben,2016,10.65
ben,2017,11.09
ben,2018,11.33
ben,2019,11.91
bfa,1991,4.28
bfa,1992,4.29
bfa,1993,4.28
bfa,1994,4.28
bfa,1995,4.29
bfa,1996,4.35
bfa,1997,4.52
bfa,1998,4.54
bfa,1999,4.83
bfa,2000,4.87
bfa,2001,4.98
bfa,2002,5.16
bfa,2003,5.63
bfa,2004,5.89
bfa,2005,6.04
bfa,2006,6.41
bfa,2007,7.13
bfa,2008,7.4
bfa,2009,8.2
bfa,2010,9.33
bfa,2011,10.42
bfa,2012,10.96
bfa,2013,11.3
bfa,2014,12.18
bfa,2015,12.51
bfa,2016,13.14
bfa,2017,13.65
bfa,2018,13.93
bfa,2019,14.31
bgd,1991,31.5
bgd,1992,31.55
bgd,1993,31.6
bgd,1994,31.64
bgd,1995,31.76
bgd,1996,31.88
bgd,1997,32.03
bgd,1998,32.25
bgd,1999,32.5
bgd,2000,32.85
bgd,2001,33.25
bgd,2002,33.59
bgd,2003,34.01
bgd,2004,34.47
bgd,2005,35.08
bgd,2006,35.78
bgd,2007,36.27
bgd,2008,36.75
bgd,2009,37.18
bgd,2010,37.66
bgd,2011,38.08
bgd,2012,38.49
bgd,2013,38.83
bgd,2014,39.11
bgd,2015,39.32
bgd,2016,39.4
bgd,2017,39.5
bgd,2018,40.12
bgd,2019,40.73
bgr,1991,84.69
bgr,1992,84.55
bgr,1993,84.39
bgr,1994,84.28
bgr,1995,84.15
bgr,1996,84.1
bgr,1997,83.89
bgr,1998,83.82
bgr,1999,83.57
bgr,2000,83.64
bgr,2001,84.86
bgr,2002,84.89
bgr,2003,84.13
bgr,2004,84.17
bgr,2005,85.96
bgr,2006,86.86
bgr,2007,87.59
bgr,2008,87.6
bgr,2009,87.52
bgr,2010,87.43
bgr,2011,87.89
bgr,2012,88.41
bgr,2013,87.86
bgr,2014,87.51
bgr,2015,87.97
bgr,2016,88.27
bgr,2017,88.1
bgr,2018,88.35
bgr,2019,89.17
bhr,1991,94.47
bhr,1992,94.71
bhr,1993,95.03
bhr,1994,95.21
bhr,1995,95.4
bhr,1996,95.57
bhr,1997,95.73
bhr,1998,95.85
bhr,1999,95.99
bhr,2000,96.17
bhr,2001,96.29
bhr,2002,95.78
bhr,2003,95.88
bhr,2004,95.68
bhr,2005,95.95
bhr,2006,95.91
bhr,2007,96.11
bhr,2008,96.18
bhr,2009,96.27
bhr,2010,97.35
bhr,2011,97.3
bhr,2012,97.29
bhr,2013,97.29
bhr,2014,97.29
bhr,2015,97.31
bhr,2016,97.33
bhr,2017,97.33
bhr,2018,97.32
bhr,2019,97.33
bhs,1991,87.57
bhs,1992,86.76
