geo,time,en_pop_el5m_ru_zs
abw,1990,2.35246
abw,2000,2.35246
abw,2010,2.35112
ago,1990,0.24245
ago,2000,0.24705
ago,2010,0.24116
alb,1990,4.73476
alb,2000,4.86438
alb,2010,4.68815
are,1990,1.649
are,2000,1.68516
are,2010,1.61883
arg,1990,1.03133
arg,2000,1.00868
arg,2010,0.96406
asm,1990,1.54494
asm,2000,1.42054
asm,2010,1.30251
atg,1990,3.12971
atg,2000,3.12979
atg,2010,3.19024
aus,1990,0.89354
aus,2000,0.92844
aus,2010,0.90321
bel,1990,1.2461
bel,2000,1.24104
bel,2010,1.21501
ben,1990,3.20391
ben,2000,3.5074
ben,2010,3.44585
bgd,1990,7.43898
bgd,2000,7.18826
bgd,2010,7.12384
bgr,1990,0.14737
bgr,2000,0.14306
bgr,2010,0.14046
bhr,1990,10.57901
bhr,2000,9.97313
bhr,2010,9.93737
bhs,1990,11.16988
bhs,2000,8.67614
bhs,2010,8.4852
bih,1990,0.06719
bih,2000,0.0618
bih,2010,0.06109
blr,1990,0
blr,2000,0
blr,2010,0
blz,1990,6.82729
blz,2000,7.40914
blz,2010,7.47373
bmu,1990,7.364
bmu,2000,7.364
bmu,2010,7.33353
bra,1990,0.52001
bra,2000,0.52656
bra,2010,0.51239
brb,1990,0.24747
brb,2000,0.24747
brb,2010,0.23679
brn,1990,0.52397
brn,2000,0.55636
brn,2010,0.53609
can,1990,0.39743
can,2000,0.37332
can,2010,0.36909
che,1990,0
che,2000,0
che,2010,0
chl,1990,0.14841
chl,2000,0.14146
chl,2010,0.13795
chn,1990,2.94218
chn,2000,2.48677
chn,2010,2.35033
civ,1990,0.20945
civ,2000,0.23259
civ,2010,0.22839
cmr,1990,0.20233
cmr,2000,0.18435
cmr,2010,0.18056
cod,1990,0.00897
cod,2000,0.01759
cod,2010,0.01743
cog,1990,0.06632
cog,2000,0.0652
cog,2010,0.06346
col,1990,0.41215
col,2000,0.39875
col,2010,0.39208
com,1990,0.59785
com,2000,0.57913
com,2010,0.57936
cpv,1990,2.06016
cpv,2000,2.04184
cpv,2010,1.97957
cri,1990,0.25319
cri,2000,0.24768
cri,2010,0.24224
cub,1990,1.60698
cub,2000,1.48069
cub,2010,1.48484
cym,1990,1.66206
cym,2000,1.67616
cym,2010,1.58287
cyp,1990,0.58574
cyp,2000,0.56698
cyp,2010,0.56017
deu,1990,0.98706
deu,2000,1.0342
deu,2010,1.02863
dji,1990,0.92095
dji,2000,0.95784
dji,2010,0.95417
dma,1990,0.48958
dma,2000,0.47442
dma,2010,0.47478
dnk,1990,5.43774
dnk,2000,5.3307
dnk,2010,5.23039
dom,1990,0.76661
