geo,time,sp_pop_0014_to_zs
abw,1960,43.84719
abw,1961,43.35835
abw,1962,42.92574
abw,1963,42.48876
abw,1964,41.95013
abw,1965,41.2901
abw,1966,40.6896
abw,1967,39.90009
abw,1968,39.01106
abw,1969,38.13473
abw,1970,37.31609
abw,1971,36.08681
abw,1972,35.01504
abw,1973,33.98901
abw,1974,32.86909
abw,1975,31.57756
abw,1976,30.87842
abw,1977,29.90756
abw,1978,28.73401
abw,1979,27.54251
abw,1980,26.51424
abw,1981,25.82925
abw,1982,25.31421
abw,1983,25.00121
abw,1984,24.78516
abw,1985,24.52797
abw,1986,24.86272
abw,1987,24.97695
abw,1988,24.85306
abw,1989,24.64117
abw,1990,24.54746
abw,1991,24.08468
abw,1992,23.8045
abw,1993,23.68559
abw,1994,23.59844
abw,1995,23.42015
abw,1996,23.5625
abw,1997,23.58311
abw,1998,23.49072
abw,1999,23.34813
abw,2000,23.1792
abw,2001,22.91869
abw,2002,22.62296
abw,2003,22.27754
abw,2004,21.88237
abw,2005,21.47334
abw,2006,21.22399
abw,2007,21.0804
abw,2008,21.00574
abw,2009,20.94919
abw,2010,20.87362
abw,2011,20.53094
abw,2012,20.09263
abw,2013,19.59306
abw,2014,19.11172
abw,2015,18.7031
abw,2016,18.25749
abw,2017,17.98018
abw,2018,17.80245
abw,2019,17.62045
abw,2020,17.38194
afg,1960,42.14085
afg,1961,42.45394
afg,1962,42.63735
afg,1963,42.7488
afg,1964,42.85474
afg,1965,42.9818
afg,1966,43.32603
afg,1967,43.63225
afg,1968,43.90514
afg,1969,44.13678
afg,1970,44.32524
afg,1971,44.6715
afg,1972,44.93724
afg,1973,45.13807
afg,1974,45.27967
afg,1975,45.3505
afg,1976,45.62518
afg,1977,45.86664
afg,1978,46.0643
afg,1979,46.18373
afg,1980,46.17975
afg,1981,46.46489
afg,1982,46.72047
afg,1983,46.95762
afg,1984,47.22076
afg,1985,47.57597
afg,1986,47.73805
afg,1987,47.78475
afg,1988,47.80198
afg,1989,47.92694
afg,1990,48.30822
afg,1991,48.21736
afg,1992,48.13079
afg,1993,48.08823
afg,1994,48.02023
afg,1995,47.81874
afg,1996,48.07156
afg,1997,48.33668
afg,1998,48.55481
afg,1999,48.72729
afg,2000,48.89337
afg,2001,48.82266
afg,2002,48.6454
afg,2003,48.41391
afg,2004,48.15414
afg,2005,47.85964
afg,2006,47.98974
afg,2007,48.12623
afg,2008,48.22715
afg,2009,48.25041
afg,2010,48.17815
afg,2011,47.70159
afg,2012,47.08976
afg,2013,46.38667
afg,2014,45.64059
afg,2015,44.87704
afg,2016,44.27211
afg,2017,43.68253
afg,2018,43.09018
afg,2019,42.47227
afg,2020,41.8226
ago,1960,42.13207
ago,1961,42.79076
ago,1962,43.49657
ago,1963,44.09019
ago,1964,44.41917
ago,1965,44.46483
ago,1966,44.54291
ago,1967,44.42691
ago,1968,44.38975
ago,1969,44.67347
ago,1970,45.31191
ago,1971,45.40025
ago,1972,45.69569
ago,1973,46.03869
ago,1974,46.22169
ago,1975,46.17677
ago,1976,46.49227
ago,1977,46.4395
ago,1978,46.21252
ago,1979,46.06747
ago,1980,46.10917
ago,1981,46.27083
ago,1982,46.59858
ago,1983,46.986
ago,1984,47.27256
ago,1985,47.39226
ago,1986,47.62917
ago,1987,47.71097
ago,1988,47.68627
ago,1989,47.62661
ago,1990,47.56257
ago,1991,47.66668
ago,1992,47.71575
ago,1993,47.71845
ago,1994,47.67437
ago,1995,47.58365
ago,1996,47.60024
ago,1997,47.5602
ago,1998,47.47283
ago,1999,47.34894
ago,2000,47.19983
ago,2001,47.18396
ago,2002,47.12711
ago,2003,47.04524
ago,2004,46.95894
ago,2005,46.88402
ago,2006,46.94683
ago,2007,46.99038
ago,2008,47.02225
ago,2009,47.04097
ago,2010,47.04161
ago,2011,47.14453
ago,2012,47.19602
ago,2013,47.20543
ago,2014,47.17716
ago,2015,47.10897
ago,2016,47.05335
ago,2017,46.95302
ago,2018,46.80892
ago,2019,46.62203
ago,2020,46.39536
alb,1960,40.15574
alb,1961,40.54175
alb,1962,40.90083
