global,time,se_prm_rept_ma_zs
world,1970,10.74675
world,1971,10.65226
world,1972,10.62722
world,1973,10.40726
world,1974,10.15249
world,1975,9.97251
world,1976,9.84504
world,1977,9.74755
world,1978,9.68769
world,1979,9.40299
world,1980,9.38752
world,1981,9.11312
world,1982,8.98266
world,1983,8.79247
world,1984,8.55253
world,1985,8.23441
world,1986,8.18866
world,1987,7.87605
world,1988,7.79682
world,1989,7.6816
world,1990,7.4193
world,1991,7.22556
world,1992,6.87046
world,1993,6.51944
world,1994,6.36661
world,1995,6.20445
world,1996,5.88175
world,1997,5.63974
world,1998,5.68916
world,1999,5.54098
world,2000,5.5617
world,2001,5.26644
world,2002,5.32053
world,2003,5.20066
world,2004,5.10184
world,2005,5.0998
world,2006,5.02752
world,2007,5.03158
world,2008,4.92016
world,2009,5.0327
world,2010,4.95702
world,2011,4.84054
world,2012,4.3366
world,2013,4.10244
world,2014,3.78154
world,2015,3.48136
world,2016,3.41432
world,2017,3.43093
world,2018,3.4028
