global,time,sh_tbs_incd
world,2000,174
world,2001,174
world,2002,174
world,2003,174
world,2004,173
world,2005,171
world,2006,169
world,2007,167
world,2008,164
world,2009,161
world,2010,158
world,2011,155
world,2012,152
world,2013,149
world,2014,145
world,2015,142
world,2016,138
world,2017,135
world,2018,133
world,2019,130
world,2020,127
