global,time,sl_tlf_cact_ma_zs
world,1990,79.81442
world,1991,79.6933
world,1992,79.57303
world,1993,79.31892
world,1994,79.12036
world,1995,78.88479
world,1996,78.65897
world,1997,78.49777
world,1998,78.28372
world,1999,78.19025
world,2000,77.98895
world,2001,77.72859
world,2002,77.46782
world,2003,77.24222
world,2004,77.12115
world,2005,76.9475
world,2006,76.70555
world,2007,76.48221
world,2008,76.22692
world,2009,75.84057
world,2010,75.53037
world,2011,75.37133
world,2012,75.12125
world,2013,74.78713
world,2014,74.48858
world,2015,74.25394
world,2016,73.97615
world,2017,73.68386
world,2018,73.4467
world,2019,73.27691
world,2020,71.29698
world,2021,71.68551
