global,time,fb_atm_totl_p5
world,2004,17.945
world,2005,15.4
world,2006,18.95
world,2007,25.67
world,2008,27.23
world,2009,28.845
world,2010,29.76
world,2011,30.145
world,2012,33.005
world,2013,35.43
world,2014,35.41
world,2015,37.175
world,2016,38.33
world,2017,37.745
world,2018,39.41
world,2019,40.75
world,2020,41.24
