geo,time,sp_pop_dpnd
abw,1960,86.32661
abw,1961,84.98965
abw,1962,83.87941
abw,1963,82.78208
abw,1964,81.42457
abw,1965,79.75743
abw,1966,78.33235
abw,1967,76.35889
abw,1968,74.17132
abw,1969,72.15464
abw,1970,70.41717
abw,1971,67.92
abw,1972,65.97704
abw,1973,64.23196
abw,1974,62.23598
abw,1975,59.83188
abw,1976,58.53154
abw,1977,56.61582
abw,1978,54.26195
abw,1979,51.95095
abw,1980,50.06992
abw,1981,48.84241
abw,1982,47.97723
abw,1983,47.48358
abw,1984,47.1783
abw,1985,46.72673
abw,1986,47.58752
abw,1987,47.99914
abw,1988,47.89674
abw,1989,47.60097
abw,1990,47.49982
abw,1991,45.93514
abw,1992,44.8811
abw,1993,44.30312
abw,1994,43.94235
abw,1995,43.53824
abw,1996,43.98782
abw,1997,44.24619
abw,1998,44.3432
abw,1999,44.38028
abw,2000,44.42431
abw,2001,44.25275
abw,2002,44.04731
abw,2003,43.77214
abw,2004,43.40173
abw,2005,42.98906
abw,2006,43.1492
abw,2007,43.49139
abw,2008,43.99648
abw,2009,44.59267
abw,2010,45.26892
abw,2011,45.16771
abw,2012,44.9559
abw,2013,44.69956
abw,2014,44.54752
abw,2015,44.59334
abw,2016,44.63938
abw,2017,45.03944
abw,2018,45.673
abw,2019,46.36662
abw,2020,47.03225
afg,1960,81.61727
afg,1961,82.68868
afg,1962,83.28937
afg,1963,83.60407
afg,1964,83.85384
afg,1965,84.13051
afg,1966,85.33761
afg,1967,86.38758
afg,1968,87.28818
afg,1969,88.00433
afg,1970,88.52577
afg,1971,89.77755
afg,1972,90.71121
afg,1973,91.37867
afg,1974,91.80305
afg,1975,91.94576
afg,1976,92.98886
afg,1977,93.8584
afg,1978,94.5105
afg,1979,94.81592
afg,1980,94.60744
afg,1981,95.76231
afg,1982,96.72381
afg,1983,97.51524
afg,1984,98.28486
afg,1985,99.26418
afg,1986,100.03799
afg,1987,100.31845
afg,1988,100.41994
afg,1989,100.85251
afg,1990,102.1867
afg,1991,101.85583
afg,1992,101.57289
afg,1993,101.49771
afg,1994,101.36167
afg,1995,100.75104
afg,1996,101.77946
afg,1997,102.82176
afg,1998,103.65079
afg,1999,104.27582
afg,2000,104.8564
afg,2001,104.4761
afg,2002,103.67118
afg,2003,102.66324
afg,2004,101.56237
afg,2005,100.34913
afg,2006,100.97094
afg,2007,101.60018
afg,2008,102.07866
afg,2009,102.24901
afg,2010,102.04582
afg,2011,100.22446
afg,2012,97.92595
afg,2013,95.33874
afg,2014,92.64914
afg,2015,89.95409
afg,2016,87.94179
afg,2017,86.00075
afg,2018,84.07766
afg,2019,82.10977
afg,2020,80.08826
ago,1960,82.27888
ago,1961,84.62405
ago,1962,87.12946
ago,1963,89.25607
ago,1964,90.43937
ago,1965,90.57312
ago,1966,90.74842
ago,1967,90.14255
ago,1968,89.69883
ago,1969,90.26559
ago,1970,92.01025
ago,1971,92.4678
ago,1972,93.65197
ago,1973,94.98616
ago,1974,95.68698
ago,1975,95.48807
ago,1976,96.60871
ago,1977,96.31117
ago,1978,95.35414
ago,1979,94.72792
ago,1980,94.82695
ago,1981,95.48261
ago,1982,96.77242
ago,1983,98.29229
ago,1984,99.39787
ago,1985,99.80795
ago,1986,100.70005
ago,1987,100.93206
ago,1988,100.72648
ago,1989,100.40847
ago,1990,100.11823
ago,1991,100.59544
ago,1992,100.86533
ago,1993,100.94698
ago,1994,100.82241
ago,1995,100.4874
ago,1996,100.62949
ago,1997,100.51005
ago,1998,100.17517
ago,1999,99.67863
ago,2000,99.07119
ago,2001,99.0394
ago,2002,98.82302
ago,2003,98.47795
ago,2004,98.07345
ago,2005,97.669
ago,2006,97.82605
ago,2007,97.86665
ago,2008,97.84079
ago,2009,97.76682
ago,2010,97.63771
ago,2011,97.98831
ago,2012,98.14545
ago,2013,98.13046
ago,2014,97.94221
ago,2015,97.56925
ago,2016,97.29459
ago,2017,96.82022
ago,2018,96.17574
ago,2019,95.39404
ago,2020,94.50267
alb,1960,83.71053
alb,1961,84.95448
alb,1962,86.24139
alb,1963,87.43451
alb,1964,88.2875
alb,1965,88.64741
alb,1966,88.84575
alb,1967,88.45908
alb,1968,87.64598
alb,1969,86.63366
alb,1970,85.54684
alb,1971,84.24801
alb,1972,83.0188
alb,1973,81.7423
alb,1974,80.26114
