geo,time,fm_ast_prvt_zg_m3
abw,1987,18.31391
abw,1988,27.50525
abw,1989,13.7356
abw,1990,10.67093
abw,1991,10.68248
abw,1992,5.88807
abw,1993,5.03257
abw,1994,14.4115
abw,1995,5.96173
abw,1996,8.22924
abw,1997,4.89541
abw,1998,4.60604
abw,1999,8.31489
abw,2000,7.43057
abw,2001,4.56312
abw,2002,10.97289
abw,2003,11.27316
abw,2004,3.48864
abw,2005,8.4728
abw,2006,4.05522
abw,2007,3.90867
abw,2008,3.84741
abw,2009,-0.76828
abw,2010,0.8679
abw,2011,2.33076
abw,2012,2.88745
abw,2013,4.14296
abw,2014,3.66084
abw,2015,-0.17616
abw,2016,1.3875
abw,2017,2.70721
abw,2018,2.66877
abw,2019,6.65457
abw,2020,1.29006
afg,1961,-2.5192
afg,1962,-11.19777
afg,1963,-1.11111
afg,1964,3.14993
afg,1965,6.40812
afg,1966,2.02693
afg,1967,0.76476
afg,1968,0.56006
afg,1969,7.30748
afg,1970,5.10421
afg,1971,-4.08815
afg,1972,7.11741
afg,1973,2.26666
afg,1974,6.58794
afg,1975,-1.23272
afg,1976,6.77765
afg,1977,-3.3343
afg,1978,4.43771
afg,1979,9.02552
afg,1980,-0.46999
afg,1981,0.97077
afg,1982,-10.77979
afg,1985,2.3687
afg,1986,2.26126
afg,1987,3.86416
afg,1988,3.18872
afg,1989,1.16197
afg,1990,2.32764
afg,2007,20.12
afg,2008,13.09646
afg,2009,10.78144
afg,2010,9.55306
afg,2011,-16.31747
afg,2012,1.23252
afg,2013,0.94711
afg,2014,-0.76587
afg,2015,0.57611
afg,2016,-0.27311
afg,2017,0.4031
afg,2018,-0.58104
afg,2019,0.17172
afg,2020,0.01253
ago,1996,471.44607
ago,1997,27.78302
ago,1998,-0.13308
ago,1999,56.33412
ago,2000,35.7835
ago,2001,35.39995
ago,2002,38.65247
ago,2003,28.81806
ago,2004,19.70106
ago,2005,18.26092
ago,2006,31.57296
ago,2007,31.94005
ago,2008,30.1404
ago,2009,23.14469
ago,2010,9.69327
ago,2011,16.47713
ago,2012,13.0085
ago,2013,9.55957
ago,2014,0.735
ago,2015,9.83108
ago,2016,-0.8082
ago,2017,-0.40041
ago,2018,4.7711
ago,2019,9.92372
ago,2020,-3.29922
alb,1995,1.77564
alb,1996,2.37823
alb,1997,1.46999
alb,1998,1.00991
alb,1999,1.41137
alb,2000,2.09452
alb,2001,3.0889
alb,2002,1.27929
alb,2003,3.04165
alb,2004,4.35864
alb,2005,10.46219
alb,2006,12.40653
alb,2007,14.15368
alb,2008,12.28072
alb,2009,4.8204
alb,2010,4.89403
alb,2011,4.92512
alb,2012,0.68869
alb,2013,-0.66583
alb,2014,0.91647
alb,2015,-1.2384
alb,2016,0.17103
alb,2017,-0.33954
alb,2018,-0.38992
alb,2019,2.43488
alb,2020,3.60517
are,1974,76.88115
are,1975,38.62149
are,1976,54.21646
are,1977,31.9394
are,1978,22.76392
are,1979,10.55321
are,1980,21.73643
are,1981,20.09555
are,1982,6.22371
are,1983,5.21187
are,1984,-0.22261
are,1985,0.52102
are,1986,5.21965
are,1987,5.26997
are,1988,6.40972
are,1989,6.18282
are,1990,1.28664
are,1991,6.41808
are,1992,4.65505
are,1993,5.72427
are,1994,8.98049
are,1995,10.7318
are,1996,8.81135
are,1997,12.65096
are,1998,13.17758
are,1999,7.95878
are,2000,8.67855
are,2001,8.44773
are,2002,9.73682
are,2003,11.43238
are,2004,20.08006
are,2005,35.06064
are,2006,29.96796
are,2007,36.90804
are,2008,45.46585
are,2009,0.47126
are,2010,0.75849
are,2011,3.49972
are,2012,1.65021
are,2013,3.22895
are,2014,9.49608
are,2015,7.19824
are,2016,5.05554
are,2017,0.62728
are,2018,3.45503
are,2019,0.55502
are,2020,-2.17066
arg,1961,19.78417
arg,1962,7.58123
arg,1963,10.81967
arg,1964,21.42857
arg,1965,16.02787
arg,1966,21.262
arg,1967,18.9781
arg,1968,24.20339
arg,1969,16.09317
arg,1970,12.12785
arg,1971,43.2971
arg,1972,56.66667
arg,1973,44.44444
arg,1974,39.09091
arg,1975,106.47059
arg,1976,212.32558
arg,1977,160.20513
arg,1978,123.0721
arg,1979,160.16676
arg,1980,86.85474
arg,1981,144.53255
arg,1982,264.25636
arg,1983,478.99679
arg,1984,699.96829
arg,1985,407.26605
arg,1986,81.8642
arg,1987,165.30941
arg,1988,337.50807
arg,1989,4501.08696
arg,1990,1444.73772
arg,1991,149.7283
arg,1992,62.9104
arg,1993,25.89752
arg,1994,19.29908
arg,1995,-1.10777
arg,1996,6.37458
arg,1997,14.63728
arg,1998,9.53741
arg,1999,-2.44418
arg,2000,-2.90377
arg,2001,-12.90845
arg,2002,-9.47588
arg,2003,-8.38833
arg,2004,5.44886
arg,2005,10.61801
arg,2006,13.10274
arg,2007,15.22256
arg,2008,9.11867
arg,2009,5.11768
arg,2010,17.30566
arg,2011,21.54308
arg,2012,17.43754
arg,2013,16.9279
arg,2014,11.91053
arg,2015,18.80966
arg,2016,15.17243
arg,2017,23.66537
arm,1993,91.98196
arm,1994,698.50706
arm,1995,70.3165
arm,1996,-1.90092
arm,1997,20.79243
arm,1998,31.75137
arm,1999,16.06439
arm,2000,14.95369
arm,2001,-8.92569
arm,2002,2.07303
arm,2003,-0.00521
arm,2004,17.56088
arm,2005,16.48235
arm,2006,14.83555
arm,2007,39.7063
arm,2008,38.20896
arm,2009,12.29707
arm,2010,24.90958
arm,2011,38.53843
arm,2012,32.62061
arm,2013,16.2669
arm,2014,28.07479
arm,2015,-3.51708
arm,2016,9.36515
arm,2017,17.87168
arm,2018,18.29476
arm,2019,21.47527
arm,2020,17.06935
atg,1976,9.14739
atg,1977,8.84223
atg,1978,6.63545
atg,1979,-4.11787
atg,1980,12.88312
atg,1981,19.6958
atg,1982,3.79976
atg,1983,22.15872
atg,1984,1.66593
atg,1985,14.51829
atg,1986,13.70737
atg,1987,30.09627
atg,1988,12.17794
atg,1989,10.60506
atg,1990,5.73538
atg,1991,7.12701
atg,1992,8.30717
atg,1993,2.30312
atg,1994,-1.35366
atg,1995,10.07895
atg,1996,12.98507
atg,1997,16.33282
atg,1998,6.58331
atg,1999,6.96726
atg,2000,6.74829
atg,2001,2.30507
atg,2002,5.86087
atg,2003,1.7753
atg,2004,0.73291
atg,2005,6.5949
atg,2006,13.06896
atg,2007,9.59049
atg,2008,5.66652
atg,2009,-0.11528
atg,2010,-0.34073
atg,2011,-3.28024
atg,2012,-2.40453
atg,2013,-2.76953
atg,2014,-3.36675
atg,2015,-6.1435
atg,2016,0.09797
atg,2017,-1.72053
atg,2018,0.9911
atg,2019,2.23659
atg,2020,2.43403
aus,1961,-1.04854
aus,1962,2.8221
aus,1963,4.68024
aus,1964,6.11651
aus,1965,6.07001
aus,1966,5.13591
aus,1967,7.02355
aus,1968,5.74382
aus,1969,8.21929
aus,1970,3.08357
aus,1971,6.01032
aus,1972,8.52832
aus,1973,15.38469
aus,1974,10.83028
aus,1975,9.85472
