geo,time,sl_emp_totl_sp_zs
afg,1991,41.867
afg,1992,41.789
afg,1993,41.815
afg,1994,41.779
afg,1995,41.532
afg,1996,41.579
afg,1997,41.624
afg,1998,41.598
afg,1999,41.599
afg,2000,41.618
afg,2001,41.697
afg,2002,41.578
afg,2003,41.72
afg,2004,41.87
afg,2005,41.828
afg,2006,41.78
afg,2007,41.588
afg,2008,41.606
afg,2009,41.452
afg,2010,41.414
afg,2011,41.65
afg,2012,41.634
afg,2013,41.766
afg,2014,41.852
afg,2015,41.921
afg,2016,41.969
afg,2017,42.021
afg,2018,42.093
afg,2019,42.119
afg,2020,36.711
afg,2021,35.893
ago,1991,74.131
ago,1992,74.14
ago,1993,74.123
ago,1994,74.168
ago,1995,74.187
ago,1996,74.204
ago,1997,74.203
ago,1998,74.198
ago,1999,74.187
ago,2000,74.177
ago,2001,74.194
ago,2002,74.216
ago,2003,74.203
ago,2004,74.218
ago,2005,74.23
ago,2006,74.261
ago,2007,74.298
ago,2008,74.325
ago,2009,74.339
ago,2010,69.974
ago,2011,71.629
ago,2012,71.649
ago,2013,71.636
ago,2014,71.626
ago,2015,71.598
ago,2016,71.572
ago,2017,71.556
ago,2018,71.519
ago,2019,71.483
ago,2020,69.802
ago,2021,69.937
alb,1991,58.325
alb,1992,45.978
alb,1993,48.397
alb,1994,50.621
alb,1995,53.607
alb,1996,53.358
alb,1997,52.301
alb,1998,49.688
alb,1999,48.387
alb,2000,49.045
alb,2001,48.801
alb,2002,48.943
alb,2003,48.608
alb,2004,48.118
alb,2005,47.416
alb,2006,46.701
alb,2007,45.606
alb,2008,46.243
alb,2009,47.473
alb,2010,47.422
alb,2011,51.86
alb,2012,49.365
alb,2013,44.101
alb,2014,43.778
alb,2015,45.96
alb,2016,48.473
alb,2017,50.152
alb,2018,52.006
alb,2019,53.392
alb,2020,50.089
alb,2021,51.609
are,1991,73.179
are,1992,73.416
are,1993,73.736
are,1994,73.776
are,1995,73.778
are,1996,73.943
are,1997,74.12
are,1998,74.237
are,1999,74.411
are,2000,74.618
are,2001,74.663
are,2002,74.772
are,2003,74.919
are,2004,75.024
are,2005,75.082
are,2006,75.508
are,2007,75.841
are,2008,76.225
are,2009,76.547
are,2010,76.978
are,2011,77.392
are,2012,77.755
are,2013,78.135
are,2014,78.507
are,2015,78.885
are,2016,79.249
are,2017,78.783
are,2018,77.337
are,2019,77.415
are,2020,73.273
are,2021,73.861
arg,1991,56.696
arg,1992,56.835
arg,1993,55.257
arg,1994,54.69
arg,1995,49.937
arg,1996,51.381
arg,1997,53.456
arg,1998,55.085
arg,1999,53.749
arg,2000,52.968
arg,2001,50.984
arg,2002,48.397
arg,2003,51.677
arg,2004,53.566
arg,2005,54.43
arg,2006,55.571
arg,2007,55.941
arg,2008,55.692
arg,2009,55.523
arg,2010,55.549
arg,2011,56.295
arg,2012,56.002
arg,2013,55.703
arg,2014,55.119
arg,2015,54.776
arg,2016,54.233
arg,2017,53.899
arg,2018,54.105
arg,2019,54.357
arg,2020,49.6
arg,2021,53.815
arm,1991,52.485
arm,1992,52.379
arm,1993,50.512
arm,1994,49.818
arm,1995,49.765
arm,1996,48.378
arm,1997,47.578
arm,1998,48.325
arm,1999,47.365
arm,2000,47.446
arm,2001,47.518
arm,2002,47.591
arm,2003,47.688
arm,2004,47.821
arm,2005,47.897
arm,2006,48.006
arm,2007,48.106
arm,2008,45.395
arm,2009,43.798
arm,2010,45.581
arm,2011,47.019
arm,2012,47.908
arm,2013,48.792
arm,2014,47.462
arm,2015,46.477
arm,2016,45.91
arm,2017,45.619
arm,2018,43.084
arm,2019,44.195
arm,2020,40.392
arm,2021,41.066
aus,1991,57.091
aus,1992,56.115
aus,1993,55.662
aus,1994,56.813
aus,1995,58.158
aus,1996,58.114
aus,1997,57.843
aus,1998,58.162
