geo,time,se_sec_cmpt_lo_zs
abw,1999,93.61702
abw,2000,94.82625
abw,2001,98.26677
abw,2002,97.13866
abw,2003,89.52583
abw,2004,87.55948
abw,2005,87.59028
abw,2007,89.02208
abw,2009,96.19109
abw,2013,101.5457
abw,2014,99.25726
afg,1973,9.605
afg,1974,8.40973
afg,1977,6.96338
afg,1978,9.3328
afg,1980,13.49531
afg,1981,16.14678
afg,1982,10.74382
afg,1984,12.79841
afg,1985,13.18999
afg,1993,17.86446
afg,2005,16.02894
afg,2016,50.69407
afg,2017,53.07514
afg,2018,55.34642
afg,2019,58.30585
ago,1982,2.73674
ago,2008,17.37348
ago,2009,17.66576
ago,2011,20.73882
alb,1996,89.97762
alb,2000,81.6277
alb,2001,87.75084
alb,2003,86.46875
alb,2007,91.59715
alb,2008,91.07324
alb,2009,89.91285
alb,2010,94.40544
alb,2011,93.7547
alb,2012,93.73105
alb,2013,94.05895
alb,2014,94.38111
alb,2015,99.15678
alb,2017,88.16437
alb,2018,96.33482
alb,2019,92.82399
alb,2020,92.70282
are,1974,15.07419
are,1975,15.16791
are,1976,21.58416
are,1977,25.70334
are,1978,28.80373
are,1980,33.61711
are,1982,59.24751
are,1983,65.41907
are,1984,67.22729
are,1985,67.78955
are,1986,63.16625
are,1987,56.1032
are,1988,54.65318
are,1989,59.03654
are,1990,61.80738
are,1991,64.90965
are,1992,68.89767
are,1993,72.39841
are,1994,80.97178
are,1995,82.119
are,1997,78.9952
are,2000,82.24513
are,2001,79.4172
are,2002,76.60997
are,2003,78.01007
are,2004,83.16546
are,2005,81.3934
are,2006,79.34047
are,2007,74.34957
are,2009,84.40307
are,2010,84.43388
are,2011,84.51414
are,2012,73.0253
are,2013,74.91853
are,2014,81.70573
are,2019,101.90992
are,2020,96.85859
arg,1970,16.83986
arg,1971,16.04871
arg,1974,17.35644
arg,1975,18.04843
arg,1999,80.33261
arg,2000,85.19104
arg,2001,85.56632
arg,2002,85.19427
arg,2003,80.87043
arg,2004,79.16549
arg,2005,80.16696
arg,2006,76.5989
arg,2007,74.76325
arg,2008,76.43555
arg,2009,77.73371
arg,2010,81.54738
arg,2011,85.26944
arg,2012,86.21025
arg,2013,88.45621
