global,time,fp_cpi_totl_zg
world,1981,12.47161
world,1982,10.24027
world,1983,8.77115
world,1984,8.1164
world,1985,6.85681
world,1986,5.82267
world,1987,5.75646
world,1988,7.1461
world,1989,6.99909
world,1990,8.12742
world,1991,8.99847
world,1992,7.71392
world,1993,7.50539
world,1994,10.3172
world,1995,9.15385
world,1996,6.55097
world,1997,5.57226
world,1998,5.11025
world,1999,3.0795
world,2000,3.49446
world,2001,3.83828
world,2002,2.83442
world,2003,3.03197
world,2004,3.38265
world,2005,4.11218
world,2006,4.2824
world,2007,4.81677
world,2008,8.95297
world,2009,2.93623
world,2010,3.35476
world,2011,4.8224
world,2012,3.72533
world,2013,2.62105
world,2014,2.34627
world,2015,1.43432
world,2016,1.55002
world,2017,2.19201
world,2018,2.43874
world,2019,2.20607
world,2020,1.90566
world,2021,3.42363
