geo,time,nv_srv_empl_kd
afg,2002,2156.04112
afg,2003,2245.46185
afg,2004,2388.09224
afg,2005,2365.93292
afg,2006,2422.68215
afg,2007,2765.20346
afg,2008,3056.54574
afg,2009,3397.72123
afg,2010,3756.49076
afg,2011,3839.81393
afg,2012,4015.91775
afg,2013,3990.0822
afg,2014,3849.81681
afg,2015,3644.98344
afg,2016,3454.68682
afg,2017,3198.07723
afg,2018,3104.18059
afg,2019,2907.2169
ago,2002,6164.29212
ago,2003,6267.63444
ago,2004,6490.1141
ago,2005,7017.50023
ago,2006,7617.25857
ago,2007,8026.17484
ago,2008,9070.81342
ago,2009,9924.65341
ago,2010,11450.43694
ago,2011,12652.25952
ago,2012,12893.48405
ago,2013,13362.38745
ago,2014,14123.28221
ago,2015,12912.82123
ago,2016,11752.52285
ago,2017,11406.41264
ago,2018,10955.54056
ago,2019,10579.3415
alb,1996,2980.69151
alb,1997,2593.58487
alb,1998,7063.64839
alb,1999,7884.0723
alb,2000,7628.95805
alb,2001,8155.19748
alb,2002,8369.67315
alb,2003,8364.40555
alb,2004,8702.26257
alb,2005,9194.62986
alb,2006,9598.78503
alb,2007,10284.09576
alb,2008,10525.92988
alb,2009,11723.81436
alb,2010,11657.58338
alb,2011,11128.74393
alb,2012,11653.8608
alb,2013,12110.90595
alb,2014,12577.40177
alb,2015,12196.90035
alb,2016,12043.24686
alb,2017,11785.116
alb,2018,11345.53608
alb,2019,11844.28191
are,2001,75490.24009
are,2002,77327.27996
are,2003,78041.65476
are,2004,75990.1945
are,2005,70530.87584
are,2006,62620.37324
are,2007,59155.652
are,2008,51918.41585
are,2009,43706.07591
are,2010,39805.2356
are,2011,39767.42309
are,2012,40996.61859
are,2013,43606.0003
are,2014,46647.9185
are,2015,48528.28915
are,2016,49976.10379
are,2017,52077.32944
are,2018,51523.00178
are,2019,51207.26002
arg,1991,17911.16952
arg,1992,18813.44262
arg,1993,19812.1518
arg,1994,20726.72336
arg,1995,21345.56417
arg,1996,21099.59159
arg,1997,21831.23036
arg,1998,21668.92892
arg,1999,20972.89509
arg,2000,20696.67118
arg,2001,19949.80564
arg,2002,18047.49723
arg,2003,17920.29947
arg,2004,18558.92871
arg,2005,19714.32659
arg,2006,20732.12672
arg,2007,22290.56663
arg,2008,23294.0822
arg,2009,22333.50898
arg,2010,23747.03881
arg,2011,24676.65536
arg,2012,24459.73082
arg,2013,24776.52725
arg,2014,24361.66647
arg,2015,24393.60548
arg,2016,23782.04273
arg,2017,23926.09775
arg,2018,23247.14925
arg,2019,22314.60088
arm,1991,1760.15581
arm,1992,2852.80034
arm,1993,2348.97616
arm,1994,2616.90775
arm,1995,3082.69635
arm,1996,3369.64895
arm,1997,3602.03096
arm,1998,3691.00953
arm,1999,3906.20646
arm,2000,3644.676
arm,2001,3946.02939
arm,2002,4536.36148
arm,2003,5036.73013
arm,2004,5619.82466
arm,2005,6465.52731
arm,2006,7776.99986
arm,2007,8468.68073
arm,2008,9416.89376
arm,2009,9247.13105
arm,2010,9546.34942
arm,2011,9011.16511
arm,2012,9156.58486
arm,2013,8892.27867
arm,2014,9387.46304
arm,2015,9601.89344
arm,2016,9710.27882
arm,2017,10576.10265
arm,2018,12381.20348
arm,2019,13797.01532
aus,2015,98656.7468
aut,1991,72311.46863
aut,1992,72274.06334
aut,1993,71754.45766
aut,1994,69725.10867
aut,1995,71695.13642
aut,1996,72379.4265
aut,1997,72769.87026
aut,1998,74991.13936
aut,1999,76153.66179
aut,2000,78991.06702
aut,2001,78571.89391
aut,2002,78960.11611
aut,2003,78757.17898
aut,2004,80499.15061
aut,2005,81246.59122
aut,2006,83607.28299
aut,2007,83413.7672
aut,2008,82151.66965
aut,2009,79973.9307
aut,2010,80175.43505
aut,2011,82638.22376
aut,2012,81996.49518
aut,2013,81318.29728
aut,2014,82093.42954
aut,2015,81895.41668
aut,2016,81541.25393
aut,2017,80882.13098
aut,2018,81768.8908
aut,2019,82115.66066
aze,1992,3847.75254
aze,1993,3259.36171
aze,1994,3066.68148
aze,1995,2698.09081
aze,1996,2524.50859
aze,1997,2561.01939
aze,1998,2588.84642
aze,1999,2980.80415
aze,2000,3074.81656
aze,2001,3345.91106
aze,2002,3598.28885
aze,2003,3835.9458
aze,2004,4100.18055
aze,2005,4302.57735
aze,2006,5053.3031
aze,2007,5518.4391
aze,2008,6200.88412
aze,2009,6431.36813
aze,2010,7059.16576
aze,2011,7470.73493
aze,2012,7977.89038
aze,2013,8426.60152
aze,2014,9020.14269
aze,2015,9389.99633
aze,2016,9137.41917
aze,2017,9472.72214
aze,2018,9889.12517
aze,2019,10215.38439
bdi,1997,7889.5233
bdi,1998,7531.496
bdi,1999,7551.10703
bdi,2000,6771.92315
bdi,2001,5941.11796
bdi,2002,5183.02772
bdi,2003,4568.13592
bdi,2004,3963.37079
bdi,2005,3622.08658
bdi,2006,3594.21849
bdi,2007,3899.40639
bdi,2008,3844.80904
bdi,2009,3766.03012
bdi,2010,3692.27166
bdi,2011,3686.80709
bdi,2012,3673.73467
bdi,2013,3519.83977
bdi,2014,3577.06033
bdi,2015,3498.03953
bdi,2016,3399.29359
bdi,2017,3307.8028
bdi,2018,3182.14806
bdi,2019,3073.87364
bel,1995,82549.09677
bel,1996,82366.72596
bel,1997,83674.53846
bel,1998,84047.11511
bel,1999,82887.22375
bel,2000,81983.58481
bel,2001,84228.57332
bel,2002,86611.69113
bel,2003,86812.54955
bel,2004,87742.72786
bel,2005,87514.02122
bel,2006,89432.9135
bel,2007,89549.68832
bel,2008,89662.29241
bel,2009,87660.59121
bel,2010,87932.78135
bel,2011,88864.43815
bel,2012,88112.97266
bel,2013,88748.75475
bel,2014,88990.77948
bel,2015,90332.45411
bel,2016,90870.14003
bel,2017,90363.08379
bel,2018,90668.65096
bel,2019,90392.33216
ben,1991,2861.24113
ben,1992,2826.61644
ben,1993,2835.794
ben,1994,2735.30886
ben,1995,2788.92133
ben,1996,2738.43685
ben,1997,2784.37419
ben,1998,2780.04014
ben,1999,2814.95316
ben,2000,3016.93781
ben,2001,3088.85305
ben,2002,3021.68786
ben,2003,3043.64661
ben,2004,2986.08418
ben,2005,2996.61857
ben,2006,3021.01888
ben,2007,3115.51168
ben,2008,3357.29889
ben,2009,3213.34203
ben,2010,3160.02316
ben,2011,3347.8194
ben,2012,3371.64195
ben,2013,3485.67934
ben,2014,3479.38823
ben,2015,3332.70258
ben,2016,3237.7251
ben,2017,3251.9873
ben,2018,3268.64168
ben,2019,3272.67097
bfa,1991,5667.16489
bfa,1992,5340.29411
bfa,1993,5092.26217
bfa,1994,4610.585
bfa,1995,4426.5293
bfa,1996,4449.32454
bfa,1997,4279.68227
bfa,1998,3914.47094
bfa,1999,3478.38892
bfa,2000,3421.61511
bfa,2001,3275.30091
bfa,2002,3142.55929
bfa,2003,2918.01262
bfa,2004,2841.47151
bfa,2005,2776.88048
bfa,2006,2742.71492
bfa,2007,2584.03349
bfa,2008,2418.20427
bfa,2009,2356.64367
bfa,2010,2208.61964
bfa,2011,2176.82278
bfa,2012,2203.528
bfa,2013,2187.92989
bfa,2014,2182.57575
bfa,2015,2091.98347
bfa,2016,2027.42449
bfa,2017,1962.17667
bfa,2018,1863.89042
bfa,2019,1915.40047
bgd,1991,5285.02193
bgd,1992,4919.48205
bgd,1993,4563.8027
bgd,1994,4246.19495
bgd,1995,3966.95356
bgd,1996,3686.70346
bgd,1997,3792.97626
bgd,1998,3903.72111
bgd,1999,4008.85136
bgd,2000,4140.84897
bgd,2001,3957.90805
bgd,2002,3776.57489
bgd,2003,3611.48438
bgd,2004,3459.06077
bgd,2005,3351.26085
bgd,2006,3263.60785
bgd,2007,3476.75634
bgd,2008,3688.89607
bgd,2009,3906.51323
bgd,2010,4055.58115
bgd,2011,4205.59815
bgd,2012,4379.67121
bgd,2013,4518.2273
bgd,2014,4644.11091
bgd,2015,4786.10188
bgd,2016,4956.10597
bgd,2017,4723.07452
bgd,2018,4822.13905
bgd,2019,4973.30419
bgr,1991,21637.59892
bgr,1992,15309.85945
bgr,1993,15072.4187
bgr,1994,14268.68086
bgr,1995,14492.51439
bgr,1996,14819.72202
bgr,1997,10739.36802
bgr,1998,11722.14923
bgr,1999,10045.96051
bgr,2000,10609.04556
bgr,2001,10513.33244
bgr,2002,11629.2046
bgr,2003,11584.41197
bgr,2004,11832.75316
bgr,2005,12766.02108
bgr,2006,12951.21321
bgr,2007,13435.58392
bgr,2008,13636.80058
bgr,2009,13886.55808
bgr,2010,15081.11476
bgr,2011,15474.39685
bgr,2012,15432.99778
bgr,2013,15108.63846
bgr,2014,15193.53973
bgr,2015,15494.60827
bgr,2016,15913.95897
bgr,2017,15964.81263
bgr,2018,16808.52741
bgr,2019,17125.65256
bhr,2006,33982.9751
bhr,2007,34212.27254
bhr,2008,34001.28789
bhr,2009,32730.27656
bhr,2010,33149.77304
bhr,2011,33132.00009
bhr,2012,35064.20791
bhr,2013,35805.33512
bhr,2014,36971.32386
bhr,2015,37165.02208
bhr,2016,37031.18885
bhr,2017,37322.98118
bhr,2018,35824.84009
bhr,2019,33255.56622
bhs,1991,78282.90048
bhs,1992,80409.92364
bhs,1993,75895.60851
bhs,1994,76038.72674
bhs,1995,75953.37402
bhs,1996,79306.88892
bhs,1997,63699.99807
bhs,1998,63380.61305
bhs,1999,70508.61139
bhs,2000,70134.76833
bhs,2001,71775.76289
bhs,2002,72490.89456
bhs,2003,68903.92419
bhs,2004,70295.19467
bhs,2005,72113.19063
bhs,2006,66988.14259
bhs,2007,69062.80305
bhs,2008,64175.27023
bhs,2009,64187.73329
bhs,2010,63080.3477
bhs,2011,61441.95763
bhs,2012,60454.8448
bhs,2013,59951.31418
bhs,2014,58768.33473
bhs,2015,57774.59642
bhs,2016,58156.01872
bhs,2017,55969.99069
bhs,2018,55922.5806
bhs,2019,54989.80883
bih,2005,15914.47242
bih,2006,16673.98848
bih,2007,17159.39356
bih,2008,16527.6076
bih,2009,16313.11977
bih,2010,16298.86687
bih,2011,16250.70357
bih,2012,17407.75717
bih,2013,16922.93496
bih,2014,16727.83621
bih,2015,17805.68436
bih,2016,18212.20672
bih,2017,17743.32123
bih,2018,17727.92298
bih,2019,18432.01127
blr,1991,6149.54237
blr,1992,5341.85699
blr,1993,5056.95219
blr,1994,5350.40768
blr,1995,4780.99639
blr,1996,5247.44464
blr,1997,5417.98141
blr,1998,5703.56187
blr,1999,5959.63035
blr,2000,6094.41947
blr,2001,6337.70146
blr,2002,6374.17441
blr,2003,6491.30205
blr,2004,6787.3479
blr,2005,7175.83815
blr,2006,7616.65531
blr,2007,7815.33998
blr,2008,8052.3715
blr,2009,8000.08492
blr,2010,8634.51894
blr,2011,9227.72355
blr,2012,9055.91067
blr,2013,9508.95659
blr,2014,9717.68221
blr,2015,9471.73541
blr,2016,9297.44311
blr,2017,9458.72686
blr,2018,9741.61067
blr,2019,9956.33757
blz,1991,11171.59741
blz,1992,12274.72381
blz,1993,12742.85767
blz,1994,12652.01189
blz,1995,13071.89389
blz,1996,13040.32407
blz,1997,13243.12817
blz,1998,12266.73422
blz,1999,12682.75835
blz,2000,12882.38185
blz,2001,12588.07667
blz,2002,12804.27873
blz,2003,13053.17432
blz,2004,12772.39201
blz,2005,12504.87861
blz,2006,12138.47512
blz,2007,12130.3696
blz,2008,11798.65325
blz,2009,11414.94818
blz,2010,11377.93753
blz,2011,11096.11651
blz,2012,10908.75972
blz,2013,10586.09711
blz,2014,10528.9181
blz,2015,10727.91479
blz,2016,11015.93499
blz,2017,10852.12912
blz,2018,10717.42807
blz,2019,10650.40519
bol,1991,5160.7849
bol,1992,5231.38029
bol,1993,5279.45548
bol,1994,5319.20024
bol,1995,5316.71955
bol,1996,5413.42474
bol,1997,5621.3083
bol,1998,5779.02661
bol,1999,5791.39751
bol,2000,5577.70494
bol,2001,5832.61682
bol,2002,5783.39215
bol,2003,5108.37157
bol,2004,5079.30632
bol,2005,5335.22603
bol,2006,5261.73284
bol,2007,5310.87548
bol,2008,4881.07725
bol,2009,4971.9965
bol,2010,5096.45503
bol,2011,5203.36548
bol,2012,5328.76082
bol,2013,5606.79814
bol,2014,5875.23729
bol,2015,6403.45801
bol,2016,6598.00783
bol,2017,6657.83375
bol,2018,6583.75001
bol,2019,6578.87788
bra,1991,17272.22654
bra,1992,16833.78937
bra,1993,16614.74327
bra,1994,16618.43591
bra,1995,16379.55236
bra,1996,16865.93653
bra,1997,16811.61138
bra,1998,16585.42929
bra,1999,16375.77096
bra,2000,16372.95956
bra,2001,16165.0112
bra,2002,16240.98216
bra,2003,16070.4089
bra,2004,16358.93951
bra,2005,16525.14599
bra,2006,16608.02511
bra,2007,17246.06826
bra,2008,17610.05012
bra,2009,17729.25985
bra,2010,18356.9904
bra,2011,18598.52519
bra,2012,18747.47716
bra,2013,18856.75371
bra,2014,18537.01704
bra,2015,17849.56472
bra,2016,17564.58869
bra,2017,17372.41992
bra,2018,17288.34647
bra,2019,17104.58058
brn,1991,29692.90272
brn,1992,29815.52794
brn,1993,29591.62807
brn,1994,29093.51056
brn,1995,28973.77247
brn,1996,27735.0842
brn,1997,28702.64522
brn,1998,27454.33367
brn,1999,26527.11391
brn,2000,25999.77685
brn,2001,26974.27662
brn,2002,26913.99606
brn,2003,26526.02542
brn,2004,26296.26131
brn,2005,26562.06136
brn,2006,28046.29122
brn,2007,30293.99823
brn,2008,30361.91992
brn,2009,30565.56048
brn,2010,31015.33062
brn,2011,31719.60878
brn,2012,32850.00117
brn,2013,33887.30781
brn,2014,33557.42079
brn,2015,32732.02439
brn,2016,31827.13666
brn,2017,31861.35151
brn,2018,31989.98807
brn,2019,33847.45382
btn,1991,2372.91617
btn,1992,2360.17641
btn,1993,2497.4757
btn,1994,2547.66736
btn,1995,2651.61124
btn,1996,2909.47211
btn,1997,3123.26426
btn,1998,3331.41629
btn,1999,3395.12396
btn,2000,3623.9396
btn,2001,3659.5111
btn,2002,3718.17541
btn,2003,3847.30139
btn,2004,4067.18218
btn,2005,4450.87692
btn,2006,4605.49068
btn,2007,4668.9442
btn,2008,4644.61795
btn,2009,4991.01051
btn,2010,5405.83805
btn,2011,6778.30745
btn,2012,6614.35186
btn,2013,6377.79315
btn,2014,6950.87839
btn,2015,7034.94257
btn,2016,7412.40595
btn,2017,7617.0816
btn,2018,8010.2141
btn,2019,8710.76649
bwa,1991,7959.50955
bwa,1992,8425.25299
bwa,1993,9234.47069
bwa,1994,10255.36629
bwa,1995,10913.22907
bwa,1996,11585.96354
bwa,1997,12131.14957
bwa,1998,12339.43215
bwa,1999,12670.48776
bwa,2000,11770.21257
bwa,2001,12310.5603
bwa,2002,13219.45896
bwa,2003,13993.0388
bwa,2004,13075.3093
bwa,2005,12789.48481
bwa,2006,13199.63031
bwa,2007,13839.7758
bwa,2008,14537.22971
bwa,2009,14629.67712
bwa,2010,16505.17044
bwa,2011,16416.27801
bwa,2012,16349.3698
bwa,2013,16834.97747
bwa,2014,17513.42704
bwa,2015,17329.42098
bwa,2016,17898.74661
bwa,2017,18158.84109
bwa,2018,18222.3202
bwa,2019,18366.90796
caf,2009,2009.6527
caf,2010,2110.37231
caf,2011,2158.76562
caf,2012,2172.03623
caf,2013,1842.01685
caf,2014,1895.52771
caf,2015,1924.76763
caf,2016,1920.11957
caf,2017,1950.28171
caf,2018,1951.85413
caf,2019,1930.52616
can,1997,62093.17712
can,1998,63095.61207
can,1999,64255.50619
can,2000,65746.20597
can,2001,66156.19081
can,2002,67005.37147
can,2003,66526.96333
can,2004,67494.96093
can,2005,68612.1328
can,2006,69380.02711
can,2007,69192.17661
can,2008,68894.502
can,2009,68550.6518
can,2010,69012.34006
can,2011,70117.734
can,2012,70627.72392
can,2013,71028.63012
can,2014,72271.5509
can,2015,72581.29204
can,2016,72943.65457
can,2017,73334.14618
can,2018,74017.09931
can,2019,73930.03817
che,1991,127555.46718
che,1992,125815.60304
che,1993,125210.15557
che,1994,126828.18047
che,1995,128895.52904
che,1996,126009.34247
che,1997,128493.96773
che,1998,130462.44146
che,1999,130548.95966
che,2000,136739.78323
che,2001,134096.63573
che,2002,131172.39572
che,2003,129737.49583
che,2004,133424.49197
che,2005,136324.69595
che,2006,138935.79962
che,2007,141850.26356
che,2008,142051.00742
che,2009,139348.63277
che,2010,145481.31745
che,2011,142407.40407
che,2012,142779.95373
che,2013,144290.90096
che,2014,145189.80652
che,2015,145106.55516
che,2016,145416.67753
che,2017,144832.64577
che,2018,146569.33597
che,2019,145914.50335
chl,1991,14147.61341
chl,1992,15022.0291
chl,1993,15339.78093
chl,1994,15575.36034
chl,1995,16357.42535
chl,1996,17770.78903
chl,1997,18436.62433
chl,1998,18393.52548
chl,1999,18456.58891
chl,2000,19053.79332
chl,2001,19656.74911
chl,2002,20053.27091
chl,2003,20278.1116
chl,2004,21179.223
chl,2005,21545.07924
chl,2006,22369.66571
chl,2007,23098.1871
chl,2008,23370.55663
chl,2009,23123.16522
chl,2010,23060.27315
chl,2011,23781.30934
chl,2012,24747.93467
chl,2013,25027.49589
chl,2014,25167.521
chl,2015,25312.54085
chl,2016,25573.88804
chl,2017,25282.09287
chl,2018,25600.61743
chl,2019,25591.98953
chn,1991,4400.98309
chn,1992,4653.11691
chn,1993,4803.54744
chn,1994,4861.89985
chn,1995,4905.31145
chn,1996,5024.25129
chn,1997,5406.15557
chn,1998,5746.27126
chn,1999,6180.3246
chn,2000,6559.37662
chn,2001,7177.7238
chn,2002,7647.41628
chn,2003,8129.60701
chn,2004,8491.04535
chn,2005,9236.71033
chn,2006,10210.84535
chn,2007,11716.98024
chn,2008,12635.1681
chn,2009,13472.30715
chn,2010,14523.24778
chn,2011,15352.22218
chn,2012,16358.59275
chn,2013,16562.64205
chn,2014,16976.38131
chn,2015,17728.18077
chn,2016,18568.03319
chn,2017,19449.78523
chn,2018,20689.8981
chn,2019,21526.77939
civ,2008,7065.47429
civ,2009,7287.9012
civ,2010,7615.84835
civ,2011,6965.16865
civ,2012,7947.75381
civ,2013,7787.27048
civ,2014,8084.88486
civ,2015,6801.25413
civ,2016,7363.00016
civ,2017,7643.38814
civ,2018,7742.81723
civ,2019,7861.84903
cmr,1991,7395.01475
cmr,1992,6386.41019
cmr,1993,4873.83281
cmr,1994,4834.69331
cmr,1995,4952.08015
cmr,1996,5025.11321
cmr,1997,5096.29371
cmr,1998,5029.57788
cmr,1999,5186.32852
cmr,2000,5073.73893
cmr,2001,5249.44211
cmr,2002,5117.42181
cmr,2003,5230.16863
cmr,2004,5338.58435
cmr,2005,4852.04711
cmr,2006,4663.47523
cmr,2007,4613.70364
cmr,2008,4730.96173
cmr,2009,4718.01952
cmr,2010,4776.1425
cmr,2011,4638.75642
cmr,2012,4525.43822
cmr,2013,4398.94123
cmr,2014,4301.60997
cmr,2015,4220.28445
cmr,2016,4215.20133
cmr,2017,4193.21327
cmr,2018,4173.10979
cmr,2019,4105.30375
cod,1991,3764.66158
cod,1992,3774.44107
cod,1993,2874.26689
cod,1994,2587.48747
cod,1995,2562.96809
cod,1996,2418.1191
cod,1997,2307.47291
cod,1998,2295.58952
cod,1999,2023.59434
cod,2000,1651.32874
cod,2001,1603.35921
cod,2002,1614.4155
cod,2003,1706.02126
cod,2004,1771.07008
cod,2005,1744.49168
cod,2006,1795.82119
cod,2007,1939.67304
cod,2008,2054.37493
cod,2009,2087.5779
cod,2010,1923.56072
cod,2011,1882.467
cod,2012,1943.29294
cod,2013,1981.43343
cod,2014,1997.28695
cod,2015,2064.54118
cod,2016,2064.33039
cod,2017,2025.90719
cod,2018,1946.45346
cod,2019,1957.18017
cog,1991,9636.9851
cog,1992,9411.20811
cog,1993,8762.22043
cog,1994,7779.19953
cog,1995,7630.81205
cog,1996,7533.03746
cog,1997,6203.89224
cog,1998,6037.73839
cog,1999,5262.07188
cog,2000,5759.21254
cog,2001,6167.87735
cog,2002,6319.86781
cog,2003,6331.59172
cog,2004,6299.42549
cog,2005,6173.15397
cog,2006,6343.60367
cog,2007,6730.00915
cog,2008,6227.53582
cog,2009,5740.50551
cog,2010,5536.03969
cog,2011,5759.44278
cog,2012,6404.04313
cog,2013,6483.18497
cog,2014,6620.27566
cog,2015,6204.64812
cog,2016,5822.03576
cog,2017,5058.33313
cog,2018,4631.21317
cog,2019,4374.67577
col,1991,8221.39604
col,1992,8379.26128
col,1993,8481.72119
col,1994,8908.1078
col,1995,9291.19272
col,1996,10006.60489
col,1997,10223.69523
col,1998,10294.02283
col,1999,10295.48497
col,2000,10233.50339
col,2001,9470.63796
col,2002,9517.68613
col,2003,9362.97495
col,2004,9756.46453
col,2005,9865.51585
col,2006,10330.21512
col,2007,10854.32594
col,2008,10876.83174
col,2009,10454.74652
col,2010,10493.01894
col,2011,10762.20963
col,2012,10780.01582
col,2013,10831.30819
col,2014,11120.92695
col,2015,11190.76495
col,2016,11263.28757
col,2017,11476.65729
col,2018,11899.13693
col,2019,12302.90652
com,1991,11313.46993
com,1992,11818.69968
com,1993,11727.39251
com,1994,10717.16126
com,1995,10660.93119
com,1996,10131.40097
com,1997,10108.39075
com,1998,9823.76231
com,1999,9595.44192
com,2000,10073.42094
com,2001,9835.97609
com,2002,9589.42382
com,2003,9323.19699
com,2004,9022.96636
com,2005,8637.9331
com,2006,8265.26586
com,2007,7807.23615
com,2008,7660.62122
