global,time,se_prm_gint_zs
world,1970,104.5877
world,1971,104.9975
world,1972,105.6651
world,1973,106.4923
world,1974,106.7895
world,1975,108.3914
world,1976,109.0954
world,1977,109.842
world,1978,109.2445
world,1979,110.6363
world,1980,110.0135
world,1981,110.2451
world,1982,109.3727
world,1983,110.9714
world,1984,111.7929
world,1985,111.7345
world,1986,110.7118
world,1987,108.5478
world,1988,107.9866
world,1989,106.3015
world,1990,107.161
world,1991,104.2387
world,1992,103.6924
world,1993,104.2451
world,1994,103.829
world,1995,104.2677
world,1996,104.1699
world,1997,104.831
world,1998,104.8569
world,1999,104.7192
world,2000,106.4287
world,2001,107.6345
world,2002,109.2728
world,2003,111.658
world,2004,110.7473
world,2005,111.5435
world,2006,110.7035
world,2007,111.318
world,2008,111.4109
world,2009,107.9725
world,2010,108.6907
world,2011,107.9767
world,2012,107.1712
world,2013,106.5591
world,2014,105.696
world,2015,105.4874
world,2016,106.2175
world,2017,104.8531
world,2018,105.1222
