geo,time,sp_reg_brth_ur_zs
afg,2003,11.5
afg,2011,60
afg,2015,63.5
ago,2001,39.9
ago,2016,32.9
alb,2005,97
alb,2009,99
alb,2018,98.5
arm,2005,97.1
arm,2010,99.3
arm,2016,99.1
aze,2006,95.5
bdi,2005,62.2
bdi,2010,86.6
bdi,2017,90.3
ben,2006,62.6
ben,2012,86.9
ben,2014,88
ben,2018,91.2
bfa,2006,85.9
bfa,2010,92.9
bgd,2006,12.8
bgd,2011,35
bgd,2013,42.9
bgd,2014,22.8
bgd,2018,26.1
bgd,2019,53.8
bih,2006,99.1
blz,2006,91.8
blz,2011,94.6
blz,2015,96.8
bol,2001,76.1
bol,2003,78.4
bol,2008,79.1
brb,2012,98.3
btn,2010,100
bwa,2000,66
bwa,2008,77.5
bwa,2017,91.7
caf,2006,72
caf,2010,78.4
caf,2019,67.9
civ,2005,70.9
civ,2006,79.3
civ,2012,84.5
civ,2016,89.8
cmr,2006,85.7
cmr,2011,80.5
cmr,2014,84.2
cmr,2018,79.9
cod,2007,32.6
cod,2010,23.9
cod,2014,30
cod,2018,57.4
cog,2005,86.9
cog,2012,94.9
cog,2015,98.7
col,2005,96.7
col,2010,97.2
col,2015,97.2
com,2000,90
com,2012,89.5
cri,2011,100
cub,2005,99.9
cub,2011,100
cub,2014,100
cub,2019,99.7
dji,2006,92
dom,2006,82.1
dom,2007,81
dom,2013,85.4
dom,2014,90
dom,2019,94
dza,2006,99.6
dza,2013,99.7
dza,2019,99.7
ecu,2004,84.6
ecu,2010,89
ecu,2012,91.6
ecu,2015,95
egy,2005,99.2
egy,2014,99.7
eth,2005,28.9
eth,2016,11.5
gab,2000,90.2
gab,2012,89.3
geo,2005,96.6
geo,2011,98.7
geo,2013,99.6
geo,2015,99.7
geo,2017,98.3
gha,2006,69
gha,2008,81.8
gha,2011,72
gha,2014,79
gha,2018,79.5
gin,2005,77.8
gin,2012,82.6
gin,2018,80.8
gmb,2006,57.1
gmb,2010,53.7
gmb,2013,71.7
gmb,2018,57.5
gmb,2020,56.7
gnb,2006,53.1
gnb,2010,29.9
gnb,2014,34.4
gnb,2019,59
gnq,2000,49.4
gnq,2011,60.2
gtm,2009,96.2
gtm,2015,96.8
guy,2005,95.9
guy,2007,95.9
guy,2009,91.1
guy,2014,90.5
guy,2020,90.5
hnd,2006,94.8
hnd,2012,94.6
hnd,2019,97.2
hti,2006,86.5
hti,2012,85
hti,2017,90.4
idn,2002,69
idn,2007,66.1
idn,2012,75.8
idn,2013,77.5
idn,2016,79.45
idn,2017,83.2
idn,2021,80.4
ind,2006,59.3
ind,2014,83.2
ind,2016,88.8
irn,2010,98.9
irq,2006,94.7
irq,2011,99.4
irq,2018,98.6
jam,2006,89.2
jam,2008,96.9
jam,2010,98
jam,2012,99.7
jor,2012,99
jor,2018,97.9
kaz,2006,99.2
kaz,2011,99.9
kaz,2015,99.9
ken,2003,64
ken,2009,76.3
ken,2014,78.8
kgz,2006,97.1
kgz,2012,98.9
kgz,2014,98.5
kgz,2018,99.1
khm,2005,71
khm,2010,74.4
khm,2014,84.4
kir,2009,94.5
kir,2019,92.1
lao,2006,83.9
lao,2012,87.8
lao,2017,88.9
lbr,2007,5.3
lbr,2013,29.2
lbr,2020,69.3
lca,2012,91.1
lka,2007,96.5
lso,2004,38.5
lso,2009,43.4
lso,2014,53.9
lso,2018,54.3
mar,2000,91.5
