geo,time,sp_reg_dths_zs
geo,2010,86.8
geo,2011,98
geo,2015,90
grc,1992,97.6
grc,1997,95.1
grc,2002,100
grc,2010,100
grc,2011,100
grc,2016,100
grd,1992,74.5
grd,1997,74
grd,2002,73.2
grd,2009,100
grd,2011,100
grd,2017,100
gtm,1992,94.4
gtm,1997,92.5
gtm,2002,90.9
gtm,2008,85.3
gtm,2011,92
gtm,2016,100
guy,1992,57.2
guy,1997,59.4
guy,2002,60.2
guy,2008,73.5
guy,2010,81
guy,2014,90
hnd,1992,53.9
hnd,2012,17
hnd,2013,14
hrv,1992,98.4
hrv,1997,94.9
hrv,2002,97.3
hrv,2011,100
hrv,2016,100
hti,1997,7.1
hti,2002,9.5
hun,1992,99.9
hun,1997,98.3
hun,2002,100
hun,2011,100
hun,2017,100
ind,2007,8
ind,2011,10
irl,1992,100
irl,1997,99.4
irl,2002,100
irl,2009,100
irl,2015,100
irn,2006,68.3
irn,2016,90
irq,2008,65
irq,2016,65
isl,1992,98.6
isl,1997,99
isl,2002,98.9
isl,2008,100
isl,2017,100
isr,1992,100
isr,1997,100
isr,2002,100
isr,2010,100
isr,2011,100
isr,2016,100
ita,1992,95.2
ita,1997,98.1
ita,2002,97.5
ita,2009,100
ita,2010,100
ita,2015,100
jam,1992,79.6
jam,2006,71
jam,2014,94
jor,2009,65
jor,2015,56
jpn,1992,100
jpn,1997,99.5
jpn,2002,99.2
jpn,2010,100
jpn,2011,100
jpn,2016,100
kaz,1992,84.9
kaz,1997,85.4
kaz,2002,85.2
kaz,2009,91.6
kaz,2012,91
kaz,2017,87
kgz,1992,80.5
kgz,1997,84.7
kgz,2002,83.9
kgz,2009,97.6
kgz,2012,96
kgz,2016,91
kir,1992,80.8
kir,1997,76.9
kir,2002,87
kna,1992,100
kna,1997,100
kna,2002,86.2
kna,2009,82.3
kna,2011,79
kna,2013,88
kor,1992,85.3
kor,1997,98.5
kor,2002,98.5
kor,2010,99
kor,2011,99
kor,2016,100
kwt,1992,88.2
kwt,1997,99
kwt,2002,99.4
kwt,2010,95.9
kwt,2011,95
kwt,2014,59
lca,1992,84.1
lca,1997,79.8
lca,2002,95.9
lca,2008,89.9
lca,2011,85
lca,2014,97
lka,1992,75.5
lka,1997,73.5
lka,2002,72.3
lka,2006,81.9
ltu,1992,99.3
ltu,1997,98.9
ltu,2002,99.8
ltu,2009,100
ltu,2011,100
ltu,2017,99
lux,1992,99.8
lux,1997,99.8
lux,2002,99.3
lux,2010,99.7
lux,2011,100
lux,2016,100
lva,1992,100
lva,1997,99.5
lva,2002,98.9
lva,2010,99.7
lva,2011,100
lva,2015,100
mar,2008,26.8
mar,2010,25
mar,2011,24.3
mar,2014,29
mco,2010,80
mco,2011,80
mco,2012,100
mda,1992,98.5
mda,1997,92
mda,2002,87.6
mda,2011,91.4
mda,2012,90
mda,2017,80
mdv,2002,73.3
mdv,2008,80.7
mdv,2011,84
mdv,2015,91
mex,1992,90.1
mex,1997,92.8
mex,2002,94.2
mex,2009,93.9
mex,2011,99
mex,2016,100
mkd,2009,100
mkd,2010,100
mkd,2013,100
mlt,1992,96.4
mlt,1997,97.5
mlt,2002,98.8
mlt,2010,100
mlt,2011,99.9
mlt,2015,100
mne,2002,100
mne,2008,100
mne,2009,94
mng,1992,91.1
mng,2010,88.7
mng,2012,92
mng,2016,84
mus,1992,100
mus,1997,99.7
mus,2002,99.9
mus,2010,100
mus,2012,100
mus,2017,100
mys,1997,41.9
mys,2002,49.6
mys,2007,55.4
mys,2008,56
mys,2014,52
nic,1992,54.4
nic,1997,61.4
nic,2002,64.2
nic,2010,67.6
nic,2011,68
nic,2017,79
nld,1992,100
nld,1997,100
nld,2002,100
nld,2010,99.8
nld,2011,100
nld,2016,100
nor,1992,100
nor,1997,100
nor,2002,100
nor,2011,100
nor,2016,100
nzl,1992,98.7
nzl,1997,98.3
nzl,2002,99.8
nzl,2008,100
nzl,2009,100
nzl,2014,100
omn,2010,87
omn,2014,74
pan,1997,82.7
pan,2002,88.6
pan,2008,90.3
pan,2011,90
pan,2016,92
per,1992,57.7
per,1997,63.5
per,2002,63
per,2007,65.5
per,2009,66.8
per,2011,69
per,2015,57
phl,1992,77.6
phl,1997,88
phl,2002,91.9
phl,2008,90
phl,2011,89
plw,2013,95
pol,1992,100
pol,1997,99.6
pol,2002,99.4
pol,2010,100
pol,2011,100
pol,2016,100
prt,1992,100
prt,1997,99.7
prt,2002,100
prt,2010,100
prt,2011,100
prt,2016,100
pry,1992,74.4
pry,1997,75
pry,2002,77.4
pry,2009,81.8
pry,2011,81
pry,2016,88
qat,1997,97.1
qat,2002,86.6
qat,2010,81.7
qat,2011,77
qat,2017,50
rou,1992,99.8
rou,1997,99
rou,2002,100
rou,2010,99.6
rou,2011,100
rou,2017,100
rus,1992,99.8
rus,1997,99.4
rus,2002,99.9
rus,2009,99.3
rus,2010,100
rus,2015,100
sau,2009,50.6
sau,2012,42
sgp,1992,94
sgp,1997,85.3
sgp,2002,78.5
sgp,2010,74.5
sgp,2011,74
sgp,2016,66
slv,1992,60.8
slv,1997,70.6
slv,2002,72.3
slv,2008,77.1
slv,2011,78
slv,2014,93
smr,1997,82.4
smr,2002,81.4
smr,2007,80
smr,2015,100
srb,1997,83.9
srb,2002,84.5
srb,2011,90
srb,2016,94
sur,1992,67.7
sur,1997,64.4
sur,2002,82
sur,2008,100
sur,2011,100
sur,2014,80
svk,1992,100
svk,1997,100
svk,2002,100
svk,2009,100
svk,2010,100
svk,2014,100
svn,1992,100
svn,1997,98.7
svn,2002,100
svn,2009,100
svn,2010,100
svn,2015,100
swe,1992,100
swe,1997,100
swe,2002,100
swe,2009,100
swe,2010,100
swe,2011,100
swe,2016,100
syc,2002,98.8
syc,2011,100
syc,2015,91
syr,2009,92.5
syr,2010,83
tha,1992,64.6
tha,1997,69.5
tha,2002,71.7
tha,2006,84.9
tha,2016,87
tjk,1992,67.6
tjk,1997,57.3
tjk,2002,59.8
tjk,2005,67.6
tjk,2016,87
tkm,1992,74.4
tkm,1997,79.6
tkm,2015,85
tto,1992,97.4
tto,1997,99.7
tto,2002,99.1
tto,2007,86.1
tto,2008,85
tto,2012,83
tun,2009,37
tun,2013,29
tur,1992,37
tur,1997,43.1
tur,2002,47.3
tur,2007,71.4
tur,2012,78
tur,2016,92
ukr,1992,100
ukr,1997,99.8
ukr,2002,100
ukr,2011,99
ukr,2017,92
ury,1992,96.3
ury,1997,99.9
ury,2002,99.8
ury,2008,99.1
ury,2009,99
ury,2016,100
usa,1992,98.4
usa,1997,98
usa,2002,97.4
usa,2009,98
usa,2016,100
uzb,1992,83
uzb,1997,78.8
uzb,2002,78.4
uzb,2005,80.8
uzb,2016,93
vct,2009,100
vct,2010,100
vct,2012,100
vct,2016,100
ven,1992,95.5
ven,1997,96.2
ven,2002,95.9
ven,2008,100
ven,2013,89
zaf,1992,0
zaf,1997,0
zaf,2002,70.4
zaf,2008,92.3
zaf,2009,91
zaf,2015,92
zwe,1992,0
