geo,time,sp_reg_dths_zs
alb,1992,73
alb,1997,74.9
alb,2002,67.8
alb,2009,53
alb,2010,53
and,2010,80
and,2015,100
are,2006,89.6
are,2009,87
are,2010,59
arg,1992,99.9
arg,1997,100
arg,2002,99.9
arg,2009,99.2
arg,2011,100
arg,2016,100
arm,1992,70.1
arm,1997,79.7
arm,2002,74.4
arm,2011,76
arm,2016,100
atg,1992,92.2
atg,1997,87.7
atg,2002,83.7
atg,2008,80.2
atg,2012,79
atg,2016,83
aus,1992,97.5
aus,1997,96.6
aus,2002,99.4
aus,2007,99.1
aus,2010,100
aus,2016,100
aut,1992,100
aut,1997,100
aut,2002,100
aut,2010,100
aut,2011,100
aut,2017,100
aze,1992,67.2
aze,1997,67.5
aze,2002,69
aze,2007,93
bel,1992,100
bel,1997,99.8
bel,2002,100
bel,2006,100
bel,2009,100
bel,2016,100
bgr,1992,99.6
bgr,1997,100
bgr,2002,99.9
bgr,2011,100
bgr,2015,100
bhr,1997,88.1
bhr,2002,94.6
bhr,2010,88
bhr,2014,96
bhs,1992,99
bhs,1997,95.9
bhs,2002,93.9
bhs,2007,89
bhs,2009,93
bhs,2014,89
bih,1992,100
bih,2011,89
bih,2016,95
blr,1992,98.6
blr,1997,98.2
blr,2002,99.7
blr,2008,100
blr,2011,100
blr,2014,100
blz,1992,81.1
blz,1997,93.6
blz,2002,98.7
blz,2008,100
blz,2011,100
blz,2016,89
bra,1992,80.6
bra,1997,82.8
bra,2002,85.8
bra,2009,93
bra,2011,93
bra,2016,99
brb,1992,100
brb,1997,100
brb,2002,95.7
brb,2007,100
brb,2010,100
brb,2013,79
brn,1997,100
brn,2002,100
brn,2010,92.6
brn,2011,89
brn,2016,100
can,1992,99.3
can,1997,100
can,2002,100
can,2008,100
can,2010,100
can,2015,100
che,1992,100
che,1997,100
che,2002,99.8
che,2009,100
che,2010,100
che,2011,100
che,2016,100
chl,1992,93
chl,1997,94
chl,2002,96.6
chl,2008,97.7
chl,2011,100
chl,2016,95
chn,1992,0
chn,1997,0
chn,2002,0
chn,2009,4
chn,2015,62
col,1992,79.9
col,1997,88.1
col,2002,93.1
col,2008,98.5
col,2010,98
col,2015,80
cpv,2012,93
cri,1992,91.5
cri,1997,95.5
cri,2002,93.2
cri,2010,90.4
cri,2011,91
cri,2014,87
cub,1992,95.5
cub,1997,98.5
cub,2002,96.1
cub,2009,99.8
cub,2011,98
cub,2016,100
cyp,1997,78.2
cyp,2002,82.8
cyp,2010,85.3
cyp,2011,86
cyp,2016,68
cze,1992,100
cze,1997,99.2
cze,2002,100
cze,2011,100
cze,2017,100
deu,1992,100
deu,1997,99.6
deu,2002,100
deu,2011,100
deu,2016,100
dma,1992,100
dma,1997,100
dma,2002,99.3
dma,2009,100
dma,2012,100
dma,2015,100
dnk,1992,100
dnk,1997,99.5
dnk,2002,100
dnk,2010,98.5
dnk,2011,98
dnk,2015,100
dom,1992,54.1
dom,1997,55.9
dom,2002,54.7
dom,2005,58.6
dom,2010,56.9
dom,2013,58
ecu,1992,70.6
ecu,1997,71.1
ecu,2002,72.4
ecu,2009,85.3
ecu,2011,80
ecu,2016,82
egy,1992,76.3
egy,2002,87.7
egy,2010,95
egy,2015,94
esp,1992,98.9
esp,1997,99.7
esp,2002,100
esp,2010,100
esp,2011,100
esp,2016,100
est,1992,99.9
est,1997,100
est,2002,100
est,2011,100
est,2016,100
fin,1992,99.8
fin,1997,100
fin,2002,100
fin,2010,100
fin,2011,100
fin,2016,100
fji,1997,71.4
fji,2009,100
fji,2011,100
fji,2012,100
fra,1992,100
fra,1997,99.3
fra,2002,100
fra,2009,100
fra,2010,100
fra,2015,100
gbr,1992,99.8
gbr,1997,98.8
gbr,2002,99.6
gbr,2009,100
gbr,2010,100
gbr,2016,100
geo,1992,80.5
geo,1997,81
geo,2002,80.8
