global,time,se_enr_prsc_fm_zs
world,1970,0.79059
world,1971,0.78921
world,1972,0.78844
world,1973,0.78982
world,1974,0.7914
world,1975,0.81521
world,1976,0.82809
world,1977,0.83229
world,1978,0.83659
world,1979,0.83885
world,1980,0.83937
world,1981,0.83788
world,1982,0.83541
world,1983,0.83658
world,1984,0.83601
world,1985,0.83728
world,1986,0.8511
world,1987,0.85746
world,1988,0.86055
world,1989,0.86383
world,1990,0.86755
world,1991,0.87431
world,1992,0.88002
world,1993,0.88459
world,1994,0.89146
world,1995,0.89619
world,1996,0.8998
world,1997,0.90654
world,1998,0.91308
world,1999,0.91318
world,2000,0.92126
world,2001,0.92469
world,2002,0.92743
world,2003,0.94482
world,2004,0.94587
world,2005,0.95046
world,2006,0.95424
world,2007,0.9584
world,2008,0.96522
world,2009,0.97223
world,2010,0.97145
world,2011,0.97374
world,2012,0.97756
world,2013,0.99217
world,2014,0.99444
world,2015,0.99504
world,2016,1.00007
world,2017,0.99812
world,2018,0.98687
world,2019,0.98785
