geo,time,sl_fam_work_ma_zs
afg,1991,30.59
afg,1992,30.47
afg,1993,30.6
afg,1994,30.59
afg,1995,30.04
afg,1996,30.07
afg,1997,30.07
afg,1998,29.97
afg,1999,29.83
afg,2000,29.67
afg,2001,29.3
afg,2002,27.76
afg,2003,26.87
afg,2004,26.41
afg,2005,25.49
afg,2006,24.87
afg,2007,23.84
afg,2008,23.16
afg,2009,21.65
afg,2010,20.34
afg,2011,19.53
afg,2012,18.15
afg,2013,16.8
afg,2014,15.71
afg,2015,14.71
afg,2016,13.61
afg,2017,12.4
afg,2018,11.86
afg,2019,11.32
ago,1991,2.86
ago,1992,2.53
ago,1993,2.47
ago,1994,2.15
ago,1995,2.06
ago,1996,1.93
ago,1997,2.12
ago,1998,2.31
ago,1999,1.49
ago,2000,1.44
ago,2001,1.65
ago,2002,2.18
ago,2003,2.19
ago,2004,2.08
ago,2005,2.19
ago,2006,2.9
ago,2007,3.29
ago,2008,4.04
ago,2009,7.69
ago,2010,7.94
ago,2011,9.51
ago,2012,8.83
ago,2013,8.87
ago,2014,10.16
ago,2015,10.86
ago,2016,10.42
ago,2017,10.13
ago,2018,9.92
ago,2019,8.43
alb,1991,9.2
alb,1992,9.56
alb,1993,8.88
alb,1994,8.51
alb,1995,8.12
alb,1996,7.98
alb,1997,9.74
alb,1998,9.94
alb,1999,9.9
alb,2000,10.09
alb,2001,10.12
alb,2002,10.57
alb,2003,10.68
alb,2004,10.74
alb,2005,10.86
alb,2006,10.37
alb,2007,10.05
alb,2008,15.23
alb,2009,15.98
alb,2010,13.8
alb,2011,22.42
alb,2012,25.45
alb,2013,24.97
alb,2014,24.84
alb,2015,22.38
alb,2016,18.34
alb,2017,17.21
alb,2018,16.09
alb,2019,16.76
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0
are,2010,0
are,2011,0
are,2012,0.01
are,2013,0.01
are,2014,0.01
are,2015,0.01
are,2016,0.01
are,2017,0.04
are,2018,0.24
are,2019,0.25
arg,1991,0.53
arg,1992,0.71
arg,1993,0.69
arg,1994,1.01
arg,1995,0.97
arg,1996,0.93
arg,1997,0.99
arg,1998,0.75
arg,1999,0.89
arg,2000,0.68
arg,2001,0.61
arg,2002,0.78
arg,2003,1.12
arg,2004,0.81
arg,2005,0.57
arg,2006,0.56
arg,2007,0.6
arg,2008,0.38
arg,2009,0.41
arg,2010,0.46
arg,2011,0.4
arg,2012,0.34
arg,2013,0.37
arg,2014,0.32
arg,2015,0.32
arg,2016,0.32
arg,2017,0.31
arg,2018,0.37
arg,2019,0.37
arm,1991,18.9
arm,1992,19.53
arm,1993,20.24
arm,1994,20.06
arm,1995,20.08
arm,1996,19.83
arm,1997,19.51
arm,1998,19.02
arm,1999,18.44
arm,2000,17.59
arm,2001,17.03
arm,2002,16.03
arm,2003,14.98
arm,2004,14.23
arm,2005,13.12
arm,2006,12.38
arm,2007,11.6
arm,2008,11
arm,2009,11.01
arm,2010,9.47
arm,2011,9.67
arm,2012,8.03
arm,2013,6.65
arm,2014,5.48
arm,2015,4.48
arm,2016,3.6
arm,2017,1.4
arm,2018,0.75
arm,2019,0.73
aus,1991,0.7
aus,1992,0.72
aus,1993,0.87
aus,1994,0.73
aus,1995,0.67
aus,1996,0.7
aus,1997,0.61
aus,1998,0.58
aus,1999,0.62
aus,2000,0.61
aus,2001,0.44
aus,2002,0.36
aus,2003,0.32
aus,2004,0.3
aus,2005,0.24
aus,2006,0.24
aus,2007,0.22
aus,2008,0.18
aus,2009,0.2
aus,2010,0.23
aus,2011,0.18
aus,2012,0.16
aus,2013,0.2
aus,2014,0.22
aus,2015,0.19
aus,2016,0.18
aus,2017,0.15
aus,2018,0.16
aus,2019,0.17
aut,1991,2.13
aut,1992,2.08
aut,1993,2.05
aut,1994,1.97
aut,1995,1.95
aut,1996,2.17
aut,1997,1.66
aut,1998,1.58
aut,1999,1.63
aut,2000,1.64
aut,2001,1.54
aut,2002,1.57
aut,2003,1.28
aut,2004,0.53
aut,2005,0.98
aut,2006,0.99
aut,2007,1.95
aut,2008,2.02
aut,2009,1.86
aut,2010,1.93
aut,2011,1.87
aut,2012,1.81
aut,2013,1.74
aut,2014,1.98
aut,2015,1.5
aut,2016,1.39
aut,2017,1.28
aut,2018,1.19
aut,2019,1.04
aze,1991,33
aze,1992,33.87
aze,1993,32.79
aze,1994,33.73
aze,1995,35.55
aze,1996,35.79
aze,1997,35.51
aze,1998,34.59
aze,1999,34.48
aze,2000,34.65
aze,2001,34.51
aze,2002,34.81
aze,2003,33.93
aze,2004,32.92
aze,2005,33.08
aze,2006,32.56
aze,2007,30.78
aze,2008,29.62
aze,2009,27.99
aze,2010,28.35
aze,2011,31.09
aze,2012,29.16
aze,2013,28.22
aze,2014,27.82
aze,2015,25.2
aze,2016,25.99
aze,2017,26.16
aze,2018,25.05
aze,2019,24.04
bdi,1991,42.38
bdi,1992,42.07
bdi,1993,41.54
bdi,1994,40.59
bdi,1995,40.82
bdi,1996,41.08
bdi,1997,39.6
bdi,1998,38.53
bdi,1999,37.19
bdi,2000,35.75
