geo,time,is_air_good_mt_k1
afg,1970,7.6
afg,1971,2.1
afg,1972,0.8
afg,1973,1.1
afg,1974,13.3
afg,1975,10.5
afg,1976,12.9
afg,1977,13.9
afg,1978,12.9
afg,1979,19.1
afg,1980,21.4
afg,1981,19.4
afg,1982,18.3
afg,1983,11.4
afg,1984,19.8
afg,1985,19.9
afg,1986,7.5
afg,1987,8.1
afg,1988,8.8
afg,1989,11.5
afg,1990,9.4
afg,1991,8.4
afg,1992,8.4
afg,1993,6.7
afg,1994,12.3
afg,1995,12.9
afg,1996,13.5
afg,1997,35.4
afg,1998,15
afg,1999,7.4
afg,2000,7.813
afg,2010,108.01949
afg,2011,109.42112
afg,2012,116.66072
afg,2013,84.62122
afg,2014,34.28347
afg,2015,33.10204
afg,2016,29.01088
afg,2017,21.46256
afg,2018,29.55935
afg,2019,20.01421
afg,2020,19.8789
ago,1976,14.2
ago,1977,13.4
ago,1978,13.6
ago,1979,16
ago,1980,20.9
ago,1981,33.2
ago,1982,20.8
ago,1983,46.2
ago,1984,25.1
ago,1985,33.2
ago,1986,24.8
ago,1987,25.6
ago,1988,26.9
ago,1989,51.6
ago,1990,39.9
ago,1991,41.5
ago,1992,41.5
ago,1993,28.8
ago,1994,55.5
ago,1995,58.3
ago,1996,62.2
ago,1997,41.5
ago,1998,38
ago,1999,51.8
ago,2000,60.611
ago,2001,50.818
ago,2002,51.298
ago,2003,56.455
ago,2004,63.692
ago,2005,68.112
ago,2006,80.997
ago,2007,72.888
ago,2008,70.934
ago,2009,64.323
ago,2010,47.908
ago,2011,50.973
ago,2012,70.977
ago,2013,70.431
ago,2014,65.517
ago,2015,46.043
ago,2016,43.94044
ago,2017,67.32035
ago,2018,78.15964
ago,2019,68.04358
ago,2020,28.89977
alb,2000,0.003
alb,2001,0.003
alb,2002,0.144
alb,2003,0.088
alb,2004,0.099
alb,2005,0.1
alb,2006,0.105
alb,2007,0.107
alb,2008,0.106
alb,2009,0.153
alb,2010,0
alb,2011,0
alb,2012,0
alb,2013,0
alb,2018,0
alb,2019,0
alb,2020,0
are,1974,2.2
are,1975,4
are,1976,6.8
are,1977,8.2
are,1978,9.6
are,1979,14
are,1980,26.2
are,1981,21.4
are,1982,21.6
are,1983,23.8
are,1984,30.7
are,1985,32.6
are,1986,48.6
are,1987,68.1
are,1988,96.2
are,1989,117.8
are,1990,145.10001
are,1991,184.39999
are,1992,267
are,1993,365.39999
are,1994,465.89999
are,1995,557.20001
are,1996,651.29999
are,1997,809.40002
are,1998,902
are,1999,1129.69995
are,2000,1456.349
are,2001,1631.164
are,2002,2079.338
are,2003,2772.739
are,2004,3733.658
are,2005,4641.933
are,2006,5735.78
are,2007,6538.02
are,2008,9289.48
are,2009,8959.601
are,2010,9774.15041
are,2011,10434.84919
are,2012,12032.54363
are,2013,14082.25474
are,2014,15527.19287
are,2015,15962.692
are,2016,16138.874
are,2017,16616.24461
are,2018,15962.90443
are,2019,14765.59958
are,2020,12171.5568
arg,1970,47.9
arg,1971,57.4
arg,1972,79.7
arg,1973,85.9
arg,1974,98.2
arg,1975,74.6
arg,1976,96.3
arg,1977,119.8
arg,1978,120.5
arg,1979,136.8
arg,1980,195.39999
arg,1981,195.5
arg,1982,170.7
arg,1983,174.3
arg,1984,179.8
arg,1985,187.10001
arg,1986,192
arg,1987,197.5
arg,1988,193.60001
arg,1989,201.2
arg,1990,213.60001
arg,1991,201.89999
arg,1992,206.7
arg,1993,232
arg,1994,206.2
arg,1995,177
arg,1996,176.60001
arg,1997,220.3
arg,1998,251
arg,1999,241
arg,2000,296.646
arg,2001,124.402
arg,2002,76.419
arg,2003,111.811
arg,2004,123.637
arg,2005,132.558
arg,2006,124.583
arg,2007,132.675
arg,2008,131.685
arg,2009,111.663
arg,2010,193.30125
arg,2011,192.20126
arg,2012,180.12046
arg,2013,268.71077
arg,2014,261.60894
arg,2015,243.77257
arg,2016,254.18141
arg,2017,305.102
arg,2018,311.7208
arg,2019,280.28317
arg,2020,81.12423
arm,1996,11.8
arm,1997,10.7
arm,1998,10.4
arm,1999,11.3
arm,2000,8.786
arm,2001,8.262
arm,2002,5.358
arm,2003,5.025
arm,2004,6.966
arm,2005,7.036
arm,2006,7.388
arm,2007,6.148
arm,2008,7.174
arm,2009,5.698
arm,2010,5.9795
arm,2011,4.4857
arm,2012,3.0115
arm,2013,1
arm,2014,0
arm,2018,0
arm,2019,0.3265
arm,2020,0.11692
asm,2010,0.009
asm,2011,0.00954
asm,2012,0.01056
asm,2013,0.01093
asm,2014,0.01165
atg,1982,0.1
atg,1983,0.1
atg,1984,0.1
atg,1985,0.1
atg,1986,0.1
atg,1987,0.1
atg,1988,0.2
atg,1989,0.2
atg,1990,0.2
atg,1991,0.2
atg,1992,0.2
atg,1993,0.2
atg,1994,0.2
atg,1995,0.2
atg,1996,0.2
atg,1997,0.2
atg,1998,0.2
atg,1999,0.2
atg,2000,0.215
atg,2001,0.221
atg,2002,0.194
atg,2003,0.196
atg,2004,0.196
atg,2005,0.188
atg,2006,0.182
atg,2007,0.186
atg,2008,0.193
atg,2009,0.165
atg,2010,0.785
atg,2011,0.73783
atg,2012,0.64765
atg,2013,0.59252
atg,2014,0.59162
atg,2015,0.52655
atg,2016,0.54919
atg,2017,0.32227
atg,2018,0.29449
atg,2019,0.18093
atg,2020,0.09462
aus,1970,234.7
aus,1971,230.7
aus,1972,220.2
aus,1973,266.60001
aus,1974,315.29999
aus,1975,326.5
aus,1976,354.20001
aus,1977,376.10001
aus,1978,459.89999
aus,1979,528.29999
aus,1980,516.5
aus,1981,556.40002
aus,1982,576
aus,1983,624.90002
aus,1984,734.09998
aus,1985,814.79999
aus,1986,859.29999
aus,1987,990.79999
aus,1988,1027.09998
aus,1989,1125.30005
aus,1990,1222.30005
aus,1991,1222.59998
aus,1992,1361.5
aus,1993,1525.80005
aus,1994,1645.5
aus,1995,1737.5
aus,1996,1833.69995
aus,1997,1953.80005
aus,1998,1904.40002
aus,1999,1693
aus,2000,1730.735
aus,2001,1678.089
aus,2002,1544.717
aus,2003,1355.351
aus,2004,1898.071
aus,2005,2444.586
aus,2006,2569.506
aus,2007,2348.084
aus,2008,2212.439
aus,2009,2769.286
aus,2010,2938.31438
aus,2011,2846.5988
aus,2012,2731.69798
aus,2013,1984.69373
aus,2014,1925.77201
aus,2015,1907.05191
aus,2016,1868.73263
aus,2017,1982.58617
aus,2018,2027.63711
aus,2019,1931.15553
aus,2020,1200.64415
aut,1970,5.9
aut,1971,3.1
aut,1972,4.7
aut,1973,6.3
aut,1974,6.8
aut,1975,6.5
aut,1976,8.1
aut,1977,9.2
aut,1978,10.3
aut,1979,11.7
aut,1980,11.7
aut,1981,13.5
aut,1982,16.6
aut,1983,17.2
aut,1984,19.5
aut,1985,19.4
aut,1986,19.6
aut,1987,19.5
aut,1988,22.9
aut,1989,41.6
aut,1990,53.9
aut,1991,59.2
aut,1992,100.6
aut,1993,129.60001
aut,1994,136.39999
aut,1995,173.3
aut,1996,192.10001
aut,1997,236.3
aut,1998,265.5
aut,1999,340.79999
aut,2000,407.769
aut,2001,357.975
aut,2002,396.021
aut,2003,430.701
aut,2004,502.302
aut,2005,537.472
aut,2006,571.977
aut,2007,453.759
aut,2008,420.794
aut,2009,341.511
aut,2010,357.885
aut,2011,383.371
aut,2012,322.104
aut,2013,326.399
aut,2014,369.955
aut,2015,351.379
aut,2016,387.739
aut,2017,391.268
aut,2018,373.511
aut,2019,320.03653
aut,2020,74.56082
aze,1992,19.9
aze,1993,26.9
aze,1994,24.9
aze,1995,34.4
aze,1996,27.6
aze,1997,33
aze,1998,92.5
aze,1999,58.2
aze,2000,47.211
aze,2001,65.995
aze,2002,75.954
aze,2003,67.109
aze,2004,34.361
aze,2005,11.916
aze,2006,15.746
aze,2007,11.897
aze,2008,12.032
aze,2009,7.388
aze,2010,7.8084
aze,2011,9.5921
aze,2012,13.0443
aze,2013,17.9216
aze,2014,385.14865
aze,2015,686.94149
aze,2016,732.78976
aze,2017,61.6255
aze,2018,44.0886
aze,2019,1620.43791
aze,2020,2030.37809
bdi,1980,0.1
bdi,1987,0.1
bel,1970,184
bel,1971,202.39999
bel,1972,224.5
bel,1973,238.60001
bel,1974,286.10001
bel,1975,281.20001
bel,1976,316.70001
bel,1977,338.89999
bel,1978,375.79999
bel,1979,395.20001
bel,1980,394.5
bel,1981,441.5
bel,1982,479.10001
bel,1983,489.10001
bel,1984,525.40002
bel,1985,565
bel,1986,574.79999
bel,1987,535.5
bel,1988,650.5
bel,1989,660.70001
bel,1990,656.40002
bel,1991,485.79999
bel,1992,386.29999
bel,1993,478.20001
bel,1994,515.20001
bel,1995,594.59998
bel,1996,590.90002
bel,1997,677.59998
bel,1998,473
bel,1999,535.40002
bel,2000,1017.479
bel,2001,852.778
bel,2002,655.425
bel,2003,604.608
bel,2004,712.952
bel,2005,705.13
bel,2006,740.386
bel,2007,755.193
bel,2008,981.682
bel,2009,1427.499
bel,2010,1067.351
bel,2011,1241.293
bel,2012,1369.89982
bel,2013,1560.81076
bel,2014,1596.3044
bel,2015,1479.97632
bel,2016,1505.40591
bel,2017,1574.37861
bel,2018,1285.34419
bel,2019,1353.42698
bel,2020,1265.06594
ben,1970,5.8
ben,1971,7.1
ben,1972,8
ben,1973,8.3
ben,1974,10.8
ben,1975,11.5
ben,1976,13.1
ben,1977,13
ben,1978,14.6
ben,1979,17.1
ben,1980,18
ben,1981,21
ben,1982,21
ben,1983,18.7
ben,1984,17.4
ben,1985,18.4
ben,1986,16.5
ben,1987,16.3
ben,1988,15.9
ben,1989,18
ben,1990,17.7
ben,1991,16.1
ben,1992,15.2
ben,1993,14.2
ben,1994,14.4
ben,1995,15.3
ben,1996,16.4
ben,1997,15.3
ben,1998,13.5
ben,1999,13.7
ben,2000,12.273
ben,2001,7.364
ben,2010,0
ben,2011,0.44183
ben,2012,0.44183
ben,2013,1.26512
ben,2014,0.55388
ben,2015,0.80535
ben,2016,0.00644
bfa,1970,5.8
bfa,1971,7.1
bfa,1972,8
bfa,1973,8.3
bfa,1974,10.8
bfa,1975,11.5
bfa,1976,13.1
bfa,1977,13
bfa,1978,14.7
bfa,1979,17.1
bfa,1980,18
bfa,1981,21
bfa,1982,21
bfa,1983,18.8
bfa,1984,17.4
bfa,1985,18.4
bfa,1986,16.5
bfa,1987,16.3
bfa,1988,15.9
bfa,1989,18
bfa,1990,17.7
bfa,1991,16.1
bfa,1992,15.2
bfa,1993,14.3
bfa,1994,14.5
bfa,1995,15.3
bfa,1996,16.5
bfa,1997,15.3
bfa,1998,13.5
bfa,1999,13.7
bfa,2000,12.273
bfa,2001,7.364
bfa,2002,0
bfa,2003,0
bfa,2004,0
bfa,2005,0
bfa,2006,0
bfa,2009,0
bfa,2010,0.101
bfa,2011,0.08581
bfa,2012,0.07111
bfa,2013,0.06221
bfa,2014,0.05088
bfa,2015,0.05587
bfa,2016,0.02202
bfa,2017,0.02211
bfa,2018,0.10461
bfa,2019,0.04808
bfa,2020,0
bgd,1973,1.2
bgd,1974,2.7
bgd,1975,5.3
bgd,1976,9.3
bgd,1977,17
bgd,1978,15.1
bgd,1979,19
bgd,1980,19.6
bgd,1981,19.8
bgd,1982,19.9
bgd,1983,20.6
bgd,1984,53.1
bgd,1985,68.8
bgd,1986,70.8
bgd,1987,83.2
bgd,1988,76.5
bgd,1989,84.1
bgd,1990,69.5
bgd,1991,99.4
bgd,1992,82.6
bgd,1993,47.7
bgd,1994,160.60001
bgd,1995,165.3
bgd,1996,135.7
bgd,1997,199.8
bgd,1998,144.8
bgd,1999,143.10001
bgd,2000,193.867
bgd,2001,169.602
bgd,2002,171.582
bgd,2003,175.496
bgd,2004,180.432
bgd,2005,183.493
bgd,2006,190.831
bgd,2007,89.026
bgd,2008,84.219
bgd,2009,0.013
bgd,2010,164.42464
