geo,time,sh_xpd_ghed_pp_cd
afg,2002,0.72447
afg,2003,6.0033
afg,2004,4.95241
afg,2005,5.35695
afg,2006,5.33113
afg,2007,6.05911
afg,2008,8.0274
afg,2009,8.02429
afg,2010,7.86537
afg,2011,8.02203
afg,2012,6.59612
afg,2013,8.76348
afg,2014,9.8359
afg,2015,10.9438
afg,2016,11.88928
afg,2017,13.23827
afg,2018,11.44216
afg,2019,23.38494
ago,2000,36.49499
ago,2001,69.25863
ago,2002,49.5335
ago,2003,56.26125
ago,2004,71.26813
ago,2005,61.86262
ago,2006,77.43399
ago,2007,104.19076
ago,2008,141.29269
ago,2009,168.26714
ago,2010,110.2892
ago,2011,114.96977
ago,2012,115.88953
ago,2013,130.23082
ago,2014,107.81622
ago,2015,90.56327
ago,2016,85.06374
ago,2017,94.44721
ago,2018,79.31636
ago,2019,73.38914
alb,2000,105.45683
alb,2001,115.79792
alb,2002,117.76589
alb,2003,130.02816
alb,2004,149.13846
alb,2005,152.51464
alb,2006,163.97296
alb,2007,173.45013
alb,2008,183.44114
alb,2009,203.04805
alb,2010,226.49687
alb,2011,239.54058
alb,2012,257.22624
alb,2013,271.67705
alb,2014,291.29813
alb,2015,317.36425
alb,2016,337.44138
alb,2017,341.45184
alb,2018,392.52544
and,2000,1267.42181
and,2001,1324.44112
and,2002,1485.30281
and,2003,1387.08285
and,2004,1355.44221
and,2005,1582.38752
and,2006,1410.48626
and,2007,1452.97517
and,2008,1755.52959
and,2009,1884.31538
and,2010,1957.13126
and,2011,1757.94025
and,2012,1801.95096
and,2013,1843.04874
and,2014,1970.13882
and,2015,2135.96747
and,2016,2118.06158
and,2017,2314.09953
and,2018,2450.40811
and,2019,2582.32343
are,2000,1600.55194
are,2001,1850.51962
are,2002,1589.97228
are,2003,1609.19871
are,2004,1432.32039
are,2005,1288.09642
are,2006,1274.97068
are,2007,1311.21919
are,2008,1492.24486
are,2009,2034.1895
are,2010,1783.11044
are,2011,1799.03694
are,2012,1717.0589
are,2013,1819.83577
are,2014,1896.86214
are,2015,1657.16938
are,2016,1599.20043
are,2017,1494.92041
are,2018,1466.77632
are,2019,1567.03304
arg,2000,584.44077
arg,2001,576.41917
arg,2002,453.34071
arg,2003,464.9898
arg,2004,457.36655
arg,2005,530.99987
arg,2006,600.90808
arg,2007,705.03997
arg,2008,784.67053
arg,2009,926.15152
arg,2010,1003.11166
arg,2011,1096.16143
arg,2012,1204.33581
arg,2013,1252.48035
arg,2014,1246.38711
arg,2015,1373.85512
arg,2016,1137.58852
arg,2017,1561.07421
arg,2018,1388.02205
arg,2019,1371.23961
arm,2000,25.37878
arm,2001,40.11778
arm,2002,40.59238
arm,2003,48.78103
arm,2004,59.7216
arm,2005,80.65356
arm,2006,101.7174
arm,2007,121.87517
arm,2008,123.5223
arm,2009,131.04041
arm,2010,126.57802
arm,2011,134.25514
arm,2012,147.78602
arm,2013,135.30723
arm,2014,151.10305
arm,2015,160.5327
arm,2016,175.26525
arm,2017,166.28089
arm,2018,160.81513
arm,2019,200.48818
atg,2000,459.33275
atg,2001,519.5648
atg,2002,505.84785
atg,2003,583.79598
atg,2004,555.83387
atg,2005,562.68446
atg,2006,568.53112
atg,2007,584.52065
atg,2008,547.737
atg,2009,514.37773
atg,2010,646.46941
atg,2011,630.72902
atg,2012,604.52129
atg,2013,580.75085
atg,2014,661.41279
atg,2015,596.97134
atg,2016,569.82477
atg,2017,543.25811
atg,2018,630.27417
atg,2019,594.02313
aus,2000,1548.31809
aus,2001,1620.79585
aus,2002,1753.99792
aus,2003,1827.47826
aus,2004,1974.03333
aus,2005,2041.54331
aus,2006,2158.8382
aus,2007,2319.05702
aus,2008,2384.91932
aus,2009,2594.64292
aus,2010,2595.67524
aus,2011,2755.14382
aus,2012,2691.58271
aus,2013,2820.14683
aus,2014,2891.69755
aus,2015,3005.88678
aus,2016,3174.66299
aus,2017,3239.34244
aus,2018,3354.05931
aus,2019,3795.17768
aut,2000,2008.36678
aut,2001,2033.93634
aut,2002,2156.01071
aut,2003,2248.07327
aut,2004,2369.41648
aut,2005,2456.83294
aut,2006,2616.09218
aut,2007,2737.00478
aut,2008,2969.80514
aut,2009,3053.35026
aut,2010,3115.27376
aut,2011,3246.04429
aut,2012,3461.9285
aut,2013,3569.08467
aut,2014,3685.70805
aut,2015,3771.06167
aut,2016,3962.90475
aut,2017,4044.72474
aut,2018,4281.48612
aut,2019,4478.38953
aze,2000,29.5709
aze,2001,29.99562
aze,2002,30.70095
aze,2003,36.18364
aze,2004,44.57167
aze,2005,61.80293
aze,2006,79.92722
aze,2007,106.66564
aze,2008,113.26548
aze,2009,161.53109
aze,2010,151.24048
aze,2011,140.74533
aze,2012,178.3111
aze,2013,183.34089
aze,2014,197.37304
aze,2015,195.12816
aze,2016,167.56539
aze,2017,141.6239
aze,2018,135.04438
aze,2019,192.29628
bdi,2000,7.72124
bdi,2001,9.09346
bdi,2002,8.5202
bdi,2003,7.34048
bdi,2004,13.37965
bdi,2005,11.7411
bdi,2006,14.14882
bdi,2007,15.15826
bdi,2008,9.92125
bdi,2009,13.35737
bdi,2010,13.16357
bdi,2011,23.67176
bdi,2012,18.43786
bdi,2013,11.4176
bdi,2014,21.65458
bdi,2015,20.36401
bdi,2016,15.23892
bdi,2017,15.78736
bdi,2018,17.85625
bdi,2019,20.62687
bel,2000,1659.16581
bel,2001,1772.19262
bel,2002,1861.20197
bel,2003,2103.0889
bel,2004,2246.53851
bel,2005,2295.75904
bel,2006,2405.46483
bel,2007,2499.56417
bel,2008,2765.12671
bel,2009,2987.01327
bel,2010,3117.96403
bel,2011,3249.14187
bel,2012,3411.11327
bel,2013,3517.3475
bel,2014,3642.21128
bel,2015,3670.04739
bel,2016,4050.6755
bel,2017,4214.31054
bel,2018,4366.0276
bel,2019,4489.06813
ben,2000,14.20209
ben,2001,17.03865
ben,2002,13.75113
ben,2003,12.87536
ben,2004,14.74763
ben,2005,14.01587
ben,2006,15.36246
ben,2007,13.45935
ben,2008,13.21645
ben,2009,17.58956
ben,2010,17.12631
ben,2011,19.23264
ben,2012,18.65682
ben,2013,20.41318
ben,2014,16.30142
ben,2015,16.9009
ben,2016,17.27495
ben,2017,24.79472
ben,2018,15.8937
ben,2019,18.57122
bfa,2000,8.86255
bfa,2001,9.48458
bfa,2002,10.63735
bfa,2003,10.51219
bfa,2004,18.99444
bfa,2005,14.86467
bfa,2006,18.48088
bfa,2007,19.18678
bfa,2008,19.08224
bfa,2009,23.16759
bfa,2010,19.62211
bfa,2011,21.35845
bfa,2012,17.23853
bfa,2013,27.13782
bfa,2014,27.53127
bfa,2015,24.95206
bfa,2016,45.23748
bfa,2017,53.61388
bfa,2018,45.72451
bfa,2019,51.18297
bgd,2000,8.10709
bgd,2001,6.45331
bgd,2002,8.1845
bgd,2003,8.81238
bgd,2004,9.33518
bgd,2005,9.46289
bgd,2006,10.90796
bgd,2007,12.08639
bgd,2008,11.7151
bgd,2009,12.04056
bgd,2010,13.75066
bgd,2011,15.14088
bgd,2012,16.52605
bgd,2013,16.46419
bgd,2014,17.0269
bgd,2015,16.54581
bgd,2016,15.63088
bgd,2017,16.89396
bgd,2018,19.37398
bgd,2019,22.96312
bgr,2000,222.47182
bgr,2001,263.14032
bgr,2002,325.8649
bgr,2003,366.13529
bgr,2004,375.12
bgr,2005,420.79324
bgr,2006,412.41156
bgr,2007,437.86009
bgr,2008,497.67234
bgr,2009,502.10661
bgr,2010,584.6164
bgr,2011,603.78777
bgr,2012,623.49945
bgr,2013,670.76297
bgr,2014,785.88194
bgr,2015,757.31142
bgr,2016,822.26669
bgr,2017,883.226
bgr,2018,996.76853
bgr,2019,1063.33013
bhr,2000,992.06827
bhr,2001,1060.98737
bhr,2002,1078.42571
bhr,2003,1067.24825
bhr,2004,997.02906
bhr,2005,974.83158
bhr,2006,975.50672
bhr,2007,1028.84181
bhr,2008,1038.41368
bhr,2009,1205.50763
bhr,2010,1134.22624
bhr,2011,1059.7995
bhr,2012,1359.89921
bhr,2013,1446.16989
bhr,2014,1465.24669
bhr,2015,1474.73967
bhr,2016,1335.28187
bhr,2017,1311.91029
bhr,2018,1154.46296
bhr,2019,1113.38634
bhs,2000,417.38982
bhs,2001,448.42505
bhs,2002,443.48055
bhs,2003,472.77557
bhs,2004,475.96666
bhs,2005,490.71947
bhs,2006,530.92877
bhs,2007,589.47167
bhs,2008,667.24164
bhs,2009,713.15921
bhs,2010,728.34219
bhs,2011,740.19739
bhs,2012,745.34855
bhs,2013,813.15724
bhs,2014,830.33829
bhs,2015,774.89107
bhs,2016,934.05999
bhs,2017,1327.78394
bhs,2018,1123.14199
bhs,2019,1157.53809
bih,2000,187.40632
bih,2001,207.00058
bih,2002,229.77866
bih,2003,298.92022
bih,2004,306.84773
bih,2005,311.92586
bih,2006,358.88561
bih,2007,419.2423
bih,2008,476.93357
bih,2009,554.18644
bih,2010,573.88908
bih,2011,619.15753
bih,2012,670.52208
bih,2013,724.70834
bih,2014,761.96864
bih,2015,777.37682
bih,2016,857.23446
bih,2017,864.80586
bih,2018,955.90545
bih,2019,1014.90624
blr,2000,252.64341
blr,2001,278.41933
blr,2002,286.52964
blr,2003,338.1502
blr,2004,390.72874
blr,2005,455.69811
blr,2006,457.27965
blr,2007,513.10319
