geo,time,ag_lnd_totl_ru_k2
abw,1990,9.00832
abw,2000,9.00832
abw,2010,9.00832
ago,1990,1248198.625
ago,2000,1248198.625
ago,2010,1248198.625
alb,1990,26686.71094
alb,2000,26686.71094
alb,2010,26686.71094
are,1990,70575.10938
are,2000,70575.10938
are,2010,70575.10938
arg,1990,2690269.5
arg,2000,2690269.5
arg,2010,2690269.5
asm,1990,87.64227
asm,2000,87.64227
asm,2010,87.64227
atg,1990,167.86006
atg,2000,167.86006
atg,2010,167.86006
aus,1990,7641564.5
aus,2000,7641564.5
aus,2010,7641564.5
bel,1990,18091.89063
bel,2000,18091.89063
bel,2010,18091.89063
ben,1990,113916.9609
ben,2000,113916.9609
ben,2010,113916.9609
bgd,1990,123889.625
bgd,2000,123889.625
bgd,2010,123889.625
bgr,1990,103838.0078
bgr,2000,103838.0078
bgr,2010,103838.0078
bhr,1990,115.14436
bhr,2000,115.14436
bhr,2010,115.14436
bhs,1990,12245.5166
bhs,2000,12245.5166
bhs,2010,12245.5166
bih,1990,49338.41797
bih,2000,49338.41797
bih,2010,49338.41797
blr,1990,198055.7813
blr,2000,198055.7813
blr,2010,198055.7813
blz,1990,21296.04492
blz,2000,21296.04492
blz,2010,21296.04492
bmu,1990,22.78403
bmu,2000,22.78403
bmu,2010,22.78403
bra,1990,8241430
bra,2000,8241430
bra,2010,8241430
brb,1990,14.80739
brb,2000,14.80739
brb,2010,14.80739
brn,1990,4743.62207
brn,2000,4743.62207
brn,2010,4743.62207
can,1990,9084045
can,2000,9084045
can,2010,9084045
che,1990,30190.08398
che,2000,30190.08398
che,2010,30190.08398
chl,1990,709418.75
chl,2000,709418.75
chl,2010,709418.75
chn,1990,8868577
chn,2000,8868577
chn,2010,8868577
civ,1990,314812.3438
civ,2000,314812.3438
civ,2010,314812.3438
cmr,1990,459153.1875
cmr,2000,459153.1875
cmr,2010,459153.1875
cod,1990,2278811.75
cod,2000,2278811.75
cod,2010,2278811.75
cog,1990,338427.125
cog,2000,338427.125
cog,2010,338427.125
col,1990,1090598.125
col,2000,1090598.125
col,2010,1090598.125
com,1990,1478.78833
com,2000,1478.78833
com,2010,1478.78833
cpv,1990,3913.56909
cpv,2000,3913.56909
cpv,2010,3913.56909
cri,1990,46479.98438
cri,2000,46479.98438
cri,2010,46479.98438
cub,1990,100440.7969
cub,2000,100440.7969
cub,2010,100440.7969
cym,1990,64.61621
cym,2000,64.61621
cym,2010,64.61621
cyp,1990,6949.83398
cyp,2000,6949.83398
cyp,2010,6949.83398
deu,1990,291859.2188
deu,2000,291859.2188
deu,2010,291859.2188
dji,1990,21411.55273
dji,2000,21411.55273
dji,2010,21411.55273
dma,1990,503.70938
dma,2000,503.70938
dma,2010,503.70938
dnk,1990,33044.11719
dnk,2000,33044.11719
dnk,2010,33044.11719
dom,1990,42784.17969
