global,time,dc_dac_svkl_cd
world,2005,31430000.30518
world,2006,24750000
world,2007,27600000.38147
world,2008,40819999.69482
world,2009,19829999.92371
world,2010,19940000.53406
world,2011,21430000.30518
world,2012,18950000.76294
world,2013,16180000.30518
world,2014,16379999.16077
world,2015,17200000.76294
world,2016,25690000.53406
world,2017,35369998.93188
world,2018,32340000.15259
world,2019,21510000.22888
