geo,time,ic_imp_tmdc
afg,2014,336
afg,2015,336
afg,2016,324
afg,2017,324
afg,2018,324
afg,2019,324
ago,2014,180
ago,2015,180
ago,2016,180
ago,2017,180
ago,2018,96
ago,2019,96
alb,2014,8
alb,2015,8
alb,2016,8
alb,2017,8
alb,2018,8
alb,2019,8
are,2014,12
are,2015,12
are,2016,12
are,2017,12
are,2018,12
are,2019,12
arg,2014,336
arg,2015,336
arg,2016,192
arg,2017,192
arg,2018,192
arg,2019,166
arm,2014,1.61539
arm,2015,1.61539
arm,2016,1.61539
arm,2017,1.61539
arm,2018,1.61539
arm,2019,1.61539
atg,2014,108.8889
atg,2015,108.8889
atg,2016,48
atg,2017,48
atg,2018,48
atg,2019,48
aus,2014,2.5
aus,2015,4
aus,2016,4
aus,2017,4
aus,2018,4
aus,2019,4
aut,2014,0.5
aut,2015,0.5
aut,2016,0.5
aut,2017,0.5
aut,2018,0.5
aut,2019,0.5
aze,2014,41.45455
aze,2015,41.45455
aze,2016,38
aze,2017,38
aze,2018,33
aze,2019,26
bdi,2014,180
bdi,2015,180
bdi,2016,180
bdi,2017,180
bdi,2018,180
bdi,2019,180
bel,2014,0.5
bel,2015,0.5
bel,2016,0.5
bel,2017,0.5
bel,2018,0.5
bel,2019,0.5
ben,2014,130.6667
ben,2015,58.66667
ben,2016,58.66667
ben,2017,58.66667
ben,2018,58.66667
ben,2019,58.66667
bfa,2014,96
bfa,2015,96
bfa,2016,96
bfa,2017,96
bfa,2018,96
bfa,2019,96
bgd,2014,144
bgd,2015,144
bgd,2016,144
bgd,2017,144
bgd,2018,144
bgd,2019,144
bgr,2014,0.5
bgr,2015,0.5
bgr,2016,0.5
bgr,2017,0.5
bgr,2018,0.5
bgr,2019,0.5
bhr,2014,84
bhr,2015,84
bhr,2016,84
bhr,2017,84
bhr,2018,60
bhr,2019,60
bhs,2014,54
bhs,2015,6
bhs,2016,6
bhs,2017,6
bhs,2018,6
bhs,2019,6
bih,2014,8
bih,2015,8
bih,2016,8
bih,2017,8
bih,2018,8
bih,2019,8
blr,2014,3.5
blr,2015,3.5
blr,2016,3.5
blr,2017,3.5
blr,2018,3.5
blr,2019,3.5
blz,2014,36
blz,2015,36
blz,2016,36
blz,2017,36
blz,2018,36
blz,2019,36
bol,2014,96
bol,2015,96
bol,2016,96
bol,2017,72
bol,2018,72
bol,2019,72
bra,2014,146.1111
bra,2015,146.1111
bra,2016,120
bra,2017,48
bra,2018,24
bra,2019,24
brb,2014,46
brb,2015,46
brb,2016,46
brb,2017,46
brb,2018,46
brb,2019,46
brn,2014,144
brn,2015,144
brn,2016,140
brn,2017,132
brn,2018,132
brn,2019,132
btn,2014,8
btn,2015,8
btn,2016,8
btn,2017,8
btn,2018,8
btn,2019,8
bwa,2014,3.30769
bwa,2015,3.30769
bwa,2016,3.30769
bwa,2017,3.30769
bwa,2018,3.30769
bwa,2019,3.30769
