geo,time,gc_xpn_comp_zs
afg,2006,36.76415
afg,2007,28.22778
afg,2008,18.36058
afg,2009,23.45354
afg,2010,23.28011
afg,2011,21.96834
afg,2012,28.80937
afg,2013,28.83052
afg,2014,28.58089
afg,2015,33.69645
afg,2016,30.09326
afg,2017,33.95078
ago,1999,20.67908
ago,2000,23.96611
ago,2001,32.85603
ago,2002,37.75959
ago,2003,36.6202
ago,2004,52.6979
ago,2005,36.49618
ago,2006,38.69568
ago,2007,34.9564
ago,2008,36.50963
ago,2009,46.7472
ago,2010,36.13716
ago,2011,31.32494
ago,2012,35.93921
ago,2013,31.02539
ago,2014,32.92312
ago,2015,47.86063
ago,2016,48.20072
ago,2017,44.61495
ago,2018,38.46845
ago,2019,39.50389
alb,1995,14.28945
alb,1996,13.50618
alb,1998,10.65615
alb,2002,30.57131
alb,2003,29.35188
alb,2004,29.6739
alb,2011,26.60618
alb,2012,26.87882
alb,2013,25.59294
alb,2014,24.87131
alb,2015,24.47075
alb,2016,23.06461
alb,2017,23.78472
alb,2018,23.5293
alb,2019,23.87848
are,1997,36.85863
are,1998,36.78571
are,1999,35.99958
are,2011,29.66687
are,2012,31.08603
are,2013,32.22699
are,2014,34.26732
are,2015,36.66984
are,2016,34.82428
are,2017,37.27835
are,2018,35.572
are,2019,34.46519
arg,1990,24.0385
arg,1991,25.26467
arg,1992,20.03417
arg,1993,16.78583
arg,1994,16.66397
arg,1995,17.24345
arg,1996,16.40104
arg,1997,16.41214
arg,1998,15.01475
arg,1999,15.07851
arg,2000,14.6947
arg,2001,14.23872
arg,2002,11.34474
arg,2003,11.67037
arg,2004,11.50602
arg,2014,12.87271
arg,2015,13.16838
arg,2016,12.43286
arg,2017,12.75084
arg,2018,12.06736
arg,2019,11.62335
arm,2004,17.05901
arm,2005,20.45192
arm,2006,21.29732
arm,2007,21.36591
arm,2008,21.01113
arm,2009,24.79931
arm,2010,23.59531
arm,2011,23.55235
arm,2012,22.28802
arm,2013,21.75515
arm,2014,21.59629
arm,2015,20.99097
arm,2016,20.75566
arm,2017,21.73025
arm,2018,20.7391
arm,2019,21.16025
aus,1990,2.14183
aus,1991,2.1712
aus,1992,2.17141
aus,1993,2.22865
aus,1994,2.32995
aus,1995,2.26971
aus,1996,2.24579
aus,1997,2.8917
aus,1998,3.04851
aus,1999,12.13482
aus,2000,10.72202
aus,2001,9.93223
aus,2002,9.83815
aus,2003,10.37755
aus,2004,10.4309
aus,2005,10.19781
aus,2006,10.297
aus,2007,10.48514
aus,2008,10.47484
aus,2009,9.83883
aus,2010,10.28655
aus,2011,10.52072
aus,2012,10.53222
aus,2013,11.48029
aus,2014,10.58086
aus,2015,10.43099
aus,2016,10.64213
aus,2017,10.64211
aus,2018,10.34508
aus,2019,10.52759
aut,1972,31.97881
aut,1973,23.47559
aut,1974,23.18841
aut,1975,23.57169
aut,1976,23.99869
aut,1977,23.37643
aut,1978,22.6404
aut,1979,22.46782
aut,1980,22.21347
aut,1981,22.15119
aut,1982,21.81382
aut,1983,21.46858
aut,1984,21.35063
aut,1985,21.58256
aut,1986,21.405
aut,1987,20.99969
aut,1988,20.09641
aut,1989,20.47837
aut,1990,10.14785
aut,1991,10.1906
aut,1992,10.06508
aut,1993,9.80856
aut,1994,9.74932
aut,1995,11.10666
aut,1996,10.929
aut,1997,10.86239
aut,1998,10.76444
aut,1999,10.9053
aut,2000,10.75201
aut,2001,10.41871
aut,2002,10.33283
aut,2003,10.3996
aut,2004,9.83191
aut,2005,10.98663
aut,2006,11.07843
aut,2007,10.9975
aut,2008,10.96566
aut,2009,10.80824
aut,2010,10.99245
aut,2011,10.78174
aut,2012,10.66938
aut,2013,10.46339
aut,2014,10.2
aut,2015,10.51167
aut,2016,10.71867
aut,2017,10.84579
aut,2018,10.87507
aut,2019,10.8695
aze,1994,14.90308
aze,1995,9.92418
aze,1996,11.5316
aze,1997,12.35588
aze,1998,11.86419
aze,2008,18.27421
aze,2009,18.95234
aze,2010,17.90828
aze,2011,18.34807
aze,2012,14.03364
aze,2013,14.16192
aze,2014,14.92176
aze,2015,14.41829
aze,2016,13.50254
aze,2017,12.19525
aze,2018,16.34046
aze,2019,15.81108
bdi,1981,44.81255
bdi,1991,29.33533
bdi,1992,25.4638
bdi,1993,27.56752
bdi,1994,31.9073
bdi,1995,30.39789
bdi,1996,36.81084
bel,1995,7.01115
bel,1996,6.82031
bel,1997,6.8636
bel,1998,6.8141
bel,1999,6.91972
bel,2000,6.86222
bel,2001,6.85702
bel,2002,7.04398
bel,2003,6.84172
bel,2004,6.70804
