global,time,ag_lnd_trac_zs
world,1961,98.53208
world,1962,102.37081
world,1963,105.64397
world,1964,109.45105
world,1965,112.55938
world,1966,123.41214
world,1967,126.41978
world,1968,128.38717
world,1969,130.42826
world,1970,132.59595
world,1971,136.85982
world,1972,141.15475
world,1973,145.71769
world,1974,151.36707
world,1975,156.40366
world,1976,160.08936
world,1977,165.59856
world,1978,171.01309
world,1979,174.84214
world,1980,181.09984
world,1981,184.73062
world,1982,187.35207
world,1983,190.37918
world,1984,191.39638
world,1985,194.24135
world,1986,197.47342
world,1987,201.32613
world,1988,203.34966
world,1989,206.09219
world,1992,188.66274
world,1993,190.14568
world,1994,192.14334
world,1995,193.5302
world,1996,195.50746
world,1997,196.82259
world,1998,199.44779
